accepted_updates,algorithm,boundary,case_group,core_cost,core_periods,core_sha256,cost_optimization_complete,elapsed_sec,epsilon_0.0001_first_update,epsilon_0.01_first_update,epsilon_1.0e-6_first_update,first_feasible_iteration,geometry,group,id,initial_diagnostic,initial_displacement,initial_flow_sha256,initial_label,initial_model_pass,input_sha256,iterations,method,model_cost,outer_converged,outer_status,periods,physical_cost,physical_pass,run_id,selected_stage,strict_redispatch_success,tail_cost,terminal_required
9,r3_paper_structure_v1,original,single-source,78.30541794420482,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,false,26.436300900008064,-1,9,-1,1,physical_euclidean,initialization,single-source-schpd-physical,0.0021278183145210477,0.1,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,schpd,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,10,baseline,78.30541794420482,false,untrusted_sensitivity,4,78.30541794420482,true,single-source-schpd-physical,116,true,0.0,false
9,r3_paper_structure_v1,original,single-source,78.30541794420482,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,false,1.9927117000042927,-1,9,-1,1,normalized_euclidean,initialization,single-source-schpd-normalized,0.0021278183145210477,0.1,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,schpd,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,10,baseline,78.30541794420482,false,untrusted_sensitivity,4,78.30541794420482,true,single-source-schpd-normalized,116,true,0.0,false
8,r3_paper_structure_v1,original,single-source,78.13318142240169,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,2.7795205999864265,-1,6,-1,0,physical_euclidean,initialization,single-source-case_fixed-physical,NaN,0.1,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,case_fixed,true,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,78.13318157908675,false,line_search_stalled,4,78.13318142240169,true,single-source-case_fixed-physical,171,true,0.0,false
8,r3_paper_structure_v1,original,single-source,78.13318142240169,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,2.770485200016992,-1,6,-1,0,normalized_euclidean,initialization,single-source-case_fixed-normalized,NaN,0.1,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,case_fixed,true,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,78.13318157908675,false,line_search_stalled,4,78.13318142240169,true,single-source-case_fixed-normalized,171,true,0.0,false
8,r3_paper_structure_v1,original,single-source,80.13683844145189,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,2.316966999991564,-1,-1,-1,3,physical_euclidean,initialization,single-source-box25-physical,0.040501967556627334,0.1,5fbbba218aae467564086808709eabc99d8659f81babb5cf159059c08b004a0c,box25,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,80.1368386182614,false,line_search_stalled,4,80.13683844145189,true,single-source-box25-physical,140,true,0.0,false
8,r3_paper_structure_v1,original,single-source,80.13683844145189,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,2.3097376999794506,-1,-1,-1,3,normalized_euclidean,initialization,single-source-box25-normalized,0.040501967556627334,0.1,5fbbba218aae467564086808709eabc99d8659f81babb5cf159059c08b004a0c,box25,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,80.1368386182614,false,line_search_stalled,4,80.13683844145189,true,single-source-box25-normalized,140,true,0.0,false
8,r3_paper_structure_v1,original,single-source,78.13318101938486,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,3.0779298999987077,-1,6,-1,0,physical_euclidean,initialization,single-source-box50-physical,NaN,0.1,f11eeb5bc03af3b1702dee53a3283553cf2c0385bb1005a5ccadfa030e051c19,box50,true,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,78.13318117596482,false,line_search_stalled,4,78.13318101938486,true,single-source-box50-physical,171,true,0.0,false
8,r3_paper_structure_v1,original,single-source,78.13318101938486,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,2.7351340999884997,-1,6,-1,0,normalized_euclidean,initialization,single-source-box50-normalized,NaN,0.1,f11eeb5bc03af3b1702dee53a3283553cf2c0385bb1005a5ccadfa030e051c19,box50,true,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,78.13318117596482,false,line_search_stalled,4,78.13318101938486,true,single-source-box50-normalized,171,true,0.0,false
8,r3_paper_structure_v1,original,single-source,80.05848420587928,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,1.924595499993302,-1,7,-1,3,physical_euclidean,initialization,single-source-box75-physical,0.029648411070094614,0.1,28f835e12879d244f6cd6ba177792943bf6a5c6f8a59c172aa5cadf8f1fba02d,box75,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,80.0584843187419,false,line_search_stalled,4,80.05848420587928,true,single-source-box75-physical,117,true,0.0,false
8,r3_paper_structure_v1,original,single-source,80.05848420587928,4,465d414dca7b6ee533c04187bf2869195483db71c3ae7c3afeaea3860379c735,true,2.051837599981809,-1,7,-1,3,normalized_euclidean,initialization,single-source-box75-normalized,0.029648411070094614,0.1,28f835e12879d244f6cd6ba177792943bf6a5c6f8a59c172aa5cadf8f1fba02d,box75,false,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9,baseline,80.0584843187419,false,line_search_stalled,4,80.05848420587928,true,single-source-box75-normalized,117,true,0.0,false
