case,cost,cost_change_v2_minus_v1,cost_optimization_complete,elapsed_sec,failure_stage,group,id,initial_group_A1,input_sha256,iterations,local_accepted,local_trials,optional_bound_failures,outer_converged,outer_status,physical_pass,run_id,same_initial_flow,v1_cost,v1_elapsed_sec,v1_outer_converged,v1_outer_status,v1_physical_pass,worst_physics_equation,worst_physics_residual,worst_physics_tolerance,worst_physics_unit
single-source,77.04112103768406,-1.2943428185080563,true,65.01735700000427,,robustness,single-source-schpd,1,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,200,187,374,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/single-source-schpd,true,78.33546385619212,30.562112400017213,false,untrusted_sensitivity,true,,,,
single-source,77.04791335360704,-1.0899651639854255,true,77.8305590999953,,robustness,single-source-case_fixed,2,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,200,184,211,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/single-source-case_fixed,true,78.13787851759247,1.1233266000053845,false,untrusted_sensitivity,true,,,,
single-source,78.96134002313596,-1.3212084337778123,true,43.81395529999281,,robustness,single-source-box25,3,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,200,192,389,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/single-source-box25,true,80.28254845691377,2.961567400023341,false,line_search_stalled,true,,,,
single-source,77.0472101182588,-1.090667993296094,true,88.05688180000288,,robustness,single-source-box50,2,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,200,188,218,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/single-source-box50,true,78.1378781115549,1.0897373000043444,false,untrusted_sensitivity,true,,,,
single-source,77.08714051054149,-3.242096037611887,true,64.74620150000555,,robustness,single-source-box75,4,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,200,181,220,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/single-source-box75,true,80.32923654815337,1.961702000000514,false,untrusted_sensitivity,true,,,,
two-source,177.37624732723242,-3.6643932247765747,true,39.21147270000074,,robustness,two-source-schpd,1,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,98,93,109,0,false,local_direction_stalled,true,r3-v2-20260917T090744-b1a0724b/two-source-schpd,true,181.040640552009,0.9057863999914844,false,line_search_stalled,true,,,,
two-source,177.39225398124086,-2.7380147068745373,true,74.08847389998846,,robustness,two-source-case_fixed,2,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,200,178,179,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/two-source-case_fixed,true,180.1302686881154,3.0175912999839056,false,untrusted_sensitivity,true,,,,
two-source,177.5223675528409,-5.666086739378613,true,59.99995970001328,,robustness,two-source-box25,3,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,200,196,370,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/two-source-box25,true,183.18845429221952,2.371523600013461,false,line_search_stalled,true,,,,
two-source,177.40495786024877,-2.611385706369731,true,75.26390690001426,,robustness,two-source-box50,2,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,200,174,187,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/two-source-box50,true,180.0163435666185,4.021806900011143,false,untrusted_sensitivity,true,,,,
two-source,177.6027930885013,-8.1237071229462,true,67.65067249999265,,robustness,two-source-box75,4,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,200,167,169,0,false,iteration_limit,true,r3-v2-20260917T090744-b1a0724b/two-source-box75,true,185.7265002114475,1.8335911000031047,false,untrusted_sensitivity,true,,,,
