case,core_cost,elapsed_sec,embedded_modes,fixed_flow_subproblem_bound,gap_scope,method,mode,outer_status,physical_pass,pv_available_MWh,pv_curtailed_MWh,pv_used_MWh,recovery_cost,relaxation_lower_bound,reported_gap,run_id,same_model_bound,status,termination,total_cost
single-source,33.311076599584105,15.898944699991262,"CF_CT,CF_VT,VF_CT,VF_VT",,relaxation_lower_bound,r3_pg_checked_v2,CF_CT,fixed_flow_dispatch,true,0.7919999999999999,0.06328753622296612,0.7287124637770338,113.29502886056612,146.60610542403217,2.463611759920188e-10,r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-pg,,physical_feasible,OPTIMAL,146.60610546015022
single-source,33.31107660129051,1.8276604999846313,"CF_CT,CF_VT,VF_CT,VF_VT",,same_model_bound,r3_cost_reference_v1,CF_CT,not_applicable_direct_reference,true,0.7919999999999999,0.06328753631773154,0.7287124636822684,113.2950288339866,,0.0,r3-v2-20260917T090750-c52e2f8d/single-source-CF_CT-reference,146.6061054352771,physical_feasible,OPTIMAL,146.6061054352771
single-source,31.202610013709034,0.026790899981278926,"CF_VT,VF_VT",,relaxation_lower_bound,r3_pg_checked_v2,CF_VT,fixed_flow_dispatch,true,0.7919999999999999,0.03595674812133931,0.7560432518786606,113.32931728961532,144.53192727843614,1.7219869195369133e-10,r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-pg,,physical_feasible,OPTIMAL,144.53192730332435
single-source,31.202610014114754,0.04661900000064634,"CF_VT,VF_VT",,same_model_bound,r3_cost_reference_v1,CF_VT,not_applicable_direct_reference,true,0.7919999999999999,0.03595674818760475,0.7560432518123952,113.32931726756233,,0.0,r3-v2-20260917T090750-c52e2f8d/single-source-CF_VT-reference,144.53192728167707,physical_feasible,OPTIMAL,144.53192728167707
single-source,31.86588026745106,35.041403500013985,"VF_CT,VF_VT",145.16090976230814,fixed_flow_subproblem_bound,r3_pg_checked_v2,VF_CT,local_direction_stalled,true,0.7919999999999999,0.03803844497070119,0.7539615550292987,113.2950295222748,,1.8887807044259478e-10,r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-pg,,physical_feasible,OPTIMAL,145.16090978972585
single-source,31.865880247906148,0.6644238000153564,"VF_CT,VF_VT",,same_model_bound,r3_cost_reference_v1,VF_CT,not_applicable_direct_reference,true,0.7919999999999999,0.03803845090088653,0.7539615490991134,113.29503011450532,,0.0,r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,145.16091036241144,physical_feasible,OPTIMAL,145.16091036241147
single-source,30.205325318489827,74.51816739997594,VF_VT,143.45133485876892,fixed_flow_subproblem_bound,r3_pg_checked_v2,VF_VT,iteration_limit,true,0.7919999999999999,0.023961648510972045,0.7680383514890279,113.24600957496477,,2.4179408078963166e-10,r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-pg,,physical_feasible,OPTIMAL,143.4513348934546
single-source,30.187367976255082,2.820540399989113,VF_VT,,same_model_bound,r3_cost_reference_v1,VF_VT,not_applicable_direct_reference,true,0.7919999999999999,0.04191899091397,0.7500810090860299,113.13514822550954,,6.168113684323573e-7,r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,143.32242779880727,physical_feasible,OPTIMAL,143.32251620176464
two-source,68.93719031081655,0.17488959999172948,"CF_CT,CF_VT,VF_CT,VF_VT",,relaxation_lower_bound,r3_pg_checked_v2,CF_CT,fixed_flow_dispatch,true,1.5839999999999999,0.12585160077175317,1.4581483992282467,388.95195740458786,457.88914762769315,1.915555647677114e-10,r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,,physical_feasible,OPTIMAL,457.8891477154045
two-source,68.93719021960294,0.12967560000834055,"CF_CT,CF_VT,VF_CT,VF_VT",,same_model_bound,r3_cost_reference_v1,CF_CT,not_applicable_direct_reference,true,1.5839999999999999,0.1258516009196864,1.4581483990803135,388.9519565714017,,1.3863853766679962e-10,r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-reference,457.8891467275235,physical_feasible,OPTIMAL,457.8891467910047
two-source,65.24326308571914,0.06912430000375025,"CF_VT,VF_VT",,relaxation_lower_bound,r3_pg_checked_v2,CF_VT,fixed_flow_dispatch,true,1.5839999999999999,0.09949574422605156,1.4845042557739483,388.91157561203397,454.15483850690936,4.2021727128772056e-10,r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,,physical_feasible,OPTIMAL,454.154838697753
two-source,65.24326308946674,0.25541080001858063,"CF_VT,VF_VT",,same_model_bound,r3_cost_reference_v1,CF_VT,not_applicable_direct_reference,true,1.5839999999999999,0.09949574463114308,1.4845042553688568,388.91157489759115,,2.5032616238441523e-16,r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-reference,454.1548379870577,physical_feasible,OPTIMAL,454.1548379870579
two-source,66.27247902212137,23.07164899999043,"VF_CT,VF_VT",,same_model_bound,r3_cost_reference_v1,VF_CT,not_applicable_direct_reference,true,1.5839999999999999,0.09848250476481835,1.4855174952351815,388.9095258357238,,9.230863186219726e-7,r3-v2-20260917T092124-cb7d8099/two-source-VF_CT-reference,455.1815846855639,physical_feasible,OPTIMAL,455.1820048578452
two-source,63.00518557995929,600.0117037000018,VF_VT,,same_model_bound,r3_cost_reference_v1,VF_VT,not_applicable_direct_reference,true,1.5839999999999999,0.10011892324388905,1.4838810767561108,388.76614834334873,,0.00013778981873685062,r3-v2-20260917T092124-cb7d8099/two-source-VF_VT-reference,451.7090844330962,physical_feasible,TIME_LIMIT,451.77133392330813
