id,stage,roles,flow_sha256,cost,model_pass,raw_physical_pass,reconstructed_physical_pass,maximum_normalized_violation
two-source-schpd,1312,minimum_violation,6f89631c28d5813557c9b9bd8700aa0b59218f963b7beaf72af5cfedab79ec11,177.42135246917314,true,false,true,7.101837636488047e-6
two-source-schpd,1620,minimum_cost;recent,7b9651a53def8db6521468e22d68ec2bd81c260b02405da902eea582ec2acbee,177.37624732723242,true,false,true,0.01599793519012349
two-source-schpd,3,first,be2a13cc8d73db0bc660720b306f0fd1b2096986ec6cd13f44fa8e70d6106a51,182.98760537864405,true,false,true,0.00010605013048281542
two-source-VF_CT-pg,3913,minimum_violation;minimum_cost;recent;first,08e60f900af1e1500cf181ef7d07ff74d0b6bacae30008603d15b519009373ee,457.90286018018503,true,false,false,410.1471636033174
single-delay-switch,166,minimum_violation,ba1aac7cc52b3b2847d6b8ccc4eeabe5753b17465cd103ef07986089181f5337,77.5838700487314,true,false,true,1.905535711860251e-5
single-delay-switch,482,minimum_cost;recent,2db99c944118c3a3c9c87e944ce0ce040e55bb41435ff13c3aa90da2198b86a2,72.22625870837719,true,false,true,0.501464110437555
single-delay-switch,79,first,d92be9664a91177185c1a5b9104c103fbe867932eb4bf18d797bf79f703737c8,80.25174199587593,true,false,true,8.943996541652122e-5
single-loose-electric,11,minimum_violation;minimum_cost;recent,c02f29bedb36cc4a42ef826e41322a960032822b330b6cb841c070d526d44e11,-9.235969965749312e-12,true,false,false,2.3003077842897614e6
single-loose-electric,1,first,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,-9.235949399561394e-12,true,false,false,2.3003078345942968e6
two-source-VF_CT-pg-without-physical-recovery,3913,minimum_violation;minimum_cost;recent;first,08e60f900af1e1500cf181ef7d07ff74d0b6bacae30008603d15b519009373ee,457.90286018018503,true,false,false,410.1471636033174
two-source-schpd-without-stationarity-check,1312,minimum_violation,6f89631c28d5813557c9b9bd8700aa0b59218f963b7beaf72af5cfedab79ec11,177.42135246917314,true,false,true,7.101837636488047e-6
two-source-schpd-without-stationarity-check,1620,minimum_cost;recent,7b9651a53def8db6521468e22d68ec2bd81c260b02405da902eea582ec2acbee,177.37624732723242,true,false,true,0.01599793519012349
two-source-schpd-without-stationarity-check,3,first,be2a13cc8d73db0bc660720b306f0fd1b2096986ec6cd13f44fa8e70d6106a51,182.98760537864405,true,false,true,0.00010605013048281542
