case,variant,run_id,path,input_sha256,status,model_pass,electric_original_pass,heat_pass,ledger_pass,cost,bound,gap,cost_complete,seconds
open_flexible,independent_exact,open_flexible--independent_exact,results/runs/r4/r4-baseline-20260918/open_flexible--independent_exact,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,7.726999998092651
open_flexible,central_socp,open_flexible--central_socp,results/runs/r4/r4-baseline-20260918/open_flexible--central_socp,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,solver_optimal,true,true,true,true,165.04936472642368,165.0493029494822,6.384121521808426e-7,true,0.5639998912811279
open_flexible,central_exact,open_flexible--central_exact,results/runs/r4/r4-baseline-20260918/open_flexible--central_exact,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,solver_optimal,true,true,true,true,165.0493297589507,165.04927044996023,3.5945126290481317e-7,true,0.1790001392364502
open_fixed,independent_exact,open_fixed--independent_exact,results/runs/r4/r4-baseline-20260918/open_fixed--independent_exact,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.029999971389770508
open_fixed,central_socp,open_fixed--central_socp,results/runs/r4/r4-baseline-20260918/open_fixed--central_socp,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,solver_optimal,true,false,true,true,179.72665307527836,179.72661853313855,1.9958895532381243e-7,true,0.014000177383422852
open_fixed,central_exact,open_fixed--central_exact,results/runs/r4/r4-baseline-20260918/open_fixed--central_exact,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,solver_optimal,true,true,true,true,179.72661770327298,179.7266220197369,1.1597374799609379e-8,true,0.05799984931945801
import_flexible,independent_exact,import_flexible--independent_exact,results/runs/r4/r4-baseline-20260918/import_flexible--independent_exact,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,solver_optimal,true,true,true,true,199.69849319415337,199.69849599350553,3.844787440978517e-11,false,0.02499985694885254
import_flexible,central_socp,import_flexible--central_socp,results/runs/r4/r4-baseline-20260918/import_flexible--central_socp,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,solver_optimal,true,false,true,true,191.79276600548377,191.7926483266506,7.783625871001147e-7,true,0.021000146865844727
import_flexible,central_exact,import_flexible--central_exact,results/runs/r4/r4-baseline-20260918/import_flexible--central_exact,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,solver_optimal,true,true,true,true,191.7927323567859,191.79254996899093,9.510798072980041e-7,true,0.07399988174438477
import_fixed,independent_exact,import_fixed--independent_exact,results/runs/r4/r4-baseline-20260918/import_fixed--independent_exact,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,solver_optimal,true,true,true,true,208.89054197626123,208.89054295261315,0.0,true,0.023999929428100586
import_fixed,central_socp,import_fixed--central_socp,results/runs/r4/r4-baseline-20260918/import_fixed--central_socp,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,solver_optimal,true,false,true,true,207.6898039942456,207.68966471584164,6.77008286527873e-7,true,0.014000177383422852
import_fixed,central_exact,import_fixed--central_exact,results/runs/r4/r4-baseline-20260918/import_fixed--central_exact,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,solver_optimal,true,true,true,true,207.6896712880898,207.68967601130095,8.077482882467204e-9,true,0.05200004577636719
import_flexible,clarabel_enumeration,import_flexible--clarabel_enumeration,results/runs/r4/r4-baseline-20260918/import_flexible--clarabel_enumeration,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,solver_optimal,true,true,true,true,191.79273230880648,191.79273229655615,6.824121338373297e-11,true,7.788999795913696
