run_id,case,method,status,attempted_modes,accepted_model_modes,physical_modes,best_model_index,best_physical_index,model_A1,selected_model_physical_A1,physical_candidate_exists,cost,best_physical_cost,objective_bound,relative_gap,certificate_A2,reference_cost,same_model_comparison,relative_cost_difference,cost_A4,total_outer_iterations,elapsed_sec,budget_sec,input_sha256,unit
open_flexible--distributed,open_flexible,distributed,enumeration_finished,16,16,2,10,6,true,false,true,165.05051617753486,166.41617753178164,NaN,NaN,false,165.04932975070813,true,7.18831653861619e-6,true,4056,71.97399997711182,600.0,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,USD_synthetic
open_flexible--central_enumeration,open_flexible,central_enumeration,enumeration_finished,16,16,16,14,14,true,true,true,165.04932975070813,165.04932975070813,165.0493296405378,6.674994286073869e-10,true,165.04932975070813,true,0.0,true,0,0.8229999542236328,600.0,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,USD_synthetic
open_flexible--central_misocp,open_flexible,central_misocp,solver_optimal,1,1,1,0,0,true,true,true,165.04936472642368,165.04936472642368,165.0493029494822,6.384121521808426e-7,true,165.04932975070813,true,2.1191067908771569e-7,true,0,1.9660000801086426,600.0,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,USD_synthetic
open_flexible--central_exact,open_flexible,central_exact,solver_optimal,1,1,1,0,0,true,true,true,165.0493297589507,165.0493297589507,165.04927044996023,3.5945126290481317e-7,true,165.04932975070813,false,NaN,false,0,0.5410001277923584,600.0,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,USD_synthetic
open_fixed--distributed,open_fixed,distributed,enumeration_finished,16,16,16,10,10,true,true,true,179.72828665231216,179.72828665231216,NaN,NaN,false,179.72661769829176,true,9.286070376088441e-6,true,4712,65.88399982452393,600.0,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,USD_synthetic
open_fixed--central_enumeration,open_fixed,central_enumeration,enumeration_finished,16,16,16,14,14,true,true,true,179.72661769829176,179.72661769829176,179.72661758627012,6.232890799505811e-10,true,179.72661769829176,true,0.0,true,0,0.41499996185302734,600.0,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,USD_synthetic
open_fixed--central_misocp,open_fixed,central_misocp,solver_optimal,1,1,0,0,0,true,false,false,179.72665307527836,NaN,179.72661853313855,1.9958895532381243e-7,true,179.72661769829176,true,1.9683776980532916e-7,true,0,0.018000125885009766,600.0,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,USD_synthetic
open_fixed--central_exact,open_fixed,central_exact,solver_optimal,1,1,1,0,0,true,true,true,179.72661770327298,179.72661770327298,179.7266220197369,1.1597374799609379e-8,true,179.72661769829176,false,NaN,false,0,0.05799984931945801,600.0,ba5e4cbe085086ea8847d397f01d77bf89e12bf2b398c74a0e3bc8a0dce79fd9,USD_synthetic
import_flexible--distributed,import_flexible,distributed,enumeration_finished,16,15,15,13,13,true,true,true,191.7936622235215,191.7936622235215,NaN,NaN,false,191.79273230880648,true,4.848539899408967e-6,true,6122,82.33200001716614,600.0,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,USD_synthetic
import_flexible--central_enumeration,import_flexible,central_enumeration,enumeration_finished,16,16,16,5,5,true,true,true,191.79273230880648,191.79273230880648,191.79273229655615,6.387272891533984e-11,true,191.79273230880648,true,0.0,true,0,0.4070000648498535,600.0,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,USD_synthetic
import_flexible--central_misocp,import_flexible,central_misocp,solver_optimal,1,1,0,0,0,true,false,false,191.79276600548377,NaN,191.7926483266506,7.783625871001147e-7,true,191.79273230880648,true,1.756931917408244e-7,true,0,0.02200007438659668,600.0,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,USD_synthetic
import_flexible--central_exact,import_flexible,central_exact,solver_optimal,1,1,1,0,0,true,true,true,191.7927323567859,191.7927323567859,191.79254996899093,9.510798072980041e-7,true,191.79273230880648,false,NaN,false,0,0.06500005722045898,600.0,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,USD_synthetic
import_fixed--distributed,import_fixed,distributed,enumeration_finished,16,11,11,13,13,true,true,true,207.69014694661215,207.69014694661215,NaN,NaN,false,207.6896697281536,true,2.2977476884941753e-6,true,11480,155.88399982452393,600.0,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,USD_synthetic
import_fixed--central_enumeration,import_fixed,central_enumeration,enumeration_finished,16,16,16,5,5,true,true,true,207.6896697281536,207.6896697281536,207.68966967016158,2.7922440957186304e-10,true,207.6896697281536,true,0.0,true,0,0.4440000057220459,600.0,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,USD_synthetic
import_fixed--central_misocp,import_fixed,central_misocp,solver_optimal,1,1,0,0,0,true,false,false,207.6898039942456,NaN,207.68966471584164,6.77008286527873e-7,true,207.6896697281536,true,6.464745799839294e-7,true,0,0.01900005340576172,600.0,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,USD_synthetic
import_fixed--central_exact,import_fixed,central_exact,solver_optimal,1,1,1,0,0,true,true,true,207.6896712880898,207.6896712880898,207.68967601130095,8.077482882467204e-9,true,207.6896697281536,false,NaN,false,0,0.04800009727478027,600.0,99b92147e9b1b369bd8903e84a7edfea423a55b47320608dd7ed5ff72f640689,USD_synthetic
open_flexible--precision--original,open_flexible,precision_original,inner_iteration_limit,1,0,0,0,0,false,false,false,218.52774348704563,NaN,NaN,NaN,false,166.41546237678182,true,0.3131456678723532,false,1,0.9879999160766602,600.0,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,USD_synthetic
open_flexible--precision--qcp_1e9,open_flexible,precision_qcp_1e9,solver_failure,1,0,0,0,0,false,false,false,218.4974759901993,NaN,NaN,NaN,false,166.41546237678182,true,0.3129637887583932,false,1,0.042999982833862305,600.0,7aadd5364225052c196f45a433635d9c412e37ffa3cbf78b0ed1b1791c2231d5,USD_synthetic
import_flexible--precision--original,import_flexible,precision_original,inner_iteration_limit,1,0,0,0,0,false,false,false,234.7505597344555,NaN,NaN,NaN,false,191.80010240445927,true,0.22393344316065208,false,1,0.5950000286102295,600.0,fcdb954da900fd878194b0a3d72bf2f130ecf057615bd84ae16436d315b9d5ca,USD_synthetic
