run_id,case,method,pattern,mode,status,raw_A1,model_A1,electric_original_A1,cost,central_cost,bound,gap,iterations,elapsed_sec
open_flexible--distributed,open_flexible,distributed,1,0000,consensus_converged,true,true,false,167.91819217770356,167.91747136037338,NaN,NaN,262,16.544000148773193
open_flexible--distributed,open_flexible,distributed,2,1000,consensus_converged,true,true,true,166.49089683068533,166.4903122006525,NaN,NaN,260,3.7619998455047607
open_flexible--distributed,open_flexible,distributed,3,0100,consensus_converged,true,true,false,167.91822248371668,167.91747135832486,NaN,NaN,262,3.688999891281128
open_flexible--distributed,open_flexible,distributed,4,1100,consensus_converged,true,true,false,167.91838651350832,167.91747135968495,NaN,NaN,256,3.368000030517578
open_flexible--distributed,open_flexible,distributed,5,0010,consensus_converged,true,true,false,167.22745476752425,167.22722050250474,NaN,NaN,684,9.453999996185303
open_flexible--distributed,open_flexible,distributed,6,1010,consensus_converged,true,true,true,166.41617753178164,166.41546237678182,NaN,NaN,164,2.3970000743865967
open_flexible--distributed,open_flexible,distributed,7,0110,consensus_converged,true,true,false,167.91834388529105,167.91747135866925,NaN,NaN,198,2.571000099182129
open_flexible--distributed,open_flexible,distributed,8,1110,consensus_converged,true,true,false,167.91820511169666,167.91747136053712,NaN,NaN,199,2.8429999351501465
open_flexible--distributed,open_flexible,distributed,9,0001,consensus_converged,true,true,false,165.32837638497625,165.3276592895,NaN,NaN,262,3.484999895095825
open_flexible--distributed,open_flexible,distributed,10,1001,consensus_converged,true,true,false,165.05051617753486,165.04932976020922,NaN,NaN,259,3.627999782562256
open_flexible--distributed,open_flexible,distributed,11,0101,consensus_converged,true,true,false,167.91838574604222,167.9174713559155,NaN,NaN,253,3.580000162124634
open_flexible--distributed,open_flexible,distributed,12,1101,consensus_converged,true,true,false,167.91848659530137,167.91747135905285,NaN,NaN,251,3.2819998264312744
open_flexible--distributed,open_flexible,distributed,13,0011,consensus_converged,true,true,false,165.29190600256163,165.29116331580747,NaN,NaN,139,2.0920000076293945
open_flexible--distributed,open_flexible,distributed,14,1011,consensus_converged,true,true,false,165.05073183564764,165.04932975070813,NaN,NaN,146,1.880000114440918
open_flexible--distributed,open_flexible,distributed,15,0111,consensus_converged,true,true,false,167.91821269005254,167.9174713587435,NaN,NaN,199,2.9060001373291016
open_flexible--distributed,open_flexible,distributed,16,1111,consensus_converged,true,true,false,167.91819089744544,167.91747136051907,NaN,NaN,262,3.434000015258789
open_flexible--central_enumeration,open_flexible,central_enumeration,1,0000,solver_optimal,true,true,true,167.91747136037338,167.91747136037338,167.91747134705537,8.648813088696859e-11,0,0.1640000343322754
open_flexible--central_enumeration,open_flexible,central_enumeration,2,1000,solver_optimal,true,true,true,166.4903122006525,166.4903122006525,166.4903121238907,4.969341097530918e-10,0,0.011999845504760742
open_flexible--central_enumeration,open_flexible,central_enumeration,3,0100,solver_optimal,true,true,true,167.91747135832486,167.91747135832486,167.91747133364186,1.5873371070325408e-10,0,0.01100015640258789
open_flexible--central_enumeration,open_flexible,central_enumeration,4,1100,solver_optimal,true,true,true,167.91747135968495,167.91747135968495,167.9174713406816,1.2278864378362673e-10,0,0.012000083923339844
open_flexible--central_enumeration,open_flexible,central_enumeration,5,0010,solver_optimal,true,true,true,167.22722050250474,167.22722050250474,167.22722045554542,3.013779523633624e-10,0,0.013000011444091797
open_flexible--central_enumeration,open_flexible,central_enumeration,6,1010,solver_optimal,true,true,true,166.41546237678182,166.41546237678182,166.41546234796868,1.8776277125389728e-10,0,0.013000011444091797
open_flexible--central_enumeration,open_flexible,central_enumeration,7,0110,solver_optimal,true,true,true,167.91747135866925,167.91747135866925,167.91747133582365,1.4703953803217256e-10,0,0.01399993896484375
open_flexible--central_enumeration,open_flexible,central_enumeration,8,1110,solver_optimal,true,true,true,167.91747136053712,167.91747136053712,167.9174713473609,8.545073641158926e-11,0,0.012000083923339844
open_flexible--central_enumeration,open_flexible,central_enumeration,9,0001,solver_optimal,true,true,true,165.3276592895,165.3276592895,165.32765927825093,7.374620871282502e-11,0,0.012000083923339844
open_flexible--central_enumeration,open_flexible,central_enumeration,10,1001,solver_optimal,true,true,true,165.04932976020922,165.04932976020922,165.04932969329604,4.3432095711116186e-10,0,0.010999917984008789
open_flexible--central_enumeration,open_flexible,central_enumeration,11,0101,solver_optimal,true,true,true,167.9174713559155,167.9174713559155,167.91747131608813,2.558202250920002e-10,0,0.01100015640258789
open_flexible--central_enumeration,open_flexible,central_enumeration,12,1101,solver_optimal,true,true,true,167.91747135905285,167.91747135905285,167.9174713375177,1.3870314503169867e-10,0,0.013000011444091797
open_flexible--central_enumeration,open_flexible,central_enumeration,13,0011,solver_optimal,true,true,true,165.29116331580747,165.29116331580747,165.29116330401365,7.73662063819378e-11,0,0.010999917984008789
