case,variant,run_id,input_sha256,path,status,model_pass,electric_original_pass,heat_pass,ledger_pass,cost,bound,gap,cost_complete,seconds
base,independent_exact,base--independent_exact,ba3e43bababf99b9d5064078e05a969b940c88d6f0a4e63a219c3ff17c90def5,results/runs/r4/r4-central-20260918/base--independent_exact,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,6.732000112533569
base,central_socp,base--central_socp,ba3e43bababf99b9d5064078e05a969b940c88d6f0a4e63a219c3ff17c90def5,results/runs/r4/r4-central-20260918/base--central_socp,solver_optimal,true,true,true,true,165.04933316162712,165.04922864973923,6.384433849872141e-7,true,0.5090000629425049
base,central_exact,base--central_exact,ba3e43bababf99b9d5064078e05a969b940c88d6f0a4e63a219c3ff17c90def5,results/runs/r4/r4-central-20260918/base--central_exact,solver_optimal,true,true,true,true,165.04932978588795,165.04930312130455,1.616521877579588e-7,true,0.49200010299682617
electric_bottleneck,independent_exact,electric_bottleneck--independent_exact,c6ab97224140ee02779dddf988e012188cfa561e967404a8be9cb8e59a6062d1,results/runs/r4/r4-central-20260918/electric_bottleneck--independent_exact,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.01900005340576172
electric_bottleneck,central_socp,electric_bottleneck--central_socp,c6ab97224140ee02779dddf988e012188cfa561e967404a8be9cb8e59a6062d1,results/runs/r4/r4-central-20260918/electric_bottleneck--central_socp,solver_optimal,true,false,true,true,172.15572180711234,172.1556181833148,6.094646368964199e-7,true,0.015000104904174805
electric_bottleneck,central_exact,electric_bottleneck--central_exact,c6ab97224140ee02779dddf988e012188cfa561e967404a8be9cb8e59a6062d1,results/runs/r4/r4-central-20260918/electric_bottleneck--central_exact,solver_optimal,true,true,true,true,172.15571557487633,172.1556710013465,2.5945867399086907e-7,true,0.2569999694824219
heat_bottleneck,independent_exact,heat_bottleneck--independent_exact,a60f2342fccc72b77031d054a044b506ac40603a1e02a8981a67a1522becb848,results/runs/r4/r4-central-20260918/heat_bottleneck--independent_exact,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.023999929428100586
heat_bottleneck,central_socp,heat_bottleneck--central_socp,a60f2342fccc72b77031d054a044b506ac40603a1e02a8981a67a1522becb848,results/runs/r4/r4-central-20260918/heat_bottleneck--central_socp,solver_optimal,true,false,true,true,166.97439778132238,166.97438720937498,6.408959728169707e-7,true,0.020999908447265625
heat_bottleneck,central_exact,heat_bottleneck--central_exact,a60f2342fccc72b77031d054a044b506ac40603a1e02a8981a67a1522becb848,results/runs/r4/r4-central-20260918/heat_bottleneck--central_exact,solver_optimal,true,true,true,true,166.9743409109513,166.97420135833818,8.358686438426741e-7,true,0.7690000534057617
no_p2p,independent_exact,no_p2p--independent_exact,1fce37fe80e6171a7d9e0637889928effd0ea00b2613d6948ae61ec9cc594763,results/runs/r4/r4-central-20260918/no_p2p--independent_exact,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.023000001907348633
no_p2p,central_socp,no_p2p--central_socp,1fce37fe80e6171a7d9e0637889928effd0ea00b2613d6948ae61ec9cc594763,results/runs/r4/r4-central-20260918/no_p2p--central_socp,solver_optimal,true,true,true,true,165.04933316162712,165.04922864973923,6.384433849872141e-7,true,0.01699995994567871
no_p2p,central_exact,no_p2p--central_exact,1fce37fe80e6171a7d9e0637889928effd0ea00b2613d6948ae61ec9cc594763,results/runs/r4/r4-central-20260918/no_p2p--central_exact,solver_optimal,true,true,true,true,165.04932978588795,165.04930312130455,1.616521877579588e-7,true,0.5209999084472656
fixed_load,independent_exact,fixed_load--independent_exact,d31054989c0a5440e57226af2452df20f2f18c649982a9669365f7b13a7af88a,results/runs/r4/r4-central-20260918/fixed_load--independent_exact,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.020999908447265625
fixed_load,central_socp,fixed_load--central_socp,d31054989c0a5440e57226af2452df20f2f18c649982a9669365f7b13a7af88a,results/runs/r4/r4-central-20260918/fixed_load--central_socp,solver_optimal,true,false,true,true,145.38165307527834,145.38161720382317,2.467399041132044e-7,true,0.011999845504760742
fixed_load,central_exact,fixed_load--central_exact,d31054989c0a5440e57226af2452df20f2f18c649982a9669365f7b13a7af88a,results/runs/r4/r4-central-20260918/fixed_load--central_exact,solver_optimal,true,true,true,true,145.38161770327315,145.38161561891587,1.4337144612417832e-8,true,0.05299997329711914
capacity_infeasible,independent_exact,capacity_infeasible--independent_exact,964d2efba927579077dd8e89761248d1dee2d3a218f5913f079a035e8f3469e8,results/runs/r4/r4-central-20260918/capacity_infeasible--independent_exact,network_infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.023000001907348633
capacity_infeasible,central_socp,capacity_infeasible--central_socp,964d2efba927579077dd8e89761248d1dee2d3a218f5913f079a035e8f3469e8,results/runs/r4/r4-central-20260918/capacity_infeasible--central_socp,infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.009000062942504883
capacity_infeasible,central_exact,capacity_infeasible--central_exact,964d2efba927579077dd8e89761248d1dee2d3a218f5913f079a035e8f3469e8,results/runs/r4/r4-central-20260918/capacity_infeasible--central_exact,infeasible_certified,false,false,false,false,NaN,NaN,NaN,false,0.009000062942504883
base,clarabel_enumeration,base--clarabel_enumeration,ba3e43bababf99b9d5064078e05a969b940c88d6f0a4e63a219c3ff17c90def5,results/runs/r4/r4-central-20260918/base--clarabel_enumeration,solver_optimal,true,true,true,true,165.04932979908904,165.04932941691257,6.490389333509044e-10,true,6.525000095367432
