index,electric_tree,heat_tree,direction,battery,status,model_A1,original_electric_A1,cost,bound
1,110,110,000,0,infeasible_certified,false,false,NaN,NaN
2,110,110,000,1,infeasible_certified,false,false,NaN,NaN
3,110,110,100,0,infeasible_certified,false,false,NaN,NaN
4,110,110,100,1,infeasible_certified,false,false,NaN,NaN
5,110,110,010,0,infeasible_certified,false,false,NaN,NaN
6,110,110,010,1,infeasible_certified,false,false,NaN,NaN
7,110,110,110,0,solver_optimal,true,true,54.272214044145436,54.27221404185011
8,110,110,110,1,solver_optimal,true,true,54.272214044141926,54.27221404184916
9,110,101,000,0,infeasible_certified,false,false,NaN,NaN
10,110,101,000,1,infeasible_certified,false,false,NaN,NaN
11,110,101,100,0,infeasible_certified,false,false,NaN,NaN
12,110,101,100,1,infeasible_certified,false,false,NaN,NaN
13,110,101,001,0,infeasible_certified,false,false,NaN,NaN
14,110,101,001,1,infeasible_certified,false,false,NaN,NaN
15,110,101,101,0,solver_optimal,true,true,54.622214040988595,54.62221402744801
16,110,101,101,1,solver_optimal,true,true,54.62221404070629,54.62221402614795
17,110,011,000,0,infeasible_certified,false,false,NaN,NaN
18,110,011,000,1,infeasible_certified,false,false,NaN,NaN
19,110,011,010,0,infeasible_certified,false,false,NaN,NaN
20,110,011,010,1,infeasible_certified,false,false,NaN,NaN
21,110,011,001,0,solver_optimal,true,true,54.62221404410619,54.62221404164011
22,110,011,001,1,solver_optimal,true,true,54.622214044124036,54.62221404172201
23,110,011,011,0,infeasible_certified,false,false,NaN,NaN
24,110,011,011,1,infeasible_certified,false,false,NaN,NaN
25,101,110,000,0,infeasible_certified,false,false,NaN,NaN
26,101,110,000,1,infeasible_certified,false,false,NaN,NaN
27,101,110,100,0,infeasible_certified,false,false,NaN,NaN
28,101,110,100,1,infeasible_certified,false,false,NaN,NaN
29,101,110,010,0,infeasible_certified,false,false,NaN,NaN
30,101,110,010,1,infeasible_certified,false,false,NaN,NaN
31,101,110,110,0,solver_optimal,true,true,54.321366829345415,54.32136681794595
32,101,110,110,1,solver_optimal,true,true,54.32136682938986,54.32136681810793
33,101,101,000,0,infeasible_certified,false,false,NaN,NaN
34,101,101,000,1,infeasible_certified,false,false,NaN,NaN
35,101,101,100,0,infeasible_certified,false,false,NaN,NaN
36,101,101,100,1,infeasible_certified,false,false,NaN,NaN
37,101,101,001,0,infeasible_certified,false,false,NaN,NaN
38,101,101,001,1,infeasible_certified,false,false,NaN,NaN
39,101,101,101,0,solver_optimal,true,true,54.671366820646526,54.67136677808145
40,101,101,101,1,solver_optimal,true,true,54.671366820616505,54.67136677810593
41,101,011,000,0,infeasible_certified,false,false,NaN,NaN
42,101,011,000,1,infeasible_certified,false,false,NaN,NaN
43,101,011,010,0,infeasible_certified,false,false,NaN,NaN
44,101,011,010,1,infeasible_certified,false,false,NaN,NaN
45,101,011,001,0,solver_optimal,true,true,54.67136682346231,54.67136679046193
46,101,011,001,1,solver_optimal,true,true,54.671366823435505,54.671366790415476
47,101,011,011,0,infeasible_certified,false,false,NaN,NaN
48,101,011,011,1,infeasible_certified,false,false,NaN,NaN
49,011,110,000,0,infeasible_certified,false,false,NaN,NaN
50,011,110,000,1,infeasible_certified,false,false,NaN,NaN
51,011,110,100,0,infeasible_certified,false,false,NaN,NaN
52,011,110,100,1,infeasible_certified,false,false,NaN,NaN
53,011,110,010,0,infeasible_certified,false,false,NaN,NaN
54,011,110,010,1,infeasible_certified,false,false,NaN,NaN
55,011,110,110,0,solver_optimal,true,true,54.528338026075204,54.52833799835941
56,011,110,110,1,solver_optimal,true,true,54.52833802604388,54.52833799831714
57,011,101,000,0,infeasible_certified,false,false,NaN,NaN
58,011,101,000,1,infeasible_certified,false,false,NaN,NaN
59,011,101,100,0,infeasible_certified,false,false,NaN,NaN
60,011,101,100,1,infeasible_certified,false,false,NaN,NaN
61,011,101,001,0,infeasible_certified,false,false,NaN,NaN
62,011,101,001,1,infeasible_certified,false,false,NaN,NaN
63,011,101,101,0,solver_optimal,true,true,54.878338033561,54.87833803237642
64,011,101,101,1,solver_optimal,true,true,54.87833803355528,54.87833803237051
65,011,011,000,0,infeasible_certified,false,false,NaN,NaN
66,011,011,000,1,infeasible_certified,false,false,NaN,NaN
67,011,011,010,0,infeasible_certified,false,false,NaN,NaN
68,011,011,010,1,infeasible_certified,false,false,NaN,NaN
69,011,011,001,0,solver_optimal,true,true,54.87833803348413,54.87833803201521
70,011,011,001,1,solver_optimal,true,true,54.878338033500334,54.87833803202191
71,011,011,011,0,infeasible_certified,false,false,NaN,NaN
72,011,011,011,1,infeasible_certified,false,false,NaN,NaN
