run_id,case,policy,loss,candidate,status,model_pass,electric_original_pass,heat_pass,ledger_pass,adopted_physical_pass,operating_cost,solver_objective,objective_bound,relative_gap,cost_optimization_complete,max_normalized_residual,heat_loss_MWh,used_PV_MWh,active_pipe_steps,idle_open_pipe_steps,elapsed_sec,switching_cost
open--fixed--reference,open,fixed,reference,true,solver_optimal,true,true,true,true,true,164.62895956028188,164.6289595826819,164.62884369336126,7.0394249540905e-7,true,0.0002163244516850682,0.00899999999999998,0.8099999999674988,5,3,9.557999849319458,0.0
open--fixed--exponential,open,fixed,exponential,true,time_limit_with_incumbent,true,true,true,true,true,164.55188458660578,164.55188460900575,164.40771687941995,0.0008761232357098915,false,0.10000000031595846,0.007223411334991117,0.8100000005130772,5,3,600.3090000152588,0.0
open--joint--reference,open,joint,reference,true,time_limit_with_incumbent,true,true,true,true,true,164.5339303570802,164.5339303794803,164.5309606719879,1.8049210187429442e-5,false,0.10000005090660125,0.009000000652297627,0.8099999999999999,5,3,600.0120000839233,0.1
open--joint--exponential,open,joint,exponential,true,time_limit_with_incumbent,true,true,true,true,true,164.45666690919148,164.45666693018998,162.7530655012264,0.010358968479439961,false,0.07341240404912242,0.007223429159557468,0.8099999999673426,5,3,600.0130000114441,0.1
import--fixed--reference,import,fixed,reference,true,solver_optimal,true,true,true,true,true,191.29619632763539,191.2961964214147,191.29614180752768,2.854938469138148e-7,true,0.00049023089794124,0.007199999999992088,0.7152738631200977,4,4,2.7089998722076416,0.0
import--fixed--exponential,import,fixed,exponential,true,time_limit_with_incumbent,true,true,true,true,true,191.22734261284398,191.22734261306562,190.94595749586816,0.0014714690553788692,false,0.10001093016853702,0.005813861956467721,0.7152737885147921,4,4,600.0130000114441,0.0
import--joint--reference,import,joint,reference,true,solver_optimal,true,true,true,true,true,191.28769354321338,191.28769357149667,191.28766442781267,1.52355248049879e-7,true,0.0008144560932794864,0.007199999999996286,0.7152758984451603,4,4,3.00600004196167,0.1
import--joint--exponential,import,joint,exponential,true,time_limit_with_incumbent,true,true,true,true,true,191.218840047429,191.2188400697499,190.88391818451584,0.0017515109134219465,false,0.10000000600030035,0.0058138606879201,0.7152759452461469,4,4,600.0130000114441,0.1
electric_bottleneck--fixed--reference,electric_bottleneck,fixed,reference,true,time_limit_with_incumbent,true,true,true,true,true,191.90140648501716,191.90140647053346,191.90026724055696,5.936537920460706e-6,false,0.10039189476174215,0.010800000000000004,0.7152742927429678,6,2,600.0130000114441,0.0
electric_bottleneck--fixed--exponential,electric_bottleneck,fixed,exponential,true,time_limit_with_incumbent,true,true,true,true,true,191.77608597174975,191.776085973297,191.20781821267147,0.002963183640658184,false,0.08219391588681901,0.008735769447832269,0.7152737881225854,6,2,600.0119998455048,0.0
electric_bottleneck--joint--reference,electric_bottleneck,joint,reference,true,time_limit_with_incumbent,true,true,true,true,true,191.28769353297434,191.28769355812616,191.28584374584725,9.670315139000686e-6,false,0.0005084922349851695,0.007199999929107366,0.7152760238858407,4,4,600.0120000839233,0.1
electric_bottleneck--joint--exponential,electric_bottleneck,joint,exponential,true,time_limit_with_incumbent,true,true,true,true,true,191.21884003630808,191.21884005862893,190.8763585722977,0.001791044680671719,false,0.07796520094416337,0.00581386130373189,0.715275945012142,4,4,600.0120000839233,0.1
heat_bottleneck--fixed--reference,heat_bottleneck,fixed,reference,true,solver_optimal,true,true,true,true,true,191.29619632763544,191.29619642141475,191.29613780686725,3.0640728145588577e-7,true,0.0004902308979412398,0.007199999999992983,0.7152738631201102,4,4,6.2170000076293945,0.0
heat_bottleneck--fixed--exponential,heat_bottleneck,fixed,exponential,true,time_limit_with_incumbent,true,true,true,true,true,191.22734271102377,191.22734273334441,191.1439992877172,0.00043583435525444166,false,0.10000000031595846,0.005813862326017084,0.7152737886402871,4,4,600.0130000114441,0.0
heat_bottleneck--joint--reference,heat_bottleneck,joint,reference,true,solver_optimal,true,true,true,true,true,191.28769352390964,191.2876935314282,191.28764902142478,2.326861838216487e-7,true,0.10000000031595846,0.0071999999999999495,0.7152760539086225,4,4,2.808000087738037,0.1
heat_bottleneck--joint--exponential,heat_bottleneck,joint,exponential,true,time_limit_with_incumbent,true,true,true,true,true,191.2188399803863,191.21884000270717,190.88812773253716,0.0017294962680734225,false,0.10000001225307642,0.005813860592876689,0.7152759449545909,4,4,600.0149998664856,0.1
