record_id,run_id,scenario,probability,model_pass,kkt_pass,recourse_cost,device_cost,real_time_settlement,penalty,mismatch_MWh,mismatch_limit_MWh
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,none,0.5,true,true,8.060000000000006,8.060000000000006,-0.0,0.0,0.0,0.014200000000000004
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,up,0.25,true,true,12.060000000000006,18.460000000000004,-6.4,0.0,0.0,0.014200000000000004
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,down,0.25,true,true,4.9600000000000035,0.0,4.9600000000000035,0.0,0.0,0.014200000000000004
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,none,0.5,true,true,8.060000000001322,8.06000000000131,-1.1102230246251565e-15,1.3877787807814457e-14,1.3877787807814457e-17,0.014199999999999942
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,up,0.25,true,true,12.060000000000791,18.45999999999989,-6.399999999999127,2.7755575615628914e-14,2.7755575615628914e-17,0.014199999999999942
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,down,0.25,true,true,4.960000000001422,4.6837316441875074e-14,4.960000000000778,5.967448757360216e-13,5.967448757360216e-16,0.014199999999999942
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,none,0.5,true,true,8.060000000000006,8.060000000000006,-0.0,0.0,0.0,0.0
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,up,0.25,true,true,12.060000000000006,18.460000000000004,-6.4,0.0,0.0,0.0
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,down,0.25,true,true,4.960000000000015,0.0,4.960000000000001,1.3877787807814457e-14,1.3877787807814457e-17,0.0
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,none,0.5,true,true,8.060000000000002,8.05999999999999,-1.1102230246251565e-15,1.3877787807814457e-14,1.3877787807814457e-17,0.0
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,up,0.25,true,true,12.06000000000004,18.45999999999997,-6.399999999999984,5.551115123125783e-14,5.551115123125783e-17,0.0
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,down,0.25,true,true,4.960000000000239,2.3744401321125248e-14,4.959999999999972,2.42861286636753e-13,2.42861286636753e-16,0.0
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,none,0.5,true,true,12.395477121180768,12.39547712118077,-0.0,0.0,0.0,0.008
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,up,0.25,true,true,11.532618369803501,21.132618369803502,-9.6,0.0,0.0,0.008
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,down,0.25,true,true,12.395477121180768,12.39547712118077,-0.0,0.0,0.0,0.008
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,none,0.5,true,true,13.029301823034174,13.029301823032545,-4.4950502206980893e-14,1.6719519324425922e-12,1.6719519324425922e-15,0.00800000000044578
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,up,0.25,true,true,12.448142939217092,22.0481429392543,-9.600000000039142,1.93664114517461e-12,1.93664114517461e-15,0.00800000000044578
four_period--clarabel,r5-commitment-d643da8e-66db-4d15-a669-e0eeb7f330a5,down,0.25,true,true,13.029301823108916,13.02930182270751,4.000958072762192e-10,1.311109344290774e-12,1.311109344290774e-15,0.00800000000044578
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,none,0.5,true,true,11.889867132951807,11.889867132951805,-0.0,0.0,0.0,0.008
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,up,0.25,true,true,20.34383252973803,29.94383252973803,-9.6,0.0,0.0,0.008
four_period_future--highs,r5-commitment-31a90e21-2567-4e0f-8ff3-f01d1e56f0df,down,0.25,true,true,8.489867132951808,8.489867132951806,-0.0,0.0,0.0,0.008
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,none,0.5,true,true,12.752707642327792,12.752707642327536,-2.478035524983603e-14,2.7853763542939163e-13,2.785376354293916e-16,0.008000000000033052
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,up,0.25,true,true,21.5901577099582,31.190157709959426,-9.600000000001716,4.848195043933241e-13,4.848195043933241e-16,0.008000000000033052
four_period_future--clarabel,r5-commitment-6dea4799-bf93-4c80-8796-734d4903d0b0,down,0.25,true,true,9.352707642343564,9.35270764231188,3.113450321687078e-11,5.465370065226902e-13,5.465370065226902e-16,0.008000000000033052
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,none,0.5,true,true,8.060000000000006,8.060000000000006,-0.0,0.0,0.0,0.0
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,up,0.25,true,true,12.060000000000006,18.460000000000004,-6.4,0.0,0.0,0.0
hand--highs,r5-commitment-e5a9897e-d56e-4ee1-8172-9186cd85c58a,down,0.25,true,true,4.9600000000000035,0.0,4.9600000000000035,0.0,0.0,0.0
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,none,0.5,true,true,8.060000000046184,8.060000000045699,-4.218847493575595e-14,5.273559366969494e-13,5.273559366969494e-16,0.0
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,up,0.25,true,true,12.060000000028264,18.459999999999038,-6.399999999971301,5.273559366969494e-13,5.273559366969494e-16,0.0
hand--clarabel,r5-commitment-131dccb7-2147-48a0-82a3-9f015edca0b6,down,0.25,true,true,4.9600000000307585,3.547824270274432e-13,4.960000000027913,2.491062911502695e-12,2.491062911502695e-15,0.0
no_call_only--highs,r5-commitment-5169a5be-40d7-4566-97d2-076fcbe63bf3,none,1.0,true,true,0.0,0.0,-0.0,0.0,0.0,0.0
no_call_only--clarabel,r5-commitment-7cee245e-90a2-4c4e-a77a-55e58202a2fb,none,1.0,true,true,4.2163161850794495e-11,4.203542504085597e-11,-1.1102230246251565e-14,1.3877787807814457e-13,1.3877787807814457e-16,0.0
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,none,0.5,true,true,0.0,0.0,-0.0,0.0,0.0,-0.0
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,up,0.25,true,true,0.0,0.0,-0.0,0.0,0.0,-0.0
no_reserve--highs,r5-commitment-2169322e-24b4-4923-821c-a9c8a67b0e58,down,0.25,true,true,0.0,0.0,-0.0,0.0,0.0,-0.0
