record_id,run_id,scenario,t,dt_h,P_actual_MW,request_MW,delivered_MW,mismatch_MW,building_1_K,heat_1_MW
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,none,1,1.0,0.08,0.0,0.0,0.0,293.15,0.041999999999999885
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,up,1,1.0,-0.0,0.08,0.08,0.0,293.15,0.041999999999999885
capacity_denominator--highs,r5-commitment-f67d1d23-4d6b-4229-9d45-30186140b8bc,down,1,1.0,0.14200000000000004,-0.06200000000000004,-0.06200000000000004,0.0,293.15,0.041999999999999885
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,none,1,1.0,0.07999999999998986,0.0,1.3877787807814457e-17,1.3877787807814457e-17,293.1499999999999,0.04199999999999952
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,up,1,1.0,7.765469227518669e-16,0.07999999999998907,0.0799999999999891,2.7755575615628914e-17,293.1499999999999,0.041999999999999184
capacity_denominator--clarabel,r5-commitment-7ee483d1-a4ec-466d-883b-c1f05e92bc25,down,1,1.0,0.1419999999999996,-0.062000000000010325,-0.06200000000000973,5.967448757360216e-16,293.1499999999999,0.04199999999999952
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,none,1,1.0,0.08,0.0,0.0,0.0,293.15,0.041999999999999885
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,up,1,1.0,-0.0,0.08,0.08,0.0,293.15,0.041999999999999885
fixed_feasible--highs,r5-commitment-2a957740-9bb2-40ae-8b36-092b79166970,down,1,1.0,0.14200000000000002,-0.062,-0.06200000000000001,1.3877787807814457e-17,293.15,0.041999999999999885
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,none,1,1.0,0.07999999999999999,0.0,1.3877787807814457e-17,1.3877787807814457e-17,293.1499999999999,0.041999999999999746
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,up,1,1.0,1.9151870971658995e-16,0.07999999999999986,0.07999999999999981,5.551115123125783e-17,293.1499999999999,0.04199999999999977
fixed_feasible--clarabel,r5-commitment-a5406f6f-5105-40ad-8150-c8c241a6527c,down,1,1.0,0.14199999999999965,-0.061999999999999895,-0.06199999999999965,2.42861286636753e-16,293.1499999999999,0.041999999999999614
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,none,1,1.0,0.12,0.0,0.0,0.0,293.3380413595268,0.034324951269117276
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,none,2,1.0,0.09144075269415777,0.0,0.0,0.0,292.15,0.006239172809462889
four_period--highs,r5-commitment-bb70d51e-3646-4211-9561-2566e30c9636,none,3,1.0,-0.0,0.0,0.0,0.0,293.33292722190316,0.05420732610377272
