record_id,run_id,component,amount_USD
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,day_ahead_cost,13.7
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,device_cost,0.0
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,real_time_settlement,5.551115123125783e-15
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,delivery_penalty,10.000000000000057
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,day_ahead_cost,13.7
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,device_cost,1.3280833513660622e-12
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,real_time_settlement,-1.1046719095020308e-12
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,delivery_penalty,9.999999999988955
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,day_ahead_cost,12.16
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,device_cost,0.0
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,real_time_settlement,1.9999999999999991
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,delivery_penalty,1.0408340855860843e-14
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,day_ahead_cost,12.16
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,device_cost,3.198932650293607e-15
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,real_time_settlement,2.0000000000000018
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,delivery_penalty,1.734723475976807e-14
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,day_ahead_cost,57.96
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,device_cost,0.2113009802882727
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,real_time_settlement,-0.600000000000001
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,delivery_penalty,1.3877787807814457e-14
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,day_ahead_cost,57.96
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,device_cost,0.21130098028889827
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,real_time_settlement,-0.6000000000000343
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,delivery_penalty,2.914335439641036e-13
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,day_ahead_cost,14.2
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,device_cost,0.0
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,real_time_settlement,-0.0
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,delivery_penalty,0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,day_ahead_cost,14.2
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,device_cost,3.654459258814093e-15
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,real_time_settlement,-0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,delivery_penalty,0.0
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,day_ahead_cost,14.2
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,device_cost,0.0
