record_id,run_id,t,dt_h,P_DA_MW,P_actual_MW,request_MW,delivered_MW,mismatch_MW,R_up_MW,R_down_MW
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,1,1.0,0.142,0.14200000000000004,0.010000000000000002,-5.551115123125783e-17,0.010000000000000057,0.1,0.0
capacity_denominator--clarabel,r5-dispatch-11d41232-0807-44ad-845b-5fd8a7e49849,1,1.0,0.142,0.14199999999998894,0.010000000000000002,1.1046719095020308e-14,0.009999999999988955,0.1,0.0
down--highs,r5-dispatch-f41c5ecb-1311-4d7c-8ab4-9db547c859c1,1,1.0,0.122,0.142,-0.02,-0.01999999999999999,1.0408340855860843e-17,0.0,0.02
down--clarabel,r5-dispatch-c1013bb4-5790-418d-bba3-d6fb71abd033,1,1.0,0.122,0.14200000000000002,-0.02,-0.020000000000000018,1.734723475976807e-17,0.0,0.02
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,1,1.0,0.14,0.14,0.0,0.0,0.0,0.03,0.03
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,2,1.0,0.14,0.11000000000000001,0.03,0.03,0.0,0.03,0.03
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,3,1.0,0.14,0.17,-0.03,-0.03,0.0,0.03,0.03
four_period--highs,r5-dispatch-28302fee-7bbd-41a2-9ecb-d53dc7e03e5c,4,1.0,0.14,0.125,0.015,0.015000000000000013,1.3877787807814457e-17,0.03,0.03
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,1,1.0,0.14,0.13999999999999993,0.0,8.326672684688674e-17,8.326672684688674e-17,0.03,0.03
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,2,1.0,0.14,0.10999999999999996,0.03,0.030000000000000054,5.551115123125783e-17,0.03,0.03
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,3,1.0,0.14,0.1699999999999999,-0.03,-0.029999999999999888,1.1102230246251565e-16,0.03,0.03
four_period--clarabel,r5-dispatch-08e4505a-bd0c-4944-a55f-7dc989f25079,4,1.0,0.14,0.12499999999999997,0.015,0.015000000000000041,4.163336342344337e-17,0.03,0.03
hand--highs,r5-dispatch-045cea18-e1a1-48d9-aa88-ad4b98394964,1,1.0,0.142,0.142,0.0,0.0,0.0,0.0,0.0
hand--clarabel,r5-dispatch-7830d344-8711-46bb-8f24-4fc2f9837ef7,1,1.0,0.142,0.142,0.0,0.0,0.0,0.0,0.0
local_heat--highs,r5-dispatch-bdcbb9ce-a614-4fc3-ae34-936395799713,1,1.0,0.142,0.142,0.0,0.0,0.0,0.0,0.0
local_heat--clarabel,r5-dispatch-7f4be322-445a-47a5-b580-ba79508e7a8b,1,1.0,0.142,0.14199999999999996,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,1,1.0,30.0,30.0,0.0,0.0,0.0,15.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,2,1.0,30.0,30.0,0.0,0.0,0.0,15.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,3,1.0,30.0,30.0,0.0,0.0,0.0,15.0,0.0
market_no_call--highs,r5-dispatch-8e7ce8c7-016c-4693-ab6e-8bf96f283d80,4,1.0,30.0,30.0,0.0,0.0,0.0,15.0,0.0
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,1,1.0,30.0,29.999999999999996,0.0,3.552713678800501e-15,3.552713678800501e-15,15.0,0.0
