case,left,right,comparable,relative_objective_difference,A2_pass
capacity_denominator,capacity_denominator--highs,capacity_denominator--clarabel,true,4.591545146905446e-13,true
down,down--highs,down--clarabel,true,8.781425053532297e-16,true
four_period,four_period--highs,four_period--clarabel,true,1.505719208819186e-14,true
four_period,four_period--highs,four_period--gurobi,true,1.23419607280263e-16,true
hand,hand--highs,hand--clarabel,true,2.501911041408803e-16,true
hand,hand--highs,hand--gurobi,true,4.2532487703949484e-15,true
local_heat,local_heat--highs,local_heat--clarabel,true,1.37605107277484e-15,true
market_no_call,market_no_call--highs,market_no_call--clarabel,true,1.5410358494519113e-15,true
market_up_10percent,market_up_10percent--highs,market_up_10percent--clarabel,true,2.9908537606149724e-16,true
market_up_full,market_up_full--highs,market_up_full--clarabel,false,NaN,false
quarter,quarter--highs,quarter--clarabel,true,6.06713427541598e-14,true
unavailable,unavailable--highs,unavailable--clarabel,false,NaN,false
up,up--highs,up--clarabel,true,4.661361918993541e-15,true
