record_id,run_id,id,kind,residual,tolerance,normalized,pass
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-10-down/GT/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-10-down/GT/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-10-up/GT/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-10-up/GT/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-14/1/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-14/1/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-14/2/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-14/2/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-15/1/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-15/1/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-15/2/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-15/2/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-16/e12/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-16/e12/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-17/root/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-17/root/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-18/source/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-18/source/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-19/building/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-19/building/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-20/1/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-20/1/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-20/2/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-20/2/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-21/1/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-21/1/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-21/2/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-21/2/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-25-26-R/h12/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-25-26-R/h12/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-25-26-S/h12/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-25-26-S/h12/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-3-minus/PCC/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-3-minus/PCC/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-3-plus/PCC/1,sign,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-3-plus/PCC/1,complementarity,0.0,1.0e-6,0.0,true
capacity_denominator--highs,r5-dispatch-cdf81e68-a583-4696-b573-24a4f7852b64,5-4/window/0,sign,0.0,1.0e-6,0.0,true
