record_id,run_id,case,mode,market_case_sha256,selection_status,selection_pass,delivery_status,delivery_pass,cost_complete,market_payment_USD,recourse_USD,total_cost_USD,parent_selected_cost_USD,conditional_cost_change_USD,bound_scope,worst_risk,elapsed_sec
competitive_hard_zero-saved_selected,r5-delivery-c934b50c-62f2-40c5-bc9e-88bf09af2968,competitive_hard_zero,saved_selected,23e6538cc2a6cf33aaf4c5a5f8db1030a3cfffceb56914c74d4ac1ac8d0f6153,preserved_parent_market_witness,true,solver_optimal,true,true,-6.200000000000004,8.285000000000004,2.085,2.085,0.0,fixed_bids_and_executed_awards_only,0.0,32.45599985122681
competitive_hard_zero-saved_independent,r5-delivery-a986cd64-34f1-4687-b0d4-92e912dc37ed,competitive_hard_zero,saved_independent,23e6538cc2a6cf33aaf4c5a5f8db1030a3cfffceb56914c74d4ac1ac8d0f6153,preserved_parent_market_witness,true,solver_optimal,true,true,0.0,18.460000000000004,18.460000000000004,2.085,16.375000000000004,fixed_bids_and_executed_awards_only,0.0,1.008000135421753
competitive_hard_zero-minimum_norm,r5-delivery-674a74c2-6412-4067-8ce4-9b01d496d93c,competitive_hard_zero,minimum_norm,23e6538cc2a6cf33aaf4c5a5f8db1030a3cfffceb56914c74d4ac1ac8d0f6153,selection_solved,true,solver_optimal,true,true,-4.9999999902981855,17.83500000289888,12.835000012600695,2.085,10.750000012600694,fixed_bids_and_executed_awards_only,0.0,22.646999835968018
competitive_quarter-saved_selected,r5-delivery-fbd136f8-3d7e-44fa-834a-34c4af172699,competitive_quarter,saved_selected,922340a52e236445125d34cf2c3ee953cda91f5ba5cbcf03082710b2262ea0f4,preserved_parent_market_witness,true,solver_optimal,true,true,-1.550000000000001,2.071250000000001,0.52125,0.52125,0.0,fixed_bids_and_executed_awards_only,0.0,0.6529998779296875
competitive_quarter-saved_independent,r5-delivery-837cddf4-e14f-4f1d-8a94-97c24f504b82,competitive_quarter,saved_independent,922340a52e236445125d34cf2c3ee953cda91f5ba5cbcf03082710b2262ea0f4,preserved_parent_market_witness,true,solver_optimal,true,true,0.0,4.615000000000001,4.615000000000001,0.52125,4.093750000000001,fixed_bids_and_executed_awards_only,0.0,0.46199989318847656
competitive_quarter-minimum_norm,r5-delivery-0ff2b141-13e7-4db6-831a-420d7ca15a54,competitive_quarter,minimum_norm,922340a52e236445125d34cf2c3ee953cda91f5ba5cbcf03082710b2262ea0f4,selection_solved,true,solver_optimal,true,true,-1.249999997791954,4.458750000704219,3.2087500029122653,0.52125,2.687500002912265,fixed_bids_and_executed_awards_only,0.0,1.130000114440918
competitive_thermal_e030_r005-saved_selected,r5-delivery-5045f4f4-90e1-4146-a0b6-511020386f21,competitive_thermal_e030_r005,saved_selected,aeee78b7183dc9c261f8cfd0bb132d938ad010304de046558bfb1a510a1bf29e,preserved_parent_market_witness,true,solver_optimal,true,true,-7.477999999999893,8.844479999999898,1.3664800000000046,1.36648000000001,-5.329070518200751e-15,fixed_bids_and_executed_awards_only,0.3,0.3970000743865967
competitive_thermal_e030_r005-saved_independent,r5-delivery-3c0312c6-da55-4877-9677-4db6f04e90f7,competitive_thermal_e030_r005,saved_independent,aeee78b7183dc9c261f8cfd0bb132d938ad010304de046558bfb1a510a1bf29e,preserved_parent_market_witness,true,solver_optimal,true,true,0.0,18.127719999999893,18.127719999999893,1.36648000000001,16.761239999999884,fixed_bids_and_executed_awards_only,0.3,0.7239999771118164
competitive_thermal_e030_r005-minimum_norm,r5-delivery-b25be539-1b19-4130-a8b3-b94d4dea062e,competitive_thermal_e030_r005,minimum_norm,aeee78b7183dc9c261f8cfd0bb132d938ad010304de046558bfb1a510a1bf29e,selection_solved,true,solver_optimal,true,true,-4.9999999902981855,17.54465000282662,12.544650012528436,1.36648000000001,11.178170012528426,fixed_bids_and_executed_awards_only,0.3,0.7180001735687256
competitive_future_e030_r005-saved_selected,r5-delivery-47007aa6-b443-45a7-9d85-16eac980dd24,competitive_future_e030_r005,saved_selected,f5a5669507162aa09455e349bf205b026476c0cf27e8d37006cdfec8029d17a7,preserved_parent_market_witness,true,solver_optimal,true,true,-32.0,18.44910937839724,-13.550890621602761,-13.550890621602786,2.4868995751603507e-14,fixed_bids_and_executed_awards_only,0.3,0.7760000228881836
