record_id,run_id,scenario,building,t,dt_h,room_K,heat_MW,import_MW,delivered_MW,requested_MW
competitive_hard_zero-saved_selected,r5-delivery-c934b50c-62f2-40c5-bc9e-88bf09af2968,none,building,1,1.0,293.15,0.041999999999999885,0.08,0.0,0.0
competitive_hard_zero-saved_selected,r5-delivery-c934b50c-62f2-40c5-bc9e-88bf09af2968,up,building,1,1.0,293.15,0.041999999999999885,0.0,0.08,0.08
competitive_hard_zero-saved_selected,r5-delivery-c934b50c-62f2-40c5-bc9e-88bf09af2968,down,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,-0.06200000000000004,-0.06200000000000004
competitive_hard_zero-saved_independent,r5-delivery-a986cd64-34f1-4687-b0d4-92e912dc37ed,none,building,1,1.0,293.15,0.041999999999999885,0.0,0.0,0.0
competitive_hard_zero-saved_independent,r5-delivery-a986cd64-34f1-4687-b0d4-92e912dc37ed,up,building,1,1.0,293.15,0.041999999999999885,0.0,0.0,0.0
competitive_hard_zero-saved_independent,r5-delivery-a986cd64-34f1-4687-b0d4-92e912dc37ed,down,building,1,1.0,293.15,0.041999999999999885,0.0,0.0,0.0
competitive_hard_zero-minimum_norm,r5-delivery-674a74c2-6412-4067-8ce4-9b01d496d93c,none,building,1,1.0,293.15,0.041999999999999885,0.0,3.1663020583991426e-12,0.0
competitive_hard_zero-minimum_norm,r5-delivery-674a74c2-6412-4067-8ce4-9b01d496d93c,up,building,1,1.0,293.15,0.041999999999999885,0.0,3.1663020583991426e-12,1.499414103855187e-12
competitive_hard_zero-minimum_norm,r5-delivery-674a74c2-6412-4067-8ce4-9b01d496d93c,down,building,1,1.0,293.15,0.041999999999999885,0.04999999990781549,-0.04999999990464919,-0.04999999990464919
competitive_quarter-saved_selected,r5-delivery-fbd136f8-3d7e-44fa-834a-34c4af172699,none,building,1,0.25,293.15,0.042000000000000454,0.08,0.0,0.0
competitive_quarter-saved_selected,r5-delivery-fbd136f8-3d7e-44fa-834a-34c4af172699,up,building,1,0.25,293.15,0.042000000000000454,0.0,0.08,0.08
competitive_quarter-saved_selected,r5-delivery-fbd136f8-3d7e-44fa-834a-34c4af172699,down,building,1,0.25,293.15,0.042000000000000454,0.14200000000000004,-0.06200000000000004,-0.06200000000000004
competitive_quarter-saved_independent,r5-delivery-837cddf4-e14f-4f1d-8a94-97c24f504b82,none,building,1,0.25,293.15,0.042000000000000454,0.0,0.0,0.0
competitive_quarter-saved_independent,r5-delivery-837cddf4-e14f-4f1d-8a94-97c24f504b82,up,building,1,0.25,293.15,0.042000000000000454,0.0,0.0,0.0
