record_id,run_id,case_name,case_sha256,solver_status,payment_status,model_pass,kkt_pass,identity_pass,valid,direct_USD,affine_USD,residual_USD,tolerance_USD
bid_cap--clarabel,r5-market-6280e9b8-9d57-4a62-9e89-44bd28f72a7e,bid_cap,cab5fac023eeaea4998db0695f340033f6197a89b7ef3a11bbdaa06f601cff6b,solver_optimal,payment_identity_verified,true,true,true,true,0.0,4.95401764055714e-9,4.95401764055714e-9,1.0e-6
bid_cap--highs,r5-market-03d6646f-dfec-4313-aa36-f54f73572534,bid_cap,cab5fac023eeaea4998db0695f340033f6197a89b7ef3a11bbdaa06f601cff6b,solver_optimal,payment_identity_verified,true,true,true,true,0.0,0.0,0.0,1.0e-6
capacity_infeasible--clarabel,r5-market-a2ff021c-240f-4ca2-ab7f-51ed54ad72cd,capacity_infeasible,c4dcfadcb5cef69aa614de78f012f2724ad84e3f471ae21a046af7ecaa82a94f,solver_infeasible,missing_candidate_or_multipliers,false,false,false,false,NaN,NaN,NaN,NaN
capacity_infeasible--highs,r5-market-166ea1a6-85f1-4c17-b49c-86f76197928b,capacity_infeasible,c4dcfadcb5cef69aa614de78f012f2724ad84e3f471ae21a046af7ecaa82a94f,solver_infeasible,missing_candidate_or_multipliers,false,false,false,false,NaN,NaN,NaN,NaN
hand_hour--clarabel,r5-market-233ebb7f-8df5-41f0-9d32-fdc42a0fdc35,hand_hour,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,payment_identity_verified,true,true,true,true,600.0000000004612,600.000000028935,2.8473778002080508e-8,0.000600000000028935
hand_hour--gurobi,r5-market-fda8845e-bea6-4592-855a-67c897fc151f,hand_hour,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,payment_identity_verified,true,true,true,true,600.0,600.0,0.0,0.0006
hand_hour--highs,r5-market-eee930bd-2084-4495-81af-d037ee692e80,hand_hour,955521c4ee8b3de52ec03bce12d5d6037e395d4e119296cd8277fec852bbd3a0,solver_optimal,payment_identity_verified,true,true,true,true,600.0,600.0,0.0,0.0006
hand_quarter--clarabel,r5-market-b38157e0-2b1a-4579-a32b-0e6e303f27a2,hand_quarter,9cd6b1600bbc9b75117dec81231bb7904df8feff72425b9e60c366f0506998ec,solver_optimal,payment_identity_verified,true,true,true,true,150.0000000006469,150.00000000888915,8.242238891398301e-9,0.00015000000000888914
hand_quarter--highs,r5-market-9ab0ab0e-8c99-4e97-9712-f7307e62097b,hand_quarter,9cd6b1600bbc9b75117dec81231bb7904df8feff72425b9e60c366f0506998ec,solver_optimal,payment_identity_verified,true,true,true,true,150.0,150.0,0.0,0.00015
no_ies--clarabel,r5-market-b46aa87e-1834-4cbb-9c44-ac4fec66a022,no_ies,d535e3298c68c0af8735e313d3b885f55c2b6d3c9b368e2f7e604a8f4cf59144,solver_optimal,payment_identity_verified,true,true,true,true,0.0,5.146466719452292e-8,5.146466719452292e-8,1.0e-6
no_ies--highs,r5-market-546b1c0d-7da4-4146-8303-589e77ea34b4,no_ies,d535e3298c68c0af8735e313d3b885f55c2b6d3c9b368e2f7e604a8f4cf59144,solver_optimal,payment_identity_verified,true,true,true,true,0.0,0.0,0.0,1.0e-6
ramp_memory--clarabel,r5-market-d70c1755-f8c2-4fe2-9207-e2f1b8702532,ramp_memory,a60e590062b7ae541807da845e6a07ca4786af2a0e9a1a856b12d2f707650483,solver_optimal,payment_identity_verified,true,true,true,true,0.0,2.251181285828352e-8,2.251181285828352e-8,1.0e-6
ramp_memory--highs,r5-market-983b8245-4a78-4ce0-9e12-176a14540ab1,ramp_memory,a60e590062b7ae541807da845e6a07ca4786af2a0e9a1a856b12d2f707650483,solver_optimal,payment_identity_verified,true,true,true,true,0.0,0.0,0.0,1.0e-6
two_bus--clarabel,r5-market-7c5805ec-3995-404a-88dd-6f5eadee5d92,synthetic-two-bus-market,78eb4ce5f464b424ac84f96eda8af6716eed487e983459174987778e04cc7c5b,solver_optimal,payment_identity_verified,true,true,true,true,5879.999999960185,5880.000000134731,1.7454567569075152e-7,0.005880000000134731
two_bus--gurobi,r5-market-316d8759-14b0-40a0-8c3a-05f3350a6715,synthetic-two-bus-market,78eb4ce5f464b424ac84f96eda8af6716eed487e983459174987778e04cc7c5b,solver_optimal,payment_identity_verified,true,true,true,true,5880.0,5880.0,0.0,0.00588
two_bus--highs,r5-market-23857e7b-9507-44ea-baff-241a6968cc36,synthetic-two-bus-market,78eb4ce5f464b424ac84f96eda8af6716eed487e983459174987778e04cc7c5b,solver_optimal,payment_identity_verified,true,true,true,true,5880.0,5880.0,0.0,0.00588
wide_line--clarabel,r5-market-ce0dfaf3-1cfb-440b-bb40-669df217bb8b,wide_line,1c3a0de4705a0f7127f49c9cc3ebba08c627dfb567cbad44097ff321d9324aac,solver_optimal,payment_identity_verified,true,true,true,true,5504.879891629129,5504.8798916955075,6.63785613141954e-8,0.005504879891695507
wide_line--highs,r5-market-952e7453-b839-4811-9ef9-7584c0111b26,wide_line,1c3a0de4705a0f7127f49c9cc3ebba08c627dfb567cbad44097ff321d9324aac,solver_optimal,payment_identity_verified,true,true,true,true,4980.0,4980.0,0.0,0.00498
