record_id,run_id,branch_run_id,pattern,status,model_pass,risk_pass,cost_complete,objective,bound
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-b9286518-a9eb-4dc9-abb8-9f9a3d1f5e2c,000,solver_optimal,true,true,true,35.70561743616676,35.705617435888456
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-e6284b1e-4333-41f6-8ab4-9b7ea5f6bddf,100,solver_infeasible,false,false,false,NaN,NaN
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-32385447-6e28-4a4f-9505-ca146866df57,010,solver_optimal,true,true,true,35.66961485089983,35.66961484955927
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-ea6c287f-cff9-4add-ad56-1fcb8226b0c3,110,solver_infeasible,false,false,false,NaN,NaN
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-811748ea-2790-4f02-b0a8-b59973782889,001,solver_optimal,true,true,true,35.70561743638755,35.7056174336802
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-e2168195-ae20-4e2e-b84a-c17e3a09a317,101,solver_infeasible,false,false,false,NaN,NaN
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-6583487b-db4a-4728-b24b-a26523c7e505,011,solver_infeasible,false,false,false,NaN,NaN
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,r5-risk-f2c2ff5e-91d7-425b-9a6b-a5ee23d6ff40,111,solver_infeasible,false,false,false,NaN,NaN
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,r5-risk-ec6c75c6-3b17-4db6-83b1-53510a2c2055,000,solver_optimal,true,true,true,35.160172779169336,35.160172776788606
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,r5-risk-59a15f65-0b2b-410f-b2cf-0aff1fbf5b40,100,solver_infeasible,false,false,false,NaN,NaN
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,r5-risk-08c4444b-8e6c-4feb-a996-17298db0847f,010,solver_infeasible,false,false,false,NaN,NaN
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,r5-risk-c3b253ef-92dd-4c95-bb5a-5ad3cb5d31cf,110,solver_infeasible,false,false,false,NaN,NaN
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,r5-risk-681f7bb0-c3dc-4ead-bd4f-4ace538ae910,001,solver_infeasible,false,false,false,NaN,NaN
