record_id,run_id,case,case_sha256,solver,method,status,model_pass,risk_pass,cost_pass,cost_complete,objective,nominal_cost,solver_objective,bound,relative_gap,day_ahead_cost,radius,epsilon,actual_risk,selected_risk,elapsed_sec,branch_count
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,future_e030_r005.toml,e3a85ba4778e94f3bb4dbfe4c881e739e06bb66166e7a8de630f3afcf9748acf,highs,direct,solver_optimal,true,true,true,true,35.66961485077962,35.21832770410178,35.66961485068751,35.66961485068751,2.5822441655707595e-12,26.418919711714825,0.05,0.3,0.30000000003111205,0.30000000003111205,11.204999923706055,0
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,future_e030_r005.toml,e3a85ba4778e94f3bb4dbfe4c881e739e06bb66166e7a8de630f3afcf9748acf,clarabel,enumeration,enumeration_complete,true,true,true,true,35.66961485089983,35.2183277040852,35.669614850812046,35.66961484955927,3.7582877592244246e-11,26.41891970331654,0.05,0.3,0.30000000003111205,0.30000000003111205,1.2090001106262207,8
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,future_hard.toml,d6dd9ae6bc6503e175464e1cfdaafa4f89acb784d77e425076578e59e7dbcc86,highs,direct,solver_optimal,true,true,true,true,35.160172778957644,35.160172778868585,35.16017277886857,35.16017277886857,2.533367452852626e-12,22.006814296720236,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.06099987030029297,0
future_hard--clarabel,r5-risk-enum-d0a6d0e2-901e-492f-9e68-dae3c57b732c,future_hard.toml,d6dd9ae6bc6503e175464e1cfdaafa4f89acb784d77e425076578e59e7dbcc86,clarabel,enumeration,enumeration_complete,true,true,true,true,35.160172779169336,35.1601727790854,35.16017277913025,35.160172776788606,6.771099489572308e-11,20.91248154871583,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.28299999237060547,8
hard_r020--highs,r5-risk-03af27be-8fde-4133-ab7f-b22d9fd05b2b,hard_r020.toml,be29cde49a9c611dee040f2ac0adde01eb360535264131b48c82bdd21925a18d,highs,direct,solver_optimal,true,true,true,true,3.5050000000078407,2.0850000000000035,3.5050000000000003,3.505000000000001,2.2367905593938566e-12,-6.200000000000004,0.2,0.0,-1.1132622434843223e-12,-1.1132622434843223e-12,0.04499983787536621,0
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,hard_r020.toml,be29cde49a9c611dee040f2ac0adde01eb360535264131b48c82bdd21925a18d,clarabel,enumeration,enumeration_complete,true,true,true,true,3.505000000008316,2.0850000000006883,3.5050000000005483,3.504999999995015,3.794840491922302e-12,-6.200000000001523,0.2,0.0,-1.1132622434843223e-12,-1.1132622434843223e-12,0.15999984741210938,8
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,hard_r100.toml,d54a57fd87353b7bcaf60645027508000db6cf85924965067192940fdd522456,highs,direct,solver_optimal,true,true,true,true,5.500000000017261,2.1750000000000043,5.500000000000002,5.500000000000002,3.138015100283394e-12,-8.0,1.0,0.0,4.965618883611946e-13,4.965618883611946e-13,0.04499983787536621,0
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,hard_r100.toml,d54a57fd87353b7bcaf60645027508000db6cf85924965067192940fdd522456,clarabel,enumeration,enumeration_complete,true,true,true,true,5.500000000023384,2.1750000000025604,5.500000000000272,5.4999999999921405,5.680627685392449e-12,-7.999999999998588,1.0,0.0,4.965618883611946e-13,4.965618883611946e-13,0.16199994087219238,8
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,highs,direct,solver_optimal,true,true,true,true,2.0850000000292352,2.0850000000000017,2.085000000000001,2.085000000000001,1.4021291455165327e-11,-6.200000000000004,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.04499983787536621,0
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,clarabel,enumeration,enumeration_complete,true,true,true,true,2.085000000034312,2.0850000000050786,2.085000000001149,2.0849999999361493,4.7080484993415807e-11,-6.200000000028353,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.15900015830993652,8
physical_infeasible--highs,r5-risk-3500fd14-0aff-4f88-a8a1-556a6be0ce49,physical_infeasible.toml,5488be7813db2ff0b32a6e3029dc0e33c590c815d3970022f2aa21422caf7ca3,highs,direct,solver_infeasible,false,false,false,false,NaN,NaN,NaN,0.0,NaN,NaN,0.0,1.0,NaN,NaN,0.019999980926513672,0
physical_infeasible--clarabel,r5-risk-enum-8e5eaad1-c62a-4d75-afde-6269ad0faa0f,physical_infeasible.toml,5488be7813db2ff0b32a6e3029dc0e33c590c815d3970022f2aa21422caf7ca3,clarabel,enumeration,solver_infeasible,false,false,false,false,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.0,NaN,NaN,0.12200021743774414,8
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,quarter.toml,a9fa178ef996fa31b663ac51797e132c4942a8c231f02dcd62b1e67cb6d144c1,highs,direct,solver_optimal,true,true,true,true,0.5212500000012394,0.5212500000000004,0.5212500000000002,0.5212500000000002,1.2392309400865997e-12,-1.550000000000001,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.05500006675720215,0
quarter--clarabel,r5-risk-enum-4b5b8253-28c7-48a8-a848-f0d222af4860,quarter.toml,a9fa178ef996fa31b663ac51797e132c4942a8c231f02dcd62b1e67cb6d144c1,clarabel,enumeration,enumeration_complete,true,true,true,true,0.5212500000015621,0.5212500000003231,0.5212499999999014,0.5212499999998477,1.7144063946261667e-12,-1.5500000000003653,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.16199994087219238,8
thermal_e000_r005--highs,r5-risk-31608050-7aca-4270-b3cc-4b3371c7d46d,thermal_e000_r005.toml,c14883e5dbc9d84c196f14130a904f16f77c1349c77d9c48330520cbdaf492f8,highs,direct,solver_optimal,true,true,true,true,2.440000000001464,2.0849999999999875,2.4399999999999826,2.4399999999999826,6.071645918274262e-13,-6.199999999999913,0.05,0.0,1.0724946468434973e-13,1.0724946468434973e-13,0.04500007629394531,0
thermal_e000_r005--clarabel,r5-risk-enum-230f3a21-1bea-421f-aa8a-15894bf1881a,thermal_e000_r005.toml,c14883e5dbc9d84c196f14130a904f16f77c1349c77d9c48330520cbdaf492f8,clarabel,enumeration,enumeration_complete,true,true,true,true,2.440000000002854,2.085000000001477,2.4400000000018904,2.439999999973034,1.2221371455814334e-11,-6.200000000005254,0.05,0.0,1.0724946468434973e-13,1.0724946468434973e-13,0.15899991989135742,8
thermal_e025_r000--highs,r5-risk-be93d55a-a696-48b7-a024-f5a9da4d7731,thermal_e025_r000.toml,7a641221041941fe218cde5ac56f368bb31f021670a45bb4467893c00817a815,highs,direct,solver_optimal,true,true,true,true,1.0626000000144407,1.0625999999999847,1.0625999999999851,1.0625999999999856,1.3603523226447481e-11,-7.477999999999914,0.0,0.25,0.2500000000207287,0.2500000000207287,0.046000003814697266,0
thermal_e025_r000--clarabel,r5-risk-enum-08cd812b-46ec-41ef-91d9-84e3b8b14f4e,thermal_e025_r000.toml,7a641221041941fe218cde5ac56f368bb31f021670a45bb4467893c00817a815,clarabel,enumeration,enumeration_complete,true,true,true,true,1.0626000000149016,1.0626000000004474,1.0626000000003153,1.0625999999924989,2.108295343909939e-11,-7.478000000005867,0.0,0.25,0.2500000000207287,0.2500000000207287,0.21799993515014648,8
thermal_e025_r005--highs,r5-risk-d9fb7e90-e5a7-4161-9268-e559fdbe5e98,thermal_e025_r005.toml,82042252e86e09acf48e0704a59845f900672ef50736977add8eff70d33eac85,highs,direct,solver_optimal,true,true,true,true,2.440000000001464,2.0849999999999875,2.4399999999999826,2.4399999999999826,6.071645918274262e-13,-6.199999999999913,0.05,0.25,1.0724946468434973e-13,1.0724946468434973e-13,0.04399991035461426,0
thermal_e025_r005--clarabel,r5-risk-enum-915983bd-1baf-467f-8c23-651014ee31da,thermal_e025_r005.toml,82042252e86e09acf48e0704a59845f900672ef50736977add8eff70d33eac85,clarabel,enumeration,enumeration_complete,true,true,true,true,2.4400000000027067,2.085000000001303,2.440000000001463,2.4399999999876294,6.179210149017521e-12,-6.2000000000047795,0.05,0.25,1.0724946468434973e-13,1.0724946468434973e-13,0.1979999542236328,8
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,highs,direct,solver_optimal,true,true,true,true,1.3664800000271038,1.0625999999999847,1.3664799999999835,1.3664799999999835,1.9846837129266782e-11,-7.477999999999914,0.05,0.3,0.3000000000311121,0.3000000000311121,0.04500007629394531,0
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,clarabel,enumeration,enumeration_complete,true,true,true,true,1.3664800000293393,1.0626000000022522,1.3664800000022883,1.3664799999743547,4.023819117133073e-11,-7.478000000006528,0.05,0.3,0.3000000000311121,0.3000000000311121,0.22300004959106445,8
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,thermal_e100_r000.toml,325503066e25e3a3d7db5a4c0e7e5320e06a9a1b9ffc44406e5c7692d05f9b12,highs,direct,solver_optimal,true,true,true,true,-0.1834499999977499,-0.18345000000001477,-0.1834500000000152,-0.1834500000000152,2.2652990594451694e-12,-7.477999999999914,0.0,1.0,1.0000000000004743,1.0000000000004743,0.04699993133544922,0
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,thermal_e100_r000.toml,325503066e25e3a3d7db5a4c0e7e5320e06a9a1b9ffc44406e5c7692d05f9b12,clarabel,enumeration,enumeration_complete,true,true,true,true,-0.18344999999595313,-0.18344999999821976,-0.1834499999984701,-0.18345000001420644,1.8253315525740277e-11,-7.478000000009285,0.0,1.0,1.0000000000004743,1.0000000000004743,0.3840000629425049,8
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,thermal_hard.toml,8442d30b3819ec7c8d87111fcc58f1b2c23e37fbc6ed2df6a0c934dd294e5f39,highs,direct,solver_optimal,true,true,true,true,2.08500000002922,2.0849999999999866,2.0849999999999866,2.0849999999999866,1.402086547031186e-11,-6.199999999999912,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.04800009727478027,0
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,thermal_hard.toml,8442d30b3819ec7c8d87111fcc58f1b2c23e37fbc6ed2df6a0c934dd294e5f39,clarabel,enumeration,enumeration_complete,true,true,true,true,2.0850000000333457,2.0850000000041122,2.0850000000013296,2.084999999925079,5.192648868760887e-11,-6.20000000003036,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.15700006484985352,8
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,gurobi,direct,solver_optimal,true,true,true,true,2.0850000000292344,2.084999999999999,2.085,2.085,1.4021291455165332e-11,-6.1999999999999975,0.0,0.0,4.74279467309549e-13,4.74279467309549e-13,0.690000057220459,0
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,gurobi,direct,solver_optimal,true,true,true,true,1.3664800000270922,1.0625999999999785,1.3664799999999708,1.366479999999969,1.984894954940041e-11,-7.4779999999999305,0.05,0.3,0.3000000000311121,0.3000000000311121,0.039999961853027344,0
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,future_e030_r005.toml,e3a85ba4778e94f3bb4dbfe4c881e739e06bb66166e7a8de630f3afcf9748acf,gurobi,direct,solver_optimal,true,true,true,true,35.669614850779375,35.21832770410148,35.669614850687495,35.66961485068749,2.5760689307383544e-12,26.41891971171482,0.05,0.3,0.30000000003111205,0.30000000003111205,0.04900002479553223,0
