record_id,run_id,scenario,group,id,entity,t,residual,tolerance,normalized,pass,unit
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/auxiliary,5-3-exact,PCC,1,0.0,2.0e-6,0.0,true,MW
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/auxiliary,5-3-exact,PCC,2,0.0,2.0e-6,0.0,true,MW
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/auxiliary,5-3-exact,PCC,3,0.0,2.0e-6,0.0,true,MW
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/auxiliary,5-3-exact,PCC,4,1.1379786002407855e-15,2.0e-6,5.689893001203927e-10,true,MW
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,5-28,building,1,0.0,0.0001,0.0,true,K
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,5-28,building,2,0.0,0.0001,0.0,true,K
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,5-28,building,3,0.0,0.0001,0.0,true,K
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,5-28,building,4,0.0,0.0001,0.0,true,K
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,R5-D-building,building,1,0.0,0.0001,0.0,true,K
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,R5-D-building,building,2,0.0,0.0001,0.0,true,K
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,physical/comfort,R5-D-building,building,3,0.0,0.0001,0.0,true,K
