record_id,run_id,scenario,building,t,dt_h,room_K,comfort_lower_K,comfort_upper_K,heat_MW,import_MW,request_MW,delivered_MW,mismatch_MW
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,none,building,1,1.0,293.31600450135824,292.15,294.15,0.033818103531240366,0.12,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,none,building,2,1.0,292.2405893053759,292.15,294.15,0.008763463996480871,0.09000000000000002,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,none,building,3,1.0,292.15,292.15,294.15,0.02518821389247948,0.0,-0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,none,building,4,1.0,293.15,292.15,294.15,0.04699999999999932,0.08218919711714823,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,up,building,1,1.0,293.9038378484343,292.15,294.15,0.05033827051398854,0.12,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,up,building,2,1.0,295.15,292.15,294.15,0.06692324303131247,0.010000000000000023,0.08,0.08,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,up,building,3,1.0,293.4543478260869,292.15,294.15,0.0,0.0,-0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,up,building,4,1.0,293.15,292.15,294.15,0.023913043478260874,0.08218919711714823,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,building,1,1.0,292.15,292.15,294.15,0.0,0.12,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,building,2,1.0,292.15,292.15,294.15,0.026999999999999698,0.09000000000000002,0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,building,3,1.0,292.1500000000001,292.15,294.15,0.024000000000002242,0.0,-0.0,0.0,0.0
future_e030_r005--highs,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,down,building,4,1.0,293.15,292.15,294.15,0.043999999999997395,0.08218919711714937,0.0,-1.1379786002407855e-15,1.1379786002407855e-15
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,none,building,1,1.0,292.37535246673474,292.15,294.15,0.012183106734861848,0.11999999999874478,0.0,5.551115123125783e-16,5.551115123125783e-16
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,none,building,2,1.0,292.25685113337977,292.15,294.15,0.027950526733005694,0.08999999999866534,0.0,-1.0547118733938987e-15,1.0547118733938987e-15
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,none,building,3,1.0,292.3422019865018,292.15,294.15,0.029283623021908373,2.6264519480460944e-13,0.0,3.1239251833773032e-15,3.1239251833773032e-15
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,none,building,4,1.0,293.15000000000003,292.15,294.15,0.04315596026992961,0.08218919703545692,0.0,-9.43689570931383e-16,9.43689570931383e-16
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,up,building,1,1.0,293.90383784839463,292.15,294.15,0.0503382705130419,0.11999999999855401,2.1212606010253233e-13,1.913191827185301e-13,2.080687738400223e-14
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,up,building,2,1.0,295.1499999998676,292.15,294.15,0.06692324302903173,0.009999999999689212,0.07999999999897996,0.07999999999897507,4.884981308350689e-15
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,up,building,3,1.0,293.45434782632793,292.15,294.15,8.15958927386106e-12,1.3684466437268164e-13,1.3755557078228102e-13,1.289244556153051e-13,8.63111516697592e-15
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,up,building,4,1.0,293.15000000000003,292.15,294.15,0.02391304347341056,0.08218919703452691,9.417532096944135e-13,9.290623825819466e-13,1.2690827112466905e-14
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,down,building,1,1.0,292.1500000075259,292.15,294.15,5.669850092872801e-9,0.11999999999880977,-8.866553809183528e-14,-6.443456879168252e-14,2.4230969300152762e-14
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,down,building,2,1.0,292.1500000070022,292.15,294.15,0.027000000010413444,0.0899999999989382,-2.9140783675506674e-13,-2.7390589796283393e-13,1.7501938792232805e-14
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,down,building,3,1.0,292.15000000289734,292.15,294.15,0.023999999926489615,5.158012186491386e-13,-2.6791133732698534e-13,-2.5003209866115183e-13,1.787923866583351e-14
future_e030_r005--clarabel,r5-risk-enum-10512082-8c43-456e-bf66-2b7bf1a5e7d5,down,building,4,1.0,293.15000000000003,292.15,294.15,0.043999999941946734,0.08218919705028263,-1.4833213653985057e-11,-1.4826653793598155e-11,6.559860386901942e-15
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,none,building,1,1.0,294.03518581497156,292.15,294.15,0.05035927374434676,0.108,0.0,0.0,0.0
future_hard--highs,r5-risk-193959f6-b66b-41cd-8922-f8cf039e20e4,none,building,2,1.0,292.6075321475038,292.15,294.15,0.0028195230931545865,0.09000000000000002,0.0,0.0,0.0
