record_id,run_id,iteration,scenario,source_id,kind,status,branch,model_pass,kkt_pass,objective,numerical_scale
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,1,down,r5-benders-sub-c9f8e571-cc65-4bbc-86ad-3bf04f98331b,cost,solver_optimal,0,true,true,40.85383846759771,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,1,none,r5-benders-sub-1d71a97d-fd85-4087-a8d8-c840a4fd937a,cost,solver_optimal,0,true,true,41.81316350409469,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,1,up,r5-benders-sub-9d435558-ddfa-4993-b0e5-3c11601fca80,cost,solver_optimal,0,true,true,51.456175989768596,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,2,down,r5-benders-sub-9cc7c292-d07e-466c-be76-81eb74bcd99b,cost,solver_infeasible,1,false,false,NaN,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,2,none,r5-benders-sub-50f0fe58-ae3f-40a3-afba-5323b177bf9c,cost,solver_infeasible,0,false,false,NaN,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,2,up,r5-benders-sub-b95cfac1-fe87-49dd-94ab-e8efc822ebf2,cost,solver_infeasible,0,false,false,NaN,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,2,down,r5-benders-sub-37f62623-b655-4cca-8805-8f3029bfabfa,diagnostic,solver_optimal,1,true,true,1.6304847411334846,1024.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,2,none,r5-benders-sub-2bb97afc-67b6-44ff-8b1c-9dbf1bec4e1d,diagnostic,solver_optimal,0,true,true,1.441817490086812,1024.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,2,up,r5-benders-sub-b0e3ef28-8ff0-4d90-8207-ef94d9c43497,diagnostic,solver_optimal,0,true,true,1.249896729594704,1024.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,3,down,r5-benders-sub-d0f787d8-71a1-48e8-b8e7-e2eca70a03c8,cost,solver_infeasible,1,false,false,NaN,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,3,none,r5-benders-sub-597d59e9-040e-42a5-a12b-80771b3e8334,cost,solver_optimal,0,true,true,7.500000000000001,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,3,up,r5-benders-sub-5bc4ffd1-63f8-4e63-948f-cc4d0bf8a5dc,cost,solver_optimal,0,true,true,7.5690450990288625,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,3,down,r5-benders-sub-40f8e2d4-bf2f-482f-b957-65e10f3c3f59,diagnostic,solver_optimal,1,true,true,0.0020780795772678273,1024.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,4,down,r5-benders-sub-0a8866df-2416-425c-927b-d6418f84403f,cost,solver_optimal,1,true,true,42.36303330344376,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,4,none,r5-benders-sub-c64dbca8-d48e-45dd-af79-acafa4b17e2a,cost,solver_optimal,0,true,true,7.74999999999985,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,4,up,r5-benders-sub-ef33dc84-c4a1-4972-b0ea-57220c29131d,cost,solver_optimal,0,true,true,15.456175989768514,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,5,down,r5-benders-sub-f770f381-4565-4d4a-a5ae-b524cfe02c75,cost,solver_optimal,0,true,true,46.98712769967935,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,5,none,r5-benders-sub-63c91e8f-d8d4-40ae-af60-3834f4255c8f,cost,solver_optimal,0,true,true,7.749999999999996,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,5,up,r5-benders-sub-567cff5c-eda9-449f-b391-328a4b52c1bd,cost,solver_optimal,1,true,true,15.179903178440973,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,6,down,r5-benders-sub-796643f4-f556-4274-a649-98060618125b,cost,solver_optimal,1,true,true,31.21035210640091,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,6,none,r5-benders-sub-04124398-ca3b-4c7d-b837-008dcb3e8615,cost,solver_optimal,0,true,true,35.225310161451894,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,6,up,r5-benders-sub-af3f79a8-4944-4876-ba99-a1cc305d2826,cost,solver_optimal,0,true,true,41.320575710484704,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,7,down,r5-benders-sub-d24ed658-d5e6-4b4f-8d28-bbee983c1110,cost,solver_optimal,1,true,true,36.007308934821026,1.0
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,7,none,r5-benders-sub-02cbfbc2-f4c4-47cc-879e-09877e515bd7,cost,solver_optimal,0,true,true,9.20156082677859,1.0
