record_id,run_id,scenario,nominal,z,cost_USD,cost_worst,risk_worst,comfort_excess_K
competitive_hard_zero-sos1,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,none,0.5,0.0,8.060000000000006,0.5,0.5,0.0
competitive_hard_zero-sos1,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,up,0.25,0.0,12.060000000000004,0.25,0.25,0.0
competitive_hard_zero-sos1,r5-strategic-db21a41d-7d57-4f76-8ddb-95187c41628d,down,0.25,0.0,4.9600000000000035,0.25,0.25,0.0
competitive_hard_zero-branch,r5-strategic-09c293ea-1ec0-490a-b058-bf63f33fb228,none,0.5,0.0,8.060000000000006,0.5,0.5,0.0
competitive_hard_zero-branch,r5-strategic-09c293ea-1ec0-490a-b058-bf63f33fb228,up,0.25,0.0,12.060000000000004,0.25,0.25,0.0
competitive_hard_zero-branch,r5-strategic-09c293ea-1ec0-490a-b058-bf63f33fb228,down,0.25,0.0,4.9600000000000035,0.25,0.25,0.0
competitive_quarter-sos1,r5-strategic-1958dce7-9460-4c76-a23b-d6c4080947af,none,0.5,0.0,2.0150000000000015,0.5,0.5,0.0
competitive_quarter-sos1,r5-strategic-1958dce7-9460-4c76-a23b-d6c4080947af,up,0.25,0.0,3.015000000000001,0.25,0.25,0.0
competitive_quarter-sos1,r5-strategic-1958dce7-9460-4c76-a23b-d6c4080947af,down,0.25,0.0,1.2400000000000009,0.25,0.25,0.0
competitive_quarter-branch,r5-strategic-24c3949a-814b-4742-92eb-c5b7fb9d30fc,none,0.5,0.0,2.0150000000000015,0.5,0.5,0.0
competitive_quarter-branch,r5-strategic-24c3949a-814b-4742-92eb-c5b7fb9d30fc,up,0.25,0.0,3.015000000000001,0.25,0.25,0.0
competitive_quarter-branch,r5-strategic-24c3949a-814b-4742-92eb-c5b7fb9d30fc,down,0.25,0.0,1.2400000000000009,0.25,0.25,0.0
competitive_thermal_e030_r005-sos1,r5-strategic-34589db1-3375-4776-b049-46aeb980c9c0,none,0.5,0.0,8.059999999999919,0.5,0.45,0.0
competitive_thermal_e030_r005-sos1,r5-strategic-34589db1-3375-4776-b049-46aeb980c9c0,up,0.25,0.0,12.059999999999862,0.3,0.25,0.0
competitive_thermal_e030_r005-sos1,r5-strategic-34589db1-3375-4776-b049-46aeb980c9c0,down,0.25,1.0,5.982399999999927,0.2,0.3,1.0
