owner,id,run_id,status,model_pass,kkt_pass,cost_complete,comfort_outcome,peak_excess_K,net_cost_CNY,called_energy_MWh,mismatch_MWh,trained_label,day_ahead_cost_CNY,device_cost_CNY,real_time_settlement_CNY,delivery_penalty_CNY,physical_max_normalized,lp_kkt_max_normalized,lp_gap_normalized,elapsed_sec,budget_overrun_sec
3B,test_000001,r9-day-2494ef01-4f5f-4a45-abe1-aa2fe8ba93ec,solver_optimal,true,true,true,pass,0.0,385700.5943681855,9.632981262658318e-13,8.151534682046337e-14,0,292050.3464153371,93650.24795284831,-1.4492513855657308e-10,1.6303069364092674e-10,5.053379936725833e-7,6.791206113573117e-6,4.0244912603377576e-10,11.613999843597412,0.0
3B,test_000002,r9-day-b7c62fed-60d6-4658-b31a-9c447747a1cc,solver_optimal,true,true,true,pass,0.0,384963.9545697029,9.31779810104071e-13,8.782534327922372e-14,0,292050.3464153371,92913.60815436588,-2.1134809458089878e-10,1.7565068655844745e-10,6.980371836107224e-7,9.374365182159008e-6,2.537206673837048e-10,1.434999942779541,0.0
3B,test_000003,r9-day-0d92b51d-d0db-4c4c-850a-39aa25a78084,solver_optimal,true,true,true,pass,0.0,386806.926000272,1.3130318081682485e-12,5.672371211758195e-14,0,292050.3464153371,94756.5795849348,-6.752145509381082e-11,1.134474242351639e-10,6.184563972055912e-7,8.309883448952961e-6,3.025359624150006e-10,1.4879999160766602,0.0
3B,test_000004,r9-day-3bd46195-4800-4c50-b202-78473e679abf,solver_optimal,true,true,true,pass,0.0,385406.8800967422,1.2013078130827756e-12,5.780235210241268e-14,0,292050.3464153371,93356.53368140459,3.478831445136166e-10,1.1560470420482537e-10,9.15179043659009e-8,1.2362562234398422e-6,3.58511651037341e-11,12.566999912261963,0.0
3B,test_000005,r9-day-6add3a5d-e058-4640-bc5b-0f78318a9f3b,solver_optimal,true,true,true,pass,0.0,385739.2223509466,1.3073915896181951e-12,4.8722770158896364e-14,0,292050.3464153371,93688.8759356099,-5.062247510068119e-10,9.744554031779273e-11,5.904894351260737e-6,7.936365592064825e-5,5.312002047630385e-10,1.688999891281128,0.0
3B,test_000006,r9-day-1aa83107-6582-48a7-ab29-05fc9ca9d0b4,solver_optimal,true,true,true,pass,0.0,384178.487641253,1.3312546478336211e-12,4.6875594130580615e-14,0,292050.3464153371,92128.14122591616,-4.1044643239729337e-10,9.375118826116122e-11,2.0520474208751693e-7,2.756823192260447e-6,1.0582850227160736e-10,1.6410000324249268,0.0
3B,test_000007,r9-day-337b6215-dbf0-4174-b86d-ab6b9e97940d,solver_optimal,true,true,true,pass,0.0,383733.99360518984,1.1655744271205625e-12,5.488507475906658e-14,0,292050.3464153371,91683.6471898526,1.888480483103195e-11,1.0977014951813315e-10,3.149125404888764e-7,4.234413260789131e-6,1.1745188590385065e-10,1.444000005722046,0.0
3B,test_000008,r9-day-1443a592-6bb3-42f5-821b-8c7b5957a62e,solver_optimal,true,true,true,pass,0.0,383817.26752069604,9.193552604165018e-13,6.52609914427227e-14,0,292050.3464153371,91766.92110535901,-2.4138699927789273e-10,1.305219828854454e-10,1.4779288903810084e-7,1.9893893996864746e-6,1.7284646153387865e-10,1.4920001029968262,0.0
3B,test_000009,r9-day-b89de919-8b11-4c06-997a-d5aaea11699f,solver_optimal,true,true,true,pass,0.0,383917.05893780367,9.687631167240917e-13,6.040807197987901e-14,0,292050.3464153371,91866.71252246636,5.706368710889365e-11,1.2081614395975802e-10,5.428546501207165e-7,7.295023705144263e-6,1.8691492813867234e-10,1.5369999408721924,0.0
3B,test_000010,r9-day-63f0ced4-564b-46c8-ae2b-3b588f1b907a,solver_optimal,true,true,true,pass,0.0,385046.8304410691,1.0354275278878729e-12,7.907346638607699e-14,0,292050.3464153371,92996.48402573206,-2.888782546506264e-10,1.5814693277215398e-10,2.1714186004828662e-7,2.916631562457815e-6,3.927600877157286e-10,1.503000020980835,0.0
