method,side,edge,from,to,t,on,action,initial
equipment-fixed-central-socp,electric,1,44,1,1,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,2,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,3,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,4,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,5,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,6,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,7,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,8,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,9,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,10,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,11,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,12,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,13,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,14,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,15,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,16,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,17,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,18,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,19,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,20,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,21,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,22,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,23,1.0,0.0,1
equipment-fixed-central-socp,electric,1,44,1,24,1.0,0.0,1
equipment-fixed-central-socp,electric,2,44,20,1,1.0,0.0,1
equipment-fixed-central-socp,electric,2,44,20,2,1.0,0.0,1
equipment-fixed-central-socp,electric,2,44,20,3,1.0,0.0,1
equipment-fixed-central-socp,electric,2,44,20,4,1.0,0.0,1
equipment-fixed-central-socp,electric,2,44,20,5,1.0,0.0,1
equipment-fixed-central-socp,electric,2,44,20,6,1.0,0.0,1
