id,max_normalized
binary-BS,6.422946592600404e-9
binary-HS,3.3306690738754696e-9
bound-E_BS,0.0
bound-E_HS,0.0
bound-H_CHP,0.0
bound-H_D,0.0
bound-H_DH,0.0
bound-H_D_hat,0.0
bound-H_EB,0.0
bound-H_HP,0.0
bound-H_HS_ch,0.0
bound-H_HS_dis,2.576098220863772e-9
bound-P_BS_ch,4.0078989062038054e-7
bound-P_BS_dis,0.0
bound-P_CHP,0.0
bound-P_DH,0.0
bound-P_EB,0.0
bound-P_HP,0.0
bound-P_PV,0.0
bound-P_WT,0.0
bound-P_grid,0.0
bound-Q_grid,0.0
bound-l,0.0
bound-tau_IN,0.0
bound-tau_R_in,0.0
bound-tau_R_out,0.0
bound-tau_S_in,0.0
bound-tau_S_out,0.0
bound-v,0.0
ch02-001,7.956558790222113e-9
ch02-006,0.0
ch02-008,6.1218858538373316e-9
ch02-010,9.121789650105034e-9
ch02-012,8.520472126746775e-9
ch02-015,8.479328350574633e-9
ch02-016,4.230556877038438e-8
ch02-019,4.258399188827866e-8
ch02-022,2.1079654948658044e-8
ch02-023,3.851086116668512e-9
ch02-024,2.900156108103999e-10
ch02-025-original,0.0010082611048151113
ch02-028,0.0
ch02-029,2.944909940905127e-9
ch02-032,2.085137618124122e-9
ch02-047-R,5.684341886080801e-10
ch02-047-S,5.684341886080801e-10
ch02-072,5.684341886080801e-10
ch02-075,1.2558566073292694e-9
ch02-076,5.644733505437661e-9
initial-E_BS,6.938893903907228e-12
initial-E_HS,1.6792123247455493e-9
initial-tau_IN,0.0
project-cost,1.4600777895902304e-10
project-wt-disabled,1.535537259398638e-9
