equation,scope,entity,t,residual,unit,tolerance,pass
3-3:8,model,1,1,0.0,MW,3.0e-6,true
3-2,model,1,1,0.0,MW,3.0e-6,true
3-3:8,model,1,2,0.0,MW,3.0e-6,true
3-2,model,1,2,0.0,MW,3.0e-6,true
3-3:8,model,1,3,0.0,MW,3.0e-6,true
3-2,model,1,3,0.0,MW,3.0e-6,true
3-3:8,model,1,4,0.0,MW,3.0e-6,true
3-2,model,1,4,0.0,MW,3.0e-6,true
3-3:8,model,2,1,0.0,MW,3.0e-6,true
3-7,model,2,1,0.0,MW,3.0e-6,true
3-3:8,model,2,2,0.0,MW,3.0e-6,true
3-7,model,2,2,0.0,MW,3.0e-6,true
3-3:8,model,2,3,0.0,MW,3.0e-6,true
3-7,model,2,3,0.0,MW,3.0e-6,true
3-3:8,model,2,4,0.0,MW,3.0e-6,true
3-7,model,2,4,0.0,MW,3.0e-6,true
3-3:8,model,3,1,0.0,MW,3.0e-6,true
3-7,model,3,1,0.0,MW,3.0e-6,true
3-3:8,model,3,2,0.0,MW,3.0e-6,true
3-7,model,3,2,0.0,MW,3.0e-6,true
3-3:8,model,3,3,0.0,MW,3.0e-6,true
3-7,model,3,3,0.0,MW,3.0e-6,true
3-3:8,model,3,4,0.0,MW,3.0e-6,true
3-7,model,3,4,0.0,MW,3.0e-6,true
3-9,model,1,1,0.0,MW,3.0e-6,true
3-10,model,1,1,0.0,Mvar,3.0e-6,true
3-13,model,1,1,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,1,0.0,pu2,1.0e-6,true
3-9,model,1,2,0.0,MW,3.0e-6,true
3-10,model,1,2,0.0,Mvar,3.0e-6,true
3-13,model,1,2,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,2,0.0,pu2,1.0e-6,true
3-9,model,1,3,0.0,MW,3.0e-6,true
3-10,model,1,3,0.0,Mvar,3.0e-6,true
3-13,model,1,3,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,3,0.0,pu2,1.0e-6,true
3-9,model,1,4,0.0,MW,3.0e-6,true
3-10,model,1,4,0.0,Mvar,3.0e-6,true
3-13,model,1,4,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,4,0.0,pu2,1.0e-6,true
3-9,model,2,1,2.3470461685271005e-11,MW,3.0e-6,true
3-10,model,2,1,3.469446951953614e-18,Mvar,3.0e-6,true
3-13,model,2,1,0.0,pu2,1.0e-6,true
3-9,model,2,2,7.112914424123318e-12,MW,3.0e-6,true
3-10,model,2,2,3.469446951953614e-18,Mvar,3.0e-6,true
3-13,model,2,2,0.0,pu2,1.0e-6,true
3-9,model,2,3,1.7149635878066505e-11,MW,3.0e-6,true
3-10,model,2,3,3.469446951953614e-18,Mvar,3.0e-6,true
3-13,model,2,3,0.0,pu2,1.0e-6,true
3-9,model,2,4,2.3481563915517256e-11,MW,3.0e-6,true
3-10,model,2,4,3.469446951953614e-18,Mvar,3.0e-6,true
3-13,model,2,4,0.0,pu2,1.0e-6,true
3-11,model,1,1,1.3463244589472282e-16,pu2,1.0e-6,true
3-12,model,1,1,0.0,pu,1.0e-6,true
