equation,scope,entity,t,residual,unit,tolerance,pass
3-3:8,model,1,1,0.0,MW,3.0e-6,true
3-2,model,1,1,0.0,MW,3.0e-6,true
3-3:8,model,1,2,0.0,MW,3.0e-6,true
3-2,model,1,2,0.0,MW,3.0e-6,true
3-3:8,model,1,3,0.0,MW,3.0e-6,true
3-2,model,1,3,0.0,MW,3.0e-6,true
3-3:8,model,1,4,0.0,MW,3.0e-6,true
3-2,model,1,4,0.0,MW,3.0e-6,true
3-3:8,model,2,1,0.0,MW,3.0e-6,true
3-7,model,2,1,0.0,MW,3.0e-6,true
3-3:8,model,2,2,0.0,MW,3.0e-6,true
3-7,model,2,2,0.0,MW,3.0e-6,true
3-3:8,model,2,3,0.0,MW,3.0e-6,true
3-7,model,2,3,0.0,MW,3.0e-6,true
3-3:8,model,2,4,0.0,MW,3.0e-6,true
3-7,model,2,4,0.0,MW,3.0e-6,true
3-3:8,model,3,1,0.0,MW,3.0e-6,true
3-7,model,3,1,0.0,MW,3.0e-6,true
3-3:8,model,3,2,0.0,MW,3.0e-6,true
3-7,model,3,2,0.0,MW,3.0e-6,true
3-3:8,model,3,3,0.0,MW,3.0e-6,true
3-7,model,3,3,0.0,MW,3.0e-6,true
3-3:8,model,3,4,0.0,MW,3.0e-6,true
3-7,model,3,4,0.0,MW,3.0e-6,true
3-9,model,1,1,0.0,MW,3.0e-6,true
3-10,model,1,1,0.0,Mvar,3.0e-6,true
3-13,model,1,1,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,1,0.0,pu2,1.0e-6,true
3-9,model,1,2,0.0,MW,3.0e-6,true
3-10,model,1,2,0.0,Mvar,3.0e-6,true
3-13,model,1,2,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,2,0.0,pu2,1.0e-6,true
3-9,model,1,3,0.0,MW,3.0e-6,true
3-10,model,1,3,0.0,Mvar,3.0e-6,true
3-13,model,1,3,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,3,0.0,pu2,1.0e-6,true
3-9,model,1,4,0.0,MW,3.0e-6,true
3-10,model,1,4,0.0,Mvar,3.0e-6,true
3-13,model,1,4,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,4,0.0,pu2,1.0e-6,true
3-9,model,2,1,2.3468810228521875e-11,MW,3.0e-6,true
3-10,model,2,1,3.702732565002975e-13,Mvar,3.0e-6,true
3-13,model,2,1,0.0,pu2,1.0e-6,true
3-9,model,2,2,7.110673161392356e-12,MW,3.0e-6,true
3-10,model,2,2,2.172501761821266e-12,Mvar,3.0e-6,true
3-13,model,2,2,0.0,pu2,1.0e-6,true
3-9,model,2,3,1.714797401297652e-11,MW,3.0e-6,true
3-10,model,2,3,3.4746719390632563e-12,Mvar,3.0e-6,true
3-13,model,2,3,0.0,pu2,1.0e-6,true
3-9,model,2,4,2.347906591371185e-11,MW,3.0e-6,true
3-10,model,2,4,6.716259493000365e-13,Mvar,3.0e-6,true
3-13,model,2,4,0.0,pu2,1.0e-6,true
3-11,model,1,1,7.789584974702483e-17,pu2,1.0e-6,true
3-12,model,1,1,0.0,pu,1.0e-6,true
