name,equation,entity,t,residual,unit,tolerance,ratio
single-fixed-open,3-25,R1,1,0.10068114476099098,normalized,1.0e-6,100681.14476099098
single-fixed-gurobi,3-25,R1,1,0.4033697576060594,normalized,1.0e-6,403369.75760605943
single-wmm,3-25,R1,4,0.3877628076520942,normalized,1.0e-6,387762.8076520942
single-schpd,pre-SOC-electric,1,3,9.013595389811336e-6,pu,1.0e-6,9.013595389811336
single-schpd,3-17,1,2,0.01970849823549023,MW,3.0e-6,6569.4994118300765
single-schpd,3-17-original,1,2,0.01970849823549023,MW,3.0e-6,6569.4994118300765
single-schpd,3-25,R1,1,0.036752229995824864,normalized,1.0e-6,36752.22999582487
single-schpd,WMM-replay,R1,1,2.4934929461707043,K,0.0001,24934.92946170704
single-schpd,3-52-unrelaxed,R1,1,0.011797437221110306,MW,3.0e-6,3932.4790737034355
single-schpd,energy-temperature-consistency,0,4,0.04175688567642388,MWh,1.0840000000000001e-6,38521.1122476235
two-wmm,3-25,S2,4,0.22570134197555083,normalized,1.0e-6,225701.34197555084
two-schpd,3-17,3,3,0.03315933578279456,MW,3.0e-6,11053.111927598187
two-schpd,3-17-original,3,3,0.03315933578279456,MW,3.0e-6,11053.111927598187
two-schpd,3-35:36,S2,4,5.215805130203307,K,0.0001,52158.05130203307
two-schpd,mix-original,S2,4,5.215805130203307,K,0.0001,52158.05130203307
two-schpd,3-25,R2,3,0.24208842769396982,normalized,1.0e-6,242088.42769396983
two-schpd,WMM-replay,R2,1,8.900762695109961,K,0.0001,89007.6269510996
two-schpd,3-52-unrelaxed,R2,4,0.06863108610492419,MW,3.0e-6,22877.028701641397
two-schpd,energy-temperature-consistency,0,1,0.10912118304033931,MWh,1.1679999999999999e-6,93425.67041124942
two-fixed-enumeration,3-35:36,S2,2,5.401452110574951,K,0.0001,54014.5211057495
two-fixed-enumeration,mix-original,S2,2,5.401452110574951,K,0.0001,54014.5211057495
two-fixed-enumeration,3-25,R1,2,0.11921269970588755,normalized,1.0e-6,119212.69970588756
two-fixed-enumeration,WMM-replay,S1,2,2.26113780268264,K,0.0001,22611.378026826398
two-fixed-enumeration,energy-temperature-consistency,0,4,0.08492827762143083,MWh,1.1679999999999999e-6,72712.56645670449
two-fixed-mip,3-35:36,S2,2,5.401452101039524,K,0.0001,54014.52101039524
two-fixed-mip,mix-original,S2,2,5.401452101039524,K,0.0001,54014.52101039524
two-fixed-mip,3-25,S1,1,0.23013548551127253,normalized,1.0e-6,230135.48551127253
two-fixed-mip,WMM-replay,S1,2,2.2611377947309848,K,0.0001,22611.377947309848
two-fixed-mip,energy-temperature-consistency,0,4,0.08492827690591609,MWh,1.1679999999999999e-6,72712.56584410626
ablation-heat-envelope,3-17,1,4,0.04058076081664158,MW,3.0e-6,13526.92027221386
ablation-heat-envelope,3-17-original,1,4,0.04058076081664158,MW,3.0e-6,13526.92027221386
ablation-heat-envelope,3-25,S1,4,0.3874626399456562,normalized,1.0e-6,387462.63994565624
ablation-reference-loss,3-25,S1,4,0.38773711540605393,normalized,1.0e-6,387737.11540605396
ablation-reference-loss,WMM-replay,S1,4,0.08228518252309414,K,0.0001,822.8518252309414
ablation-temperature,3-25,S1,4,0.3877315854974292,normalized,1.0e-6,387731.58549742925
ablation-temperature,WMM-replay,S1,2,3.093101980802487,K,0.0001,30931.01980802487
ablation-mixing,3-35:36,S2,3,9.696363411550294,K,0.0001,96963.63411550294
ablation-mixing,mix-original,S2,3,9.696363411550294,K,0.0001,96963.63411550294
ablation-mixing,3-25,R1,2,0.22508005464196798,normalized,1.0e-6,225080.054641968
