scenario,t,time_h,inlet_K,outlet_K,flow_kg_s,residence_s
lossless,1,1.0,350.0,340.0,1.0,5400.0
lossless,2,2.0,360.0,345.0,1.0,5400.0
lossless,3,3.0,350.0,355.0,1.0,5400.0
lossless,4,4.0,350.0,355.0,1.0,5400.0
variable-flow,1,1.0,350.0,338.80683500926807,1.0,5400.0
variable-flow,2,2.0,360.0,348.91124672360985,2.0,4050.0
variable-flow,3,3.0,350.0,358.7202373768747,0.5,4050.0
variable-flow,4,4.0,350.0,358.01985074775007,1.0,6300.0
lossy,1,1.0,350.0,338.80683500926807,1.0,5400.0
lossy,2,2.0,360.0,343.67990256344547,1.0,5400.0
lossy,3,3.0,350.0,353.4260376718004,1.0,5400.0
lossy,4,4.0,350.0,353.4260376718004,1.0,5400.0
