quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,345.38777848659697,345.3877784840795,-2.5174813345074654e-9,K
tau_S_mix,1,2,357.8028965120955,357.8028965164135,4.317996626923559e-9,K
tau_S_mix,1,3,350.1906750068837,350.19067500049323,-6.390450835169759e-9,K
tau_S_mix,1,4,352.99999999284796,352.9999999999998,7.151811587391421e-9,K
tau_S_mix,2,1,348.71428571553366,348.7142857142857,-1.2479404176701792e-9,K
tau_S_mix,2,2,351.09523809434546,351.0952380952381,8.926122063712683e-10,K
tau_S_mix,2,3,353.4761904772178,353.4761904761905,-1.0273311090713833e-9,K
tau_S_mix,2,4,351.09523809486063,351.0952380952381,3.774403012357652e-10,K
tau_R_mix,1,1,312.82930402781403,312.82930402781403,0.0,K
tau_R_mix,1,2,312.82930402781403,312.82930402781403,0.0,K
tau_R_mix,1,3,312.82930402781403,312.82930402781403,0.0,K
tau_R_mix,1,4,312.82930402781403,312.82930402781403,0.0,K
tau_R_mix,2,1,313.0,313.0,0.0,K
tau_R_mix,2,2,313.0,313.0,0.0,K
tau_R_mix,2,3,313.0,313.0,0.0,K
tau_R_mix,2,4,313.0,313.0,0.0,K
H_port,1,1,0.13674559272752812,0.13674559271631492,-1.121319703756285e-11,MW
H_port,1,2,0.18888908843406466,0.1888890884521178,1.805314231440036e-11,MW
H_port,1,3,0.15691775811282196,0.15691775808525263,-2.7569335703248044e-11,MW
H_port,1,4,0.16871692305276856,0.1687169230831801,3.041153440186406e-11,MW
H_port,2,1,0.15000000000262065,0.15,-2.6206536940520664e-12,MW
H_port,2,2,0.15999999999812553,0.16,1.8744727992014987e-12,MW
H_port,2,3,0.17000000000215731,0.17,-2.1573021147247573e-12,MW
H_port,2,4,0.15999999999920728,0.16,7.927269951579774e-13,MW
