quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,343.0000000121368,343.00000001190693,-2.298747858731076e-10,K
tau_S_mix,1,2,362.9999961486247,362.5219631788166,-0.47803296980811183,K
tau_S_mix,1,3,362.99999998700457,362.99999998733966,3.3509195418446325e-10,K
tau_S_mix,1,4,362.99999948459237,362.9999996569919,1.7239955241166172e-7,K
tau_S_mix,2,1,347.35013068077524,347.3092406292174,-0.04089005155782388,K
tau_S_mix,2,2,352.2021458418748,352.0020935881004,-0.20005225377440183,K
tau_S_mix,2,3,362.32890415342945,362.0864499599111,-0.24245419351836972,K
tau_S_mix,2,4,362.25057781159074,362.3339909924962,0.08341318090543837,K
tau_R_mix,1,1,312.8325503229018,312.83531564497974,0.00276532207794844,K
tau_R_mix,1,2,312.8300807862636,312.8244905788535,-0.005590207410079984,K
tau_R_mix,1,3,312.8082589945699,312.79210444722855,-0.016154547341329817,K
tau_R_mix,1,4,312.7858794286266,312.77799704053376,-0.007882388092809833,K
tau_R_mix,2,1,313.0,313.0,0.0,K
tau_R_mix,2,2,313.0,313.0,0.0,K
tau_R_mix,2,3,313.0,313.0,0.0,K
tau_R_mix,2,4,313.0,313.0,0.0,K
H_port,1,1,0.13173508699103212,0.13188000002500444,0.00014491303397232147,MW
H_port,1,2,0.20476395578844422,0.20387612265051064,-0.0008878331379335858,MW
H_port,1,3,0.17297355607525003,0.17388387729789848,0.000910321222648447,MW
H_port,1,4,0.16313025280007415,0.16287999930626984,-0.00025025349380430884,MW
H_port,2,1,0.15,0.15,0.0,MW
H_port,2,2,0.16,0.16,0.0,MW
H_port,2,3,0.17,0.17,0.0,MW
H_port,2,4,0.16,0.16,0.0,MW
