quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,343.0000000121368,347.73572464416276,4.735724632025949,K
tau_S_mix,1,2,362.9999961486247,356.3785567597879,-6.621439388836791,K
tau_S_mix,1,3,362.99999998700457,354.98430817651325,-8.015691810491319,K
tau_S_mix,1,4,362.99999948459237,352.7536288981971,-10.246370586395244,K
tau_S_mix,2,1,347.35013068077524,351.729893666151,4.3797629853757485,K
tau_S_mix,2,2,352.2021458418748,352.2714702102982,0.06932436842339484,K
tau_S_mix,2,3,362.32890415342945,353.8412738494543,-8.487630303975152,K
tau_S_mix,2,4,362.25057781159074,353.4255764819688,-8.825001329621955,K
tau_R_mix,1,1,312.8325503229018,315.3104465912885,2.4778962683867007,K
tau_R_mix,1,2,312.8300807862636,311.23779105953076,-1.5922897267328153,K
tau_R_mix,1,3,312.8082589945699,311.9882314959515,-0.8200274986184013,K
tau_R_mix,1,4,312.7858794286266,313.0523166407399,0.26643721211331695,K
tau_R_mix,2,1,313.0,313.0,0.0,K
tau_R_mix,2,2,313.0,313.0,0.0,K
tau_R_mix,2,3,313.0,313.0,0.0,K
tau_R_mix,2,4,313.0,313.0,0.0,K
H_port,1,1,0.13173508699103212,0.11159692455340738,-0.020138162437624743,MW
H_port,1,2,0.20476395578844422,0.22433053376776751,0.01956657797932329,MW
H_port,1,3,0.17297355607525003,0.19542946076738468,0.022455904692134654,MW
H_port,1,4,0.16313025280007415,0.16287998779303922,-0.0002502650070349277,MW
H_port,2,1,0.15,0.15,0.0,MW
H_port,2,2,0.16,0.16,0.0,MW
H_port,2,3,0.17,0.17,0.0,MW
H_port,2,4,0.16,0.16,0.0,MW
