equation,scope,entity,t,residual,unit,tolerance,pass
3-3:8,model,1,1,0.0,MW,3.0e-6,true
3-2,model,1,1,0.0,MW,3.0e-6,true
3-3:8,model,1,2,0.0,MW,3.0e-6,true
3-2,model,1,2,0.0,MW,3.0e-6,true
3-3:8,model,1,3,0.0,MW,3.0e-6,true
3-2,model,1,3,0.0,MW,3.0e-6,true
3-3:8,model,1,4,0.0,MW,3.0e-6,true
3-2,model,1,4,0.0,MW,3.0e-6,true
3-3:8,model,2,1,0.0,MW,3.0e-6,true
3-7,model,2,1,0.0,MW,3.0e-6,true
3-3:8,model,2,2,0.0,MW,3.0e-6,true
3-7,model,2,2,0.0,MW,3.0e-6,true
3-3:8,model,2,3,0.0,MW,3.0e-6,true
3-7,model,2,3,0.0,MW,3.0e-6,true
3-3:8,model,2,4,0.0,MW,3.0e-6,true
3-7,model,2,4,0.0,MW,3.0e-6,true
3-3:8,model,3,1,0.0,MW,3.0e-6,true
3-7,model,3,1,0.0,MW,3.0e-6,true
3-3:8,model,3,2,0.0,MW,3.0e-6,true
3-7,model,3,2,0.0,MW,3.0e-6,true
3-3:8,model,3,3,0.0,MW,3.0e-6,true
3-7,model,3,3,0.0,MW,3.0e-6,true
3-3:8,model,3,4,0.0,MW,3.0e-6,true
3-7,model,3,4,0.0,MW,3.0e-6,true
3-9,model,1,1,0.0,MW,3.0e-6,true
3-10,model,1,1,0.0,Mvar,3.0e-6,true
3-13,model,1,1,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,1,0.0,pu2,1.0e-6,true
3-9,model,1,2,0.0,MW,3.0e-6,true
3-10,model,1,2,0.0,Mvar,3.0e-6,true
3-13,model,1,2,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,2,0.0,pu2,1.0e-6,true
3-9,model,1,3,0.0,MW,3.0e-6,true
3-10,model,1,3,0.0,Mvar,3.0e-6,true
3-13,model,1,3,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,3,0.0,pu2,1.0e-6,true
3-9,model,1,4,0.0,MW,3.0e-6,true
3-10,model,1,4,0.0,Mvar,3.0e-6,true
3-13,model,1,4,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,4,0.0,pu2,1.0e-6,true
3-9,model,2,1,2.347042005190758e-11,MW,3.0e-6,true
3-10,model,2,1,1.734723475976807e-17,Mvar,3.0e-6,true
3-13,model,2,1,0.0,pu2,1.0e-6,true
3-9,model,2,2,7.112983813062357e-12,MW,3.0e-6,true
3-10,model,2,2,9.332812300755222e-16,Mvar,3.0e-6,true
3-13,model,2,2,0.0,pu2,1.0e-6,true
3-9,model,2,3,1.7149531794657946e-11,MW,3.0e-6,true
3-10,model,2,3,8.569533971325427e-16,Mvar,3.0e-6,true
3-13,model,2,3,0.0,pu2,1.0e-6,true
3-9,model,2,4,2.348160554888068e-11,MW,3.0e-6,true
3-10,model,2,4,7.632783294297951e-17,Mvar,3.0e-6,true
3-13,model,2,4,0.0,pu2,1.0e-6,true
3-11,model,1,1,3.4283129144525772e-18,pu2,1.0e-6,true
3-12,model,1,1,0.0,pu,1.0e-6,true
