quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,343.0000000090735,343.00000004333384,3.426032435527304e-8,K
tau_S_mix,1,2,357.8521559616558,357.85215594313604,-1.8519756395107834e-8,K
tau_S_mix,1,3,362.9999999954722,362.99999998256817,-1.2904024515592027e-8,K
tau_S_mix,1,4,353.61785083250214,353.6178505739557,-2.585464358162426e-7,K
tau_S_mix,2,1,347.8203295583726,347.8203295583969,2.432898327242583e-11,K
tau_S_mix,2,2,352.1970957775187,352.1970957773718,-1.468833943363279e-10,K
tau_S_mix,2,3,354.2929318957845,354.2929318957496,-3.490185918053612e-11,K
tau_S_mix,2,4,350.5921661918902,350.5921661917637,-1.2653345038415864e-10,K
tau_S_mix,3,1,348.7142857142668,348.7142857142857,1.892885848064907e-11,K
tau_S_mix,3,2,351.0952380953475,351.0952380952381,-1.0942358130705543e-10,K
tau_S_mix,3,3,353.4761904762461,353.4761904761905,-5.559286364587024e-11,K
tau_S_mix,3,4,351.0952380953466,351.0952380952381,-1.085140866052825e-10,K
tau_R_mix,1,1,312.77730160441536,312.77730160441536,0.0,K
tau_R_mix,1,2,312.74975146957945,312.74975146957945,0.0,K
tau_R_mix,1,3,312.744236612025,312.74423661202496,-5.684341886080802e-14,K
tau_R_mix,1,4,312.7431331037822,312.7431331037822,0.0,K
tau_R_mix,2,1,312.9143060933257,312.91430609332565,-5.684341886080802e-14,K
tau_R_mix,2,2,312.91428797862346,312.91428797862346,0.0,K
tau_R_mix,2,3,312.9142859658788,312.9142859658788,0.0,K
tau_R_mix,2,4,312.9142857422405,312.9142857422405,0.0,K
tau_R_mix,3,1,313.0,313.0,0.0,K
tau_R_mix,3,2,313.0,313.0,0.0,K
tau_R_mix,3,3,313.0,313.0,0.0,K
tau_R_mix,3,4,313.0,313.0,0.0,K
H_port,1,1,0.12693533329947274,0.12693533344345753,1.4398479630806094e-10,MW
H_port,1,2,0.1894300988671128,0.18943009878893768,-7.81751052780777e-11,MW
H_port,1,3,0.21107420621061526,0.21107420615628159,-5.4333676446916e-11,MW
H_port,1,4,0.17167381446023344,0.17167381337472865,-1.0855047971602971e-9,MW
H_port,2,1,0.14660529855309182,0.1466052985532993,2.0747292772682613e-13,MW
H_port,2,2,0.21035999048460607,0.2103599904034752,-8.113087979211286e-11,MW
H_port,2,3,0.1737903129058192,0.1737903129054572,-3.619882171790323e-13,MW
H_port,2,4,0.15824709788816865,0.1582470978879973,-1.713629238508929e-13,MW
H_port,3,1,0.30000000000003346,0.3,-3.347322419244847e-14,MW
H_port,3,2,0.32000000000056855,0.32,-5.685452109105427e-13,MW
H_port,3,3,0.3400000000003463,0.34,-3.462785613805863e-13,MW
H_port,3,4,0.32000000000062784,0.32,-6.27831120425526e-13,MW
