run_id,t,time_h,node,tau_S_K,tau_R_K,H_MW,m_kg_s
r2-20260916T160850-598b7c98,1,1.0,1,343.0000000090735,312.77730160441536,0.12693533329947274,0.9999999999999909
r2-20260916T160850-598b7c98,1,1.0,2,347.8203295583726,312.9143060933257,0.14660529855309182,1.0000000000000204
r2-20260916T160850-598b7c98,1,1.0,3,348.7142857142668,313.0,0.30000000000003346,2.0000000000000044
r2-20260916T160850-598b7c98,2,2.0,1,357.8521559616558,312.74975146957945,0.1894300988671128,1.000000000000009
r2-20260916T160850-598b7c98,2,2.0,2,352.1970957775187,312.91428797862346,0.21035999048460607,0.9999999999999802
r2-20260916T160850-598b7c98,2,2.0,3,351.0952380953475,313.0,0.32000000000056855,1.9999999999999956
r2-20260916T160850-598b7c98,3,3.0,1,362.9999999954722,312.744236612025,0.21107420621061526,0.9999999999999911
r2-20260916T160850-598b7c98,3,3.0,2,354.2929318957845,312.9142859658788,0.1737903129058192,1.0000000000000204
r2-20260916T160850-598b7c98,3,3.0,3,353.4761904762461,313.0,0.3400000000003463,2.000000000000005
r2-20260916T160850-598b7c98,4,4.0,1,353.61785083250214,312.7431331037822,0.17167381446023344,0.9999999999999911
r2-20260916T160850-598b7c98,4,4.0,2,350.5921661918902,312.9142857422405,0.15824709788816865,1.0000000000000204
r2-20260916T160850-598b7c98,4,4.0,3,351.0952380953466,313.0,0.32000000000062784,2.0000000000000044
