quantity,node,t,reference,candidate,difference,unit
tau_S_mix,1,1,343.0000000036569,353.58411534336096,10.584115339704056,K
tau_S_mix,1,2,362.99999997437686,362.99999976904047,-2.0533639144559857e-7,K
tau_S_mix,1,3,362.99999999562505,362.9999997947083,-2.0091675878575188e-7,K
tau_S_mix,1,4,362.9999996679212,362.99999838865136,-1.27926983850557e-6,K
tau_S_mix,2,1,345.0925632779037,353.50604520687784,8.413481928974136,K
tau_S_mix,2,2,352.57649768533565,359.5988752917527,7.022377606417024,K
tau_S_mix,2,3,362.6861595418068,362.2202380511372,-0.46592149066958655,K
tau_S_mix,2,4,356.7254252369743,360.61470275657416,3.8892775195998865,K
tau_S_mix,3,1,346.73551080458833,356.58708738016355,9.851576575575223,K
tau_S_mix,3,2,350.4967626510604,356.30114563575876,5.80438298469835,K
tau_S_mix,3,3,359.4793946293827,357.4238468612328,-2.055547768149893,K
tau_S_mix,3,4,358.1654528755675,358.0892037468473,-0.0762491287201783,K
tau_R_mix,1,1,312.80260225513507,314.13525580949624,1.3326535543611726,K
tau_R_mix,1,2,312.80379216804903,308.28248328095816,-4.521308887090868,K
tau_R_mix,1,3,312.78708669669203,306.8844187575394,-5.90266793915265,K
tau_R_mix,1,4,312.7637700070497,312.96729364976136,0.2035236427116729,K
tau_R_mix,2,1,312.9168336411191,321.80319364105907,8.886359999939941,K
tau_R_mix,2,2,312.9175041375503,306.65789751146286,-6.259606626087418,K
tau_R_mix,2,3,312.908811184419,306.7873367692263,-6.121474415192722,K
tau_R_mix,2,4,312.9002250954661,320.5395764410754,7.6393513456092705,K
tau_R_mix,3,1,313.0,313.0,0.0,K
tau_R_mix,3,2,313.0,313.0,0.0,K
tau_R_mix,3,3,313.0,313.0,0.0,K
tau_R_mix,3,4,313.0,313.0,0.0,K
H_port,1,1,0.1902436056467836,0.17832285692529515,-0.011920748721488461,MW
H_port,1,2,0.31623610901214944,0.33362726866799874,0.01739115965584931,MW
H_port,1,3,0.2618638303118263,0.3535277165870825,0.09166388627525618,MW
H_port,1,4,0.25043068160688237,0.27859310786857505,0.028162426261692686,MW
H_port,2,1,0.07799682454555865,0.04451329586612766,-0.03348352867943099,MW
H_port,2,2,0.06720640442608192,0.07631841851768323,0.009112014091601311,MW
H_port,2,3,0.10519149661086265,0.07604659615540402,-0.02914490045545863,MW
H_port,2,4,0.06320952763723309,0.04716689162049058,-0.01604263601674251,MW
H_port,3,1,0.3,0.3,0.0,MW
H_port,3,2,0.32,0.32,0.0,MW
H_port,3,3,0.34,0.34,0.0,MW
H_port,3,4,0.32,0.32,0.0,MW
