equation,scope,entity,t,residual,unit,tolerance,pass
3-3:8,model,1,1,0.0,MW,3.0e-6,true
3-2,model,1,1,0.0,MW,3.0e-6,true
3-3:8,model,1,2,0.0,MW,3.0e-6,true
3-2,model,1,2,0.0,MW,3.0e-6,true
3-3:8,model,1,3,0.0,MW,3.0e-6,true
3-2,model,1,3,0.0,MW,3.0e-6,true
3-3:8,model,1,4,0.0,MW,3.0e-6,true
3-2,model,1,4,0.0,MW,3.0e-6,true
3-3:8,model,2,1,0.0,MW,3.0e-6,true
3-7,model,2,1,0.0,MW,3.0e-6,true
3-3:8,model,2,2,0.0,MW,3.0e-6,true
3-7,model,2,2,0.0,MW,3.0e-6,true
3-3:8,model,2,3,0.0,MW,3.0e-6,true
3-7,model,2,3,0.0,MW,3.0e-6,true
3-3:8,model,2,4,0.0,MW,3.0e-6,true
3-7,model,2,4,0.0,MW,3.0e-6,true
3-3:8,model,3,1,0.0,MW,3.0e-6,true
3-2,model,3,1,0.0,MW,3.0e-6,true
3-3:8,model,3,2,0.0,MW,3.0e-6,true
3-2,model,3,2,0.0,MW,3.0e-6,true
3-3:8,model,3,3,0.0,MW,3.0e-6,true
3-2,model,3,3,0.0,MW,3.0e-6,true
3-3:8,model,3,4,0.0,MW,3.0e-6,true
3-2,model,3,4,0.0,MW,3.0e-6,true
3-3:8,model,4,1,0.0,MW,3.0e-6,true
3-7,model,4,1,0.0,MW,3.0e-6,true
3-3:8,model,4,2,0.0,MW,3.0e-6,true
3-7,model,4,2,0.0,MW,3.0e-6,true
3-3:8,model,4,3,0.0,MW,3.0e-6,true
3-7,model,4,3,0.0,MW,3.0e-6,true
3-3:8,model,4,4,0.0,MW,3.0e-6,true
3-7,model,4,4,0.0,MW,3.0e-6,true
3-3:8,model,5,1,0.0,MW,3.0e-6,true
3-7,model,5,1,0.0,MW,3.0e-6,true
3-3:8,model,5,2,0.0,MW,3.0e-6,true
3-7,model,5,2,0.0,MW,3.0e-6,true
3-3:8,model,5,3,0.0,MW,3.0e-6,true
3-7,model,5,3,0.0,MW,3.0e-6,true
3-3:8,model,5,4,0.0,MW,3.0e-6,true
3-7,model,5,4,0.0,MW,3.0e-6,true
3-9,model,1,1,0.0,MW,3.0e-6,true
3-10,model,1,1,0.0,Mvar,3.0e-6,true
3-13,model,1,1,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,1,0.0,pu2,1.0e-6,true
3-9,model,1,2,0.0,MW,3.0e-6,true
3-10,model,1,2,0.0,Mvar,3.0e-6,true
3-13,model,1,2,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,2,0.0,pu2,1.0e-6,true
3-9,model,1,3,0.0,MW,3.0e-6,true
3-10,model,1,3,0.0,Mvar,3.0e-6,true
3-13,model,1,3,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,3,0.0,pu2,1.0e-6,true
3-9,model,1,4,0.0,MW,3.0e-6,true
3-10,model,1,4,0.0,Mvar,3.0e-6,true
3-13,model,1,4,0.0,pu2,1.0e-6,true
R2-root-voltage,model,1,4,0.0,pu2,1.0e-6,true
