core_cost,cost,diagnostic,id,mode,stage,tail_cost,update
NaN,NaN,0.0021278183145210477,single-source-schpd-physical,diagnostic,2,NaN,0
80.7856349224336,80.7856349224336,NaN,single-source-schpd-physical,dispatch,5,0.0,1
79.53736976250165,79.53736976250165,NaN,single-source-schpd-physical,dispatch,11,0.0,2
78.90847490159553,78.90847490159553,NaN,single-source-schpd-physical,dispatch,19,0.0,3
78.58706475753199,78.58706475753199,NaN,single-source-schpd-physical,dispatch,29,0.0,4
78.42390734647748,78.42390734647748,NaN,single-source-schpd-physical,dispatch,41,0.0,5
78.34162094752202,78.34162094752202,NaN,single-source-schpd-physical,dispatch,55,0.0,6
78.3209734992213,78.3209734992213,NaN,single-source-schpd-physical,dispatch,73,0.0,7
78.31063113538731,78.31063113538731,NaN,single-source-schpd-physical,dispatch,93,0.0,8
78.30541794420482,78.30541794420482,NaN,single-source-schpd-physical,dispatch,115,0.0,9
NaN,NaN,0.0021278183145210477,single-source-schpd-normalized,diagnostic,2,NaN,0
80.7856349224336,80.7856349224336,NaN,single-source-schpd-normalized,dispatch,5,0.0,1
79.53736976250165,79.53736976250165,NaN,single-source-schpd-normalized,dispatch,11,0.0,2
78.90847490159553,78.90847490159553,NaN,single-source-schpd-normalized,dispatch,19,0.0,3
78.58706475753199,78.58706475753199,NaN,single-source-schpd-normalized,dispatch,29,0.0,4
78.42390734647748,78.42390734647748,NaN,single-source-schpd-normalized,dispatch,41,0.0,5
78.34162094752202,78.34162094752202,NaN,single-source-schpd-normalized,dispatch,55,0.0,6
78.3209734992213,78.3209734992213,NaN,single-source-schpd-normalized,dispatch,73,0.0,7
78.31063113538731,78.31063113538731,NaN,single-source-schpd-normalized,dispatch,93,0.0,8
78.30541794420482,78.30541794420482,NaN,single-source-schpd-normalized,dispatch,115,0.0,9
80.18286341908787,80.18286341908787,NaN,single-source-case_fixed-physical,dispatch,1,0.0,0
78.64295269532099,78.64295269532099,NaN,single-source-case_fixed-physical,dispatch,5,0.0,1
78.2333405098072,78.2333405098072,NaN,single-source-case_fixed-physical,dispatch,15,0.0,2
78.18249149493523,78.18249149493523,NaN,single-source-case_fixed-physical,dispatch,31,0.0,3
78.15704934151346,78.15704934151346,NaN,single-source-case_fixed-physical,dispatch,49,0.0,4
78.1443228320929,78.1443228320929,NaN,single-source-case_fixed-physical,dispatch,69,0.0,5
78.1379576549401,78.1379576549401,NaN,single-source-case_fixed-physical,dispatch,91,0.0,6
78.13477410104417,78.13477410104417,NaN,single-source-case_fixed-physical,dispatch,115,0.0,7
78.13318157908675,78.13318157908675,NaN,single-source-case_fixed-physical,dispatch,141,0.0,8
80.18286341908787,80.18286341908787,NaN,single-source-case_fixed-normalized,dispatch,1,0.0,0
78.64295269532099,78.64295269532099,NaN,single-source-case_fixed-normalized,dispatch,5,0.0,1
78.2333405098072,78.2333405098072,NaN,single-source-case_fixed-normalized,dispatch,15,0.0,2
78.18249149493523,78.18249149493523,NaN,single-source-case_fixed-normalized,dispatch,31,0.0,3
78.15704934151346,78.15704934151346,NaN,single-source-case_fixed-normalized,dispatch,49,0.0,4
78.1443228320929,78.1443228320929,NaN,single-source-case_fixed-normalized,dispatch,69,0.0,5
78.1379576549401,78.1379576549401,NaN,single-source-case_fixed-normalized,dispatch,91,0.0,6
78.13477410104417,78.13477410104417,NaN,single-source-case_fixed-normalized,dispatch,115,0.0,7
78.13318157908675,78.13318157908675,NaN,single-source-case_fixed-normalized,dispatch,141,0.0,8
NaN,NaN,0.040501967556627334,single-source-box25-physical,diagnostic,2,NaN,0
NaN,NaN,0.0028856018761165376,single-source-box25-physical,diagnostic,4,NaN,1
NaN,NaN,0.0014908383926351791,single-source-box25-physical,diagnostic,12,NaN,2
80.53833350830101,80.53833350830101,NaN,single-source-box25-physical,dispatch,21,0.0,3
80.33350619770268,80.33350619770268,NaN,single-source-box25-physical,dispatch,35,0.0,4
80.22922689417159,80.22922689417159,NaN,single-source-box25-physical,dispatch,51,0.0,5
80.17657008684274,80.17657008684274,NaN,single-source-box25-physical,dispatch,69,0.0,6
80.15010566075571,80.15010566075571,NaN,single-source-box25-physical,dispatch,89,0.0,7
80.1368386182614,80.1368386182614,NaN,single-source-box25-physical,dispatch,111,0.0,8
NaN,NaN,0.040501967556627334,single-source-box25-normalized,diagnostic,2,NaN,0
NaN,NaN,0.0028856018761165376,single-source-box25-normalized,diagnostic,4,NaN,1
NaN,NaN,0.0014908383926351791,single-source-box25-normalized,diagnostic,12,NaN,2
80.53833350830101,80.53833350830101,NaN,single-source-box25-normalized,dispatch,21,0.0,3
80.33350619770268,80.33350619770268,NaN,single-source-box25-normalized,dispatch,35,0.0,4
80.22922689417159,80.22922689417159,NaN,single-source-box25-normalized,dispatch,51,0.0,5
80.17657008684274,80.17657008684274,NaN,single-source-box25-normalized,dispatch,69,0.0,6
80.15010566075571,80.15010566075571,NaN,single-source-box25-normalized,dispatch,89,0.0,7
80.1368386182614,80.1368386182614,NaN,single-source-box25-normalized,dispatch,111,0.0,8
80.18286364359955,80.18286364359955,NaN,single-source-box50-physical,dispatch,1,0.0,0
78.64295247234347,78.64295247234347,NaN,single-source-box50-physical,dispatch,5,0.0,1
78.2333401421983,78.2333401421983,NaN,single-source-box50-physical,dispatch,15,0.0,2
78.18249110940641,78.18249110940641,NaN,single-source-box50-physical,dispatch,31,0.0,3
78.15704894698038,78.15704894698038,NaN,single-source-box50-physical,dispatch,49,0.0,4
78.14432243150435,78.14432243150435,NaN,single-source-box50-physical,dispatch,69,0.0,5
78.13795728808135,78.13795728808135,NaN,single-source-box50-physical,dispatch,91,0.0,6
78.13477366250677,78.13477366250677,NaN,single-source-box50-physical,dispatch,115,0.0,7
78.13318117596482,78.13318117596482,NaN,single-source-box50-physical,dispatch,141,0.0,8
80.18286364359955,80.18286364359955,NaN,single-source-box50-normalized,dispatch,1,0.0,0
78.64295247234347,78.64295247234347,NaN,single-source-box50-normalized,dispatch,5,0.0,1
78.2333401421983,78.2333401421983,NaN,single-source-box50-normalized,dispatch,15,0.0,2
78.18249110940641,78.18249110940641,NaN,single-source-box50-normalized,dispatch,31,0.0,3
78.15704894698038,78.15704894698038,NaN,single-source-box50-normalized,dispatch,49,0.0,4
78.14432243150435,78.14432243150435,NaN,single-source-box50-normalized,dispatch,69,0.0,5
78.13795728808135,78.13795728808135,NaN,single-source-box50-normalized,dispatch,91,0.0,6
78.13477366250677,78.13477366250677,NaN,single-source-box50-normalized,dispatch,115,0.0,7
78.13318117596482,78.13318117596482,NaN,single-source-box50-normalized,dispatch,141,0.0,8
NaN,NaN,0.029648411070094614,single-source-box75-physical,diagnostic,2,NaN,0
NaN,NaN,0.01595700528287058,single-source-box75-physical,diagnostic,4,NaN,1
NaN,NaN,0.002957412714068155,single-source-box75-physical,diagnostic,8,NaN,2
81.37432712602194,81.37432712602194,NaN,single-source-box75-physical,dispatch,11,0.0,3
80.32474808795558,80.32474808795558,NaN,single-source-box75-physical,dispatch,17,0.0,4
80.08442154218224,80.08442154218224,NaN,single-source-box75-physical,dispatch,27,0.0,5
80.0695967951942,80.0695967951942,NaN,single-source-box75-physical,dispatch,45,0.0,6
80.06218795992545,80.06218795992545,NaN,single-source-box75-physical,dispatch,65,0.0,7
80.0584843187419,80.0584843187419,NaN,single-source-box75-physical,dispatch,87,0.0,8
NaN,NaN,0.029648411070094614,single-source-box75-normalized,diagnostic,2,NaN,0
NaN,NaN,0.01595700528287058,single-source-box75-normalized,diagnostic,4,NaN,1
NaN,NaN,0.002957412714068155,single-source-box75-normalized,diagnostic,8,NaN,2
81.37432712602194,81.37432712602194,NaN,single-source-box75-normalized,dispatch,11,0.0,3
80.32474808795558,80.32474808795558,NaN,single-source-box75-normalized,dispatch,17,0.0,4
80.08442154218224,80.08442154218224,NaN,single-source-box75-normalized,dispatch,27,0.0,5
80.0695967951942,80.0695967951942,NaN,single-source-box75-normalized,dispatch,45,0.0,6
80.06218795992545,80.06218795992545,NaN,single-source-box75-normalized,dispatch,65,0.0,7
80.0584843187419,80.0584843187419,NaN,single-source-box75-normalized,dispatch,87,0.0,8
NaN,NaN,0.00742724719548382,single-source-legacy_tail-physical,diagnostic,2,NaN,0
NaN,NaN,4.450861328735194e-5,single-source-legacy_tail-physical,diagnostic,4,NaN,1
NaN,NaN,1.0695493595335052e-5,single-source-legacy_tail-physical,diagnostic,10,NaN,2
NaN,NaN,2.5879027395899543e-6,single-source-legacy_tail-physical,diagnostic,20,NaN,3
32.737210163003425,146.03258188121853,NaN,single-source-legacy_tail-physical,dispatch,33,113.29537171821511,4
NaN,NaN,0.00742724719548382,single-source-legacy_tail-normalized,diagnostic,2,NaN,0
NaN,NaN,4.450861328735194e-5,single-source-legacy_tail-normalized,diagnostic,4,NaN,1
NaN,NaN,1.0695493595335052e-5,single-source-legacy_tail-normalized,diagnostic,10,NaN,2
NaN,NaN,2.5879027395899543e-6,single-source-legacy_tail-normalized,diagnostic,20,NaN,3
32.737210163003425,146.03258188121853,NaN,single-source-legacy_tail-normalized,dispatch,33,113.29537171821511,4
NaN,NaN,0.0073820917671460415,single-source-bounded_return_tail-physical,diagnostic,2,NaN,0
32.71547382754791,145.9874101696672,NaN,single-source-bounded_return_tail-physical,dispatch,3,113.2719363421193,1
32.367379377538455,145.639315881241,NaN,single-source-bounded_return_tail-physical,dispatch,9,113.27193650370255,2
32.282527376331046,145.5544638756912,NaN,single-source-bounded_return_tail-physical,dispatch,19,113.27193649936017,3
32.27194935845773,145.54388585591704,NaN,single-source-bounded_return_tail-physical,dispatch,35,113.27193649745931,4
32.26665915628212,145.53859554442477,NaN,single-source-bounded_return_tail-physical,dispatch,53,113.27193638814268,5
NaN,NaN,0.0073820917671460415,single-source-bounded_return_tail-normalized,diagnostic,2,NaN,0
