id,run_sha256,input_sha256,initial_flow_sha256,physical_pass,outer_converged,local_stationarity_checked,iterations,outer_status,cost
single-source-schpd,202bc54843d524b0019ff8dd8295b231cb2722ca413a5940ae03e3ff26cd1251,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,true,false,false,200,iteration_limit,77.04112103768406
single-source-case_fixed,a340e2ee5bdbfc9ac5775db51c55c24844f60547a43793041d19ab6f546d1d80,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,false,false,200,iteration_limit,77.04791335360704
single-source-box25,cb8900966aef29b4c288ec3834f9d56d597187bb444bf7edbcf216d2b53751bc,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,5fbbba218aae467564086808709eabc99d8659f81babb5cf159059c08b004a0c,true,false,false,200,iteration_limit,78.96134002313596
single-source-box50,36ef4ab7771c880d05b61a480409ecafab0d77cda088d818b8715aca861d74a5,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,f11eeb5bc03af3b1702dee53a3283553cf2c0385bb1005a5ccadfa030e051c19,true,false,false,200,iteration_limit,77.0472101182588
single-source-box75,17a59c34fcd623a8a0cac29ec2369a2d8978f5dcf32b85d3839419c7b4966a5c,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,28f835e12879d244f6cd6ba177792943bf6a5c6f8a59c172aa5cadf8f1fba02d,true,false,false,200,iteration_limit,77.08714042308773
two-source-schpd,2b1609171253a4ce14c5cdbcb6c77beb272c316630a9f0381de92b64f69f7521,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,true,false,true,98,local_stationarity_checked,177.37624732723242
two-source-case_fixed,eea3a8a81898841762c1af6c0165865a876e555a60fdfb4011ee5346c9181d30,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,bb1eec4ae015180a027e8af6e6cf0979150a04aa18c836f2875334ff869f9bf7,true,false,false,200,iteration_limit,177.39225398124086
two-source-box25,ecc912f8a0a8771c0fb9e011a3bf0e088f14a920a4ace1cccc936d99384bf354,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,f6841d1ad487eb4eaadb58e5d347cc04008261d07cdc8c6df105948c7874e4e8,true,false,false,200,iteration_limit,177.5223675528409
two-source-box50,ae5f3b717db54ce9bb7b9d2353b409c2344ce8400b88a8c45bcfc547ecdf87e3,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,caf1b83c30d4087e2e638dc545e2ef52fe39c74920ad777098e55ec0133dd896,true,false,false,200,iteration_limit,177.40495786024877
two-source-box75,9ab4b66b89267a57caa5fc1f6069deaf135c8b00388aa564cdc8ffaa1a71422e,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,f327ba50caa05ea61fa6e71a1bee5c554634ba7a9db4da2c15a601c3ace32950,true,false,false,200,iteration_limit,177.6027930885013
single-no-halfspace,82b71df6b8041ccc7ee1ab27f74680eb727a3792514fafa706881f26e4465232,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,606a2ee87c1656b559b9e3e2170ddbb74c60a5032772579cf78b7dfd8b66d430,true,false,false,200,iteration_limit,77.87470196310196
two-no-halfspace,f8406c0b2d0d7ede6b6e77808052072ddd049d42c1736bd3ee815b56592f1a49,f10c3b178026651914295a9f98a9d18e23721b859954460ed4b6341696d1d9af,4fa9df0f03d5e576a005a793c75398a92afce5e11364ed52914b2a86be10427c,true,false,false,200,iteration_limit,177.40990446630485
single-low-flow,ec86634f73dbfd367cf0fa2b6e254606becd15116a63d5840203080ab9c85829,1edcf60d35079ba126c253525d622dc104b7c8b503d71c153fb76e7a0aef8f4d,9eee20ea2c8d5ffe9332771f1c9728a055cbd7c2b6abf066aa323f80e4e4a0fe,true,false,true,169,local_stationarity_checked,76.8461395620194
single-impossible-heat,4bbad58990f608fb0a6bcb5570dc0dbd98c6b342699bba4b31e9783fa06a4344,1a887231396f30e35146fb2145548a0c11eea9f8ee282047e2822dd6cb6ad26a,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,false,false,false,25,local_direction_stalled,NaN
single-loose-electric,0749b352c182f8f049af307f9d4d7f1fc53889157c9bc3653ea9b5184fbbb63f,7c2a65f5002b2f387b5045061a8f28b33bb94c0b97c3a91847fdbca8a0682d8a,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,true,false,4,smooth_numeric_stop,0.0
single-delay-switch,c6855e1b37e83a4617e542fd82695275389e4e6701da9b947372cd86ddb032ac,a1b63ef9b85aa54f634ddd08535c36b0ad1601c44c0585c2e58775d416b9ad58,0e9d4da1748a1b374c3e0d4c00c39ec2f393b09e735f5f49bf0043ee92c5d91d,true,false,true,34,local_stationarity_checked,72.22625870837719
single-source-CF_CT-pg,eb8fa783e3e1b9f73ea0627f217a0652cd6bf158d17a23b304e464491315fb0f,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,17ff411f1f7f74f8ad4522debe8d750ca0d2388326868c7b2f6670dd82c7b344,true,false,false,0,fixed_flow_dispatch,146.6061054352771
single-source-CF_VT-pg,86388e492cd0a51d86bf7df94e1a58bf7327af1b42fede850c244a61b33d7d73,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,17ff411f1f7f74f8ad4522debe8d750ca0d2388326868c7b2f6670dd82c7b344,true,false,false,0,fixed_flow_dispatch,144.5319272816771
single-source-VF_CT-pg,c56bda4aa20d7ce70e0f821e1dcb36f657393a551da1b0e7e70f1c88b8082fd0,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,bbee39b30ba26d597ae6f4eab9aefadf6bbbe93f3b8c8bc56270c4964dd2ba25,true,false,true,83,local_stationarity_checked,145.16091308825045
single-source-VF_VT-pg,d31deb6c22c2e20be617117d901a82ebf17be9960d1516a59d1c3fb2bd63ee18,d2a159d9f47cb385dacec0e26f47963f78375536750972761477378280babd1f,df8be0767605b409343cfc6c09ba2cf4e080bcc971484db6005bcd1edea11bab,true,false,false,200,iteration_limit,143.4513348703797
two-source-CF_CT-pg,955a1422fa0eb4fd2f50ff9a103737716fbce3c1414a4af354c1a496fc68265c,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,15383863997085b3594423cc6df3f59702edd86e63a325f5d13bf48b35612992,true,false,false,0,fixed_flow_dispatch,457.8891467910046
two-source-CF_VT-pg,ffe062801d5cf4b7e2a68689e9eba6a12e4c2b2c9235f98e9b26e1dbc7c76718,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,15383863997085b3594423cc6df3f59702edd86e63a325f5d13bf48b35612992,true,false,false,0,fixed_flow_dispatch,454.15483798705776
two-source-VF_CT-pg,86021b731b0be8c5126ff21e565da8ecb0a880035f6d15fc41a304067b5c4cc5,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,27c97ad5b12a5fbb2856ce86c3fe1d99a855f3137673fe8a47bd0cdc57fcfcb3,true,false,false,123,untrusted_dual_local_stalled,468.4415658552974
two-source-VF_VT-pg,0c2d098985661ca873c5e1ba5a60ab0affe9369bf490f705a7cc4f4f9500dfe4,a31cb0ad4684049b587f1358ff4921299dd148344353c871305e1d3e9b43e186,71c273c32d335684419922436a6eb1db889aec299b269a6d0a808f32ef2f142f,true,false,false,200,iteration_limit,451.8478674982796
