run_id,stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,1,1,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-2,model,1,1,2.8574365096289966e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,1,2,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-2,model,1,2,2.42861286636753e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,1,3,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-2,model,1,3,2.621514116896151e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,1,4,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-2,model,1,4,2.391142839286431e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,2,1,1.1235299139253943e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,2,1,3.20231977617744e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,2,2,1.546318413971923e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,2,2,2.8895284718956696e-15,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,2,3,1.8431043854314937e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,2,3,2.471662370863171e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,2,4,6.697508349456373e-13,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,2,4,2.598813873514293e-14,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,3,1,1.5195263644855598e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,3,1,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,3,2,1.7489308612450571e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,3,2,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,3,3,1.9986373667180146e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,3,3,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-3:8,model,3,4,1.1218942441715285e-12,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-7,model,3,4,0.0,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-9,model,1,1,1.6653345369377348e-16,MW,3.0e-6,true
r3-reference-20260917T050229-5cf368bb_clarabel,1,fixed_dispatch,3-10,model,1,1,0.0,Mvar,3.0e-6,true
