case,stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
single-fixed,1,fixed_dispatch,3-25,physics,S1,1,0.10082205129366248,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,S1,2,0.10082205129366248,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,S1,3,0.10082205129366248,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,S1,4,0.10082205129366248,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,R1,1,0.10082384481925917,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,R1,2,0.10082384481925917,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,R1,3,0.10082384481925917,normalized,1.0e-6,false
single-fixed,1,fixed_dispatch,3-25,physics,R1,4,0.10082384481925917,normalized,1.0e-6,false
single-schpd,1,initialization,pre-SOC-electric,physics,1,3,9.013595389811336e-6,pu,1.0e-6,false
single-schpd,1,initialization,3-17,physics,1,1,0.007304182556626307,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,1,1,0.007304182556626307,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,1,2,0.01970849823549023,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,1,2,0.01970849823549023,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,1,3,0.00893896561103194,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,1,3,0.00893896561103194,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,1,4,0.00044299415146153986,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,1,4,0.00044299415146153986,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,2,1,0.007980331652050948,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,2,1,0.007980331652050948,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,2,2,0.01801665629988719,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,2,2,0.01801665629988719,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,2,3,0.007144287828575374,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,2,3,0.007144287828575374,MW,3.0e-6,false
single-schpd,1,initialization,3-17,physics,2,4,0.006302455068609658,MW,3.0e-6,false
single-schpd,1,initialization,3-17-original,physics,2,4,0.006302455068609658,MW,3.0e-6,false
single-schpd,1,initialization,3-25,physics,S1,1,0.03675222999581284,normalized,1.0e-6,false
single-schpd,1,initialization,WMM-replay,physics,S1,1,1.5079394583495969,K,0.0001,false
single-schpd,1,initialization,3-52-unrelaxed,physics,S1,1,0.010482915246668468,MW,3.0e-6,false
single-schpd,1,initialization,3-25,physics,S1,2,0.03648164642137317,normalized,1.0e-6,false
single-schpd,1,initialization,WMM-replay,physics,S1,2,0.4217846156906262,K,0.0001,false
single-schpd,1,initialization,3-52-unrelaxed,physics,S1,2,0.006813698212766427,MW,3.0e-6,false
single-schpd,1,initialization,3-25,physics,S1,3,0.03648125464248483,normalized,1.0e-6,false
single-schpd,1,initialization,WMM-replay,physics,S1,3,1.3112898974196128,K,0.0001,false
single-schpd,1,initialization,3-52-unrelaxed,physics,S1,3,0.0026134459956009258,MW,3.0e-6,false
single-schpd,1,initialization,3-25,physics,S1,4,0.03656285531697433,normalized,1.0e-6,false
single-schpd,1,initialization,WMM-replay,physics,S1,4,0.05016576716650434,K,0.0001,false
single-schpd,1,initialization,3-52-unrelaxed,physics,S1,4,0.0021455578135958237,MW,3.0e-6,false
single-schpd,1,initialization,3-25,physics,R1,1,0.036752229995824864,normalized,1.0e-6,false
single-schpd,1,initialization,WMM-replay,physics,R1,1,2.4934929461707043,K,0.0001,false
