stage,name,quantity,entity,t,time_h,value,unit
1,fixed_dispatch,m_pipe,1,1,1.0,1.0,kg/s
1,fixed_dispatch,m_pipe,1,2,2.0,1.0,kg/s
1,fixed_dispatch,m_pipe,1,3,3.0,1.0,kg/s
1,fixed_dispatch,m_pipe,1,4,4.0,1.0,kg/s
1,fixed_dispatch,tau_S_out,1,1,1.0,348.71428571474155,K
1,fixed_dispatch,tau_S_out,1,2,2.0,351.0952380949378,K
1,fixed_dispatch,tau_S_out,1,3,3.0,353.4761904765062,K
1,fixed_dispatch,tau_S_out,1,4,4.0,351.09523809507374,K
1,fixed_dispatch,tau_R_out,1,1,1.0,312.82930402781403,K
1,fixed_dispatch,tau_R_out,1,2,2.0,312.82930402781403,K
1,fixed_dispatch,tau_R_out,1,3,3.0,312.82930402781403,K
1,fixed_dispatch,tau_R_out,1,4,4.0,312.82930402781403,K
1,fixed_dispatch,H_port,1,1,1.0,0.13674559272035944,MW
1,fixed_dispatch,H_port,1,2,2.0,0.1888890884457293,MW
1,fixed_dispatch,H_port,1,3,3.0,0.15691775809449618,MW
1,fixed_dispatch,H_port,1,4,4.0,0.16871692307254338,MW
1,fixed_dispatch,H_port,2,1,1.0,0.15000000000095717,MW
1,fixed_dispatch,H_port,2,2,2.0,0.1599999999993695,MW
1,fixed_dispatch,H_port,2,3,3.0,0.17000000000066298,MW
1,fixed_dispatch,H_port,2,4,4.0,0.15999999999965486,MW
1,fixed_dispatch,replay_S,1,1,1.0,348.71428571474155,K
1,fixed_dispatch,replay_S,1,2,2.0,351.0952380949379,K
1,fixed_dispatch,replay_S,1,3,3.0,353.4761904765062,K
1,fixed_dispatch,replay_S,1,4,4.0,351.0952380950738,K
1,fixed_dispatch,replay_R,1,1,1.0,312.82930402781403,K
1,fixed_dispatch,replay_R,1,2,2.0,312.82930402781403,K
1,fixed_dispatch,replay_R,1,3,3.0,312.82930402781403,K
1,fixed_dispatch,replay_R,1,4,4.0,312.82930402781403,K
2,pressure_reconstruction,m_pipe,1,1,1.0,1.0,kg/s
2,pressure_reconstruction,m_pipe,1,2,2.0,1.0,kg/s
2,pressure_reconstruction,m_pipe,1,3,3.0,1.0,kg/s
2,pressure_reconstruction,m_pipe,1,4,4.0,1.0,kg/s
2,pressure_reconstruction,tau_S_out,1,1,1.0,348.71428571474155,K
2,pressure_reconstruction,tau_S_out,1,2,2.0,351.0952380949378,K
2,pressure_reconstruction,tau_S_out,1,3,3.0,353.4761904765062,K
2,pressure_reconstruction,tau_S_out,1,4,4.0,351.09523809507374,K
2,pressure_reconstruction,tau_R_out,1,1,1.0,312.82930402781403,K
2,pressure_reconstruction,tau_R_out,1,2,2.0,312.82930402781403,K
2,pressure_reconstruction,tau_R_out,1,3,3.0,312.82930402781403,K
2,pressure_reconstruction,tau_R_out,1,4,4.0,312.82930402781403,K
2,pressure_reconstruction,H_port,1,1,1.0,0.13674559272035944,MW
2,pressure_reconstruction,H_port,1,2,2.0,0.1888890884457293,MW
2,pressure_reconstruction,H_port,1,3,3.0,0.15691775809449618,MW
2,pressure_reconstruction,H_port,1,4,4.0,0.16871692307254338,MW
2,pressure_reconstruction,H_port,2,1,1.0,0.15000000000095717,MW
2,pressure_reconstruction,H_port,2,2,2.0,0.1599999999993695,MW
2,pressure_reconstruction,H_port,2,3,3.0,0.17000000000066298,MW
2,pressure_reconstruction,H_port,2,4,4.0,0.15999999999965486,MW
2,pressure_reconstruction,replay_S,1,1,1.0,348.71428571474155,K
2,pressure_reconstruction,replay_S,1,2,2.0,351.0952380949379,K
2,pressure_reconstruction,replay_S,1,3,3.0,353.4761904765062,K
2,pressure_reconstruction,replay_S,1,4,4.0,351.0952380950738,K
2,pressure_reconstruction,replay_R,1,1,1.0,312.82930402781403,K
2,pressure_reconstruction,replay_R,1,2,2.0,312.82930402781403,K
2,pressure_reconstruction,replay_R,1,3,3.0,312.82930402781403,K
2,pressure_reconstruction,replay_R,1,4,4.0,312.82930402781403,K
0,input_flow,m_pipe,1,1,1.0,1.0,kg/s
0,input_flow,m_pipe,1,2,2.0,1.0,kg/s
0,input_flow,m_pipe,1,3,3.0,1.0,kg/s
0,input_flow,m_pipe,1,4,4.0,1.0,kg/s
