stage,name,quantity,entity,t,time_h,value,unit
1,fixed_dispatch,m_pipe,1,1,1.0,1.0,kg/s
1,fixed_dispatch,m_pipe,1,2,2.0,1.0,kg/s
1,fixed_dispatch,m_pipe,1,3,3.0,1.0,kg/s
1,fixed_dispatch,m_pipe,1,4,4.0,1.0,kg/s
1,fixed_dispatch,tau_S_out,1,1,1.0,348.71428571428544,K
1,fixed_dispatch,tau_S_out,1,2,2.0,351.0952380952382,K
1,fixed_dispatch,tau_S_out,1,3,3.0,353.4761904761904,K
1,fixed_dispatch,tau_S_out,1,4,4.0,351.0952380952381,K
1,fixed_dispatch,tau_R_out,1,1,1.0,312.82930402781403,K
1,fixed_dispatch,tau_R_out,1,2,2.0,312.82930402781403,K
1,fixed_dispatch,tau_R_out,1,3,3.0,312.82930402781403,K
1,fixed_dispatch,tau_R_out,1,4,4.0,312.82930402781403,K
1,fixed_dispatch,H_port,1,1,1.0,0.1367455927163123,MW
1,fixed_dispatch,H_port,1,2,2.0,0.18888908845212166,MW
1,fixed_dispatch,H_port,1,3,3.0,0.15691775808524866,MW
1,fixed_dispatch,H_port,1,4,4.0,0.16871692308318445,MW
1,fixed_dispatch,H_port,2,1,1.0,0.14999999999999936,MW
1,fixed_dispatch,H_port,2,2,2.0,0.16000000000000017,MW
1,fixed_dispatch,H_port,2,3,3.0,0.16999999999999996,MW
1,fixed_dispatch,H_port,2,4,4.0,0.15999999999999995,MW
1,fixed_dispatch,replay_S,1,1,1.0,348.7142857142854,K
1,fixed_dispatch,replay_S,1,2,2.0,351.0952380952382,K
1,fixed_dispatch,replay_S,1,3,3.0,353.4761904761905,K
1,fixed_dispatch,replay_S,1,4,4.0,351.09523809523813,K
1,fixed_dispatch,replay_R,1,1,1.0,312.82930402781403,K
1,fixed_dispatch,replay_R,1,2,2.0,312.82930402781403,K
1,fixed_dispatch,replay_R,1,3,3.0,312.82930402781403,K
1,fixed_dispatch,replay_R,1,4,4.0,312.82930402781403,K
2,pressure_reconstruction,m_pipe,1,1,1.0,1.0,kg/s
2,pressure_reconstruction,m_pipe,1,2,2.0,1.0,kg/s
2,pressure_reconstruction,m_pipe,1,3,3.0,1.0,kg/s
2,pressure_reconstruction,m_pipe,1,4,4.0,1.0,kg/s
2,pressure_reconstruction,tau_S_out,1,1,1.0,348.71428571428544,K
2,pressure_reconstruction,tau_S_out,1,2,2.0,351.0952380952382,K
2,pressure_reconstruction,tau_S_out,1,3,3.0,353.4761904761904,K
2,pressure_reconstruction,tau_S_out,1,4,4.0,351.0952380952381,K
2,pressure_reconstruction,tau_R_out,1,1,1.0,312.82930402781403,K
2,pressure_reconstruction,tau_R_out,1,2,2.0,312.82930402781403,K
2,pressure_reconstruction,tau_R_out,1,3,3.0,312.82930402781403,K
2,pressure_reconstruction,tau_R_out,1,4,4.0,312.82930402781403,K
2,pressure_reconstruction,H_port,1,1,1.0,0.1367455927163123,MW
2,pressure_reconstruction,H_port,1,2,2.0,0.18888908845212166,MW
2,pressure_reconstruction,H_port,1,3,3.0,0.15691775808524866,MW
2,pressure_reconstruction,H_port,1,4,4.0,0.16871692308318445,MW
2,pressure_reconstruction,H_port,2,1,1.0,0.14999999999999936,MW
2,pressure_reconstruction,H_port,2,2,2.0,0.16000000000000017,MW
2,pressure_reconstruction,H_port,2,3,3.0,0.16999999999999996,MW
2,pressure_reconstruction,H_port,2,4,4.0,0.15999999999999995,MW
2,pressure_reconstruction,replay_S,1,1,1.0,348.7142857142854,K
2,pressure_reconstruction,replay_S,1,2,2.0,351.0952380952382,K
2,pressure_reconstruction,replay_S,1,3,3.0,353.4761904761905,K
2,pressure_reconstruction,replay_S,1,4,4.0,351.09523809523813,K
2,pressure_reconstruction,replay_R,1,1,1.0,312.82930402781403,K
2,pressure_reconstruction,replay_R,1,2,2.0,312.82930402781403,K
2,pressure_reconstruction,replay_R,1,3,3.0,312.82930402781403,K
2,pressure_reconstruction,replay_R,1,4,4.0,312.82930402781403,K
3,fixed_physical,m_pipe,1,1,1.0,1.0,kg/s
3,fixed_physical,m_pipe,1,2,2.0,1.0,kg/s
3,fixed_physical,m_pipe,1,3,3.0,1.0,kg/s
3,fixed_physical,m_pipe,1,4,4.0,1.0,kg/s
3,fixed_physical,tau_S_out,1,1,1.0,348.7142857142857,K
3,fixed_physical,tau_S_out,1,2,2.0,351.0952380952381,K
3,fixed_physical,tau_S_out,1,3,3.0,353.4761904761905,K
3,fixed_physical,tau_S_out,1,4,4.0,351.0952380952381,K
