stage,name,quantity,entity,t,time_h,value,unit
2,diagnostic,m_pipe,1,1,1.0,0.5,kg/s
2,diagnostic,m_pipe,1,2,2.0,0.5,kg/s
2,diagnostic,m_pipe,1,3,3.0,0.5,kg/s
2,diagnostic,m_pipe,1,4,4.0,0.5,kg/s
2,diagnostic,tau_S_out,1,1,1.0,352.2335094267404,K
2,diagnostic,tau_S_out,1,2,2.0,361.81022718915665,K
2,diagnostic,tau_S_out,1,3,3.0,361.8102271891396,K
2,diagnostic,tau_S_out,1,4,4.0,361.8102271891564,K
2,diagnostic,tau_R_out,1,1,1.0,312.74450314224794,K
2,diagnostic,tau_R_out,1,2,2.0,312.6600649113746,K
2,diagnostic,tau_R_out,1,3,3.0,312.6600649113746,K
2,diagnostic,tau_R_out,1,4,4.0,312.66006491137466,K
2,diagnostic,H_port,1,1,1.0,0.10553654339965486,MW
2,diagnostic,H_port,1,2,2.0,0.10571386368444666,MW
2,diagnostic,H_port,1,3,3.0,0.10571386368447723,MW
2,diagnostic,H_port,1,4,4.0,0.08972697097816343,MW
2,diagnostic,H_port,2,1,1.0,0.15,MW
2,diagnostic,H_port,2,2,2.0,0.16,MW
2,diagnostic,H_port,2,3,3.0,0.17,MW
2,diagnostic,H_port,2,4,4.0,0.16,MW
2,diagnostic,replay_S,1,1,1.0,352.23350942674057,K
2,diagnostic,replay_S,1,2,2.0,361.8102271891557,K
2,diagnostic,replay_S,1,3,3.0,361.8102271891386,K
2,diagnostic,replay_S,1,4,4.0,361.81022718915546,K
2,diagnostic,replay_R,1,1,1.0,312.74450314224686,K
2,diagnostic,replay_R,1,2,2.0,312.66006491137375,K
2,diagnostic,replay_R,1,3,3.0,312.66006491137375,K
2,diagnostic,replay_R,1,4,4.0,312.66006491137375,K
3,direct_repair,m_pipe,1,1,1.0,0.8242353329397681,kg/s
3,direct_repair,m_pipe,1,2,2.0,0.7734730127254867,kg/s
3,direct_repair,m_pipe,1,3,3.0,0.8218326447951362,kg/s
3,direct_repair,m_pipe,1,4,4.0,0.7734894230162479,kg/s
3,direct_repair,tau_S_out,1,1,1.0,356.3302047206649,K
3,direct_repair,tau_S_out,1,2,2.0,362.25218781842295,K
3,direct_repair,tau_S_out,1,3,3.0,362.2511349269656,K
3,direct_repair,tau_S_out,1,4,4.0,362.2511428878813,K
3,direct_repair,tau_R_out,1,1,1.0,312.8111901029014,K
3,direct_repair,tau_R_out,1,2,2.0,312.78633955339444,K
3,direct_repair,tau_R_out,1,3,3.0,312.78603875628914,K
3,direct_repair,tau_R_out,1,4,4.0,312.7860411376852,K
3,direct_repair,H_port,1,1,1.0,0.1737430382629222,MW
3,direct_repair,H_port,1,2,2.0,0.1631234241724076,MW
3,direct_repair,H_port,1,3,3.0,0.17332338301991576,MW
3,direct_repair,H_port,1,4,4.0,0.16312785131361526,MW
3,direct_repair,H_port,2,1,1.0,0.15,MW
3,direct_repair,H_port,2,2,2.0,0.16,MW
3,direct_repair,H_port,2,3,3.0,0.17,MW
3,direct_repair,H_port,2,4,4.0,0.16,MW
3,direct_repair,replay_S,1,1,1.0,356.3302047190549,K
3,direct_repair,replay_S,1,2,2.0,362.2521878140302,K
3,direct_repair,replay_S,1,3,3.0,362.25113494305043,K
3,direct_repair,replay_S,1,4,4.0,362.2511428396467,K
3,direct_repair,replay_R,1,1,1.0,312.8111901015151,K
3,direct_repair,replay_R,1,2,2.0,312.78633954960685,K
3,direct_repair,replay_R,1,3,3.0,312.7860387701568,K
3,direct_repair,replay_R,1,4,4.0,312.7860410960986,K
4,repaired_dispatch,m_pipe,1,1,1.0,0.8242353329397681,kg/s
4,repaired_dispatch,m_pipe,1,2,2.0,0.7734730127254867,kg/s
4,repaired_dispatch,m_pipe,1,3,3.0,0.8218326447951362,kg/s
4,repaired_dispatch,m_pipe,1,4,4.0,0.7734894230162479,kg/s
4,repaired_dispatch,tau_S_out,1,1,1.0,356.3302047206651,K
4,repaired_dispatch,tau_S_out,1,2,2.0,362.2521878184242,K
4,repaired_dispatch,tau_S_out,1,3,3.0,362.25113492696585,K
4,repaired_dispatch,tau_S_out,1,4,4.0,362.2511428878813,K
4,repaired_dispatch,tau_R_out,1,1,1.0,312.8111901015151,K
4,repaired_dispatch,tau_R_out,1,2,2.0,312.7863395496068,K
4,repaired_dispatch,tau_R_out,1,3,3.0,312.7860387701569,K
4,repaired_dispatch,tau_R_out,1,4,4.0,312.7860410960986,K
4,repaired_dispatch,H_port,1,1,1.0,0.17374303828202348,MW
4,repaired_dispatch,H_port,1,2,2.0,0.16312342420097356,MW
4,repaired_dispatch,H_port,1,3,3.0,0.17332338280189147,MW
4,repaired_dispatch,H_port,1,4,4.0,0.16312785218947018,MW
4,repaired_dispatch,H_port,2,1,1.0,0.15,MW
4,repaired_dispatch,H_port,2,2,2.0,0.16,MW
4,repaired_dispatch,H_port,2,3,3.0,0.17,MW
4,repaired_dispatch,H_port,2,4,4.0,0.16,MW
4,repaired_dispatch,replay_S,1,1,1.0,356.33020472066505,K
4,repaired_dispatch,replay_S,1,2,2.0,362.25218781842426,K
4,repaired_dispatch,replay_S,1,3,3.0,362.2511349269658,K
4,repaired_dispatch,replay_S,1,4,4.0,362.2511428878813,K
4,repaired_dispatch,replay_R,1,1,1.0,312.8111901015151,K
4,repaired_dispatch,replay_R,1,2,2.0,312.78633954960685,K
4,repaired_dispatch,replay_R,1,3,3.0,312.7860387701568,K
4,repaired_dispatch,replay_R,1,4,4.0,312.7860410960986,K
0,input_flow,m_pipe,1,1,1.0,0.5,kg/s
0,input_flow,m_pipe,1,2,2.0,0.5,kg/s
0,input_flow,m_pipe,1,3,3.0,0.5,kg/s
0,input_flow,m_pipe,1,4,4.0,0.5,kg/s
