stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
1,initialization,3-3:8,model,1,1,0.0,MW,3.0e-6,true
1,initialization,3-2,model,1,1,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,1,2,0.0,MW,3.0e-6,true
1,initialization,3-2,model,1,2,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,1,3,0.0,MW,3.0e-6,true
1,initialization,3-2,model,1,3,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,1,4,0.0,MW,3.0e-6,true
1,initialization,3-2,model,1,4,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,2,1,0.0,MW,3.0e-6,true
1,initialization,3-7,model,2,1,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,2,2,0.0,MW,3.0e-6,true
1,initialization,3-7,model,2,2,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,2,3,0.0,MW,3.0e-6,true
1,initialization,3-7,model,2,3,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,2,4,0.0,MW,3.0e-6,true
1,initialization,3-7,model,2,4,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,3,1,0.0,MW,3.0e-6,true
1,initialization,3-2,model,3,1,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,3,2,0.0,MW,3.0e-6,true
1,initialization,3-2,model,3,2,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,3,3,0.0,MW,3.0e-6,true
1,initialization,3-2,model,3,3,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,3,4,0.0,MW,3.0e-6,true
1,initialization,3-2,model,3,4,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,4,1,0.0,MW,3.0e-6,true
1,initialization,3-7,model,4,1,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,4,2,0.0,MW,3.0e-6,true
1,initialization,3-7,model,4,2,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,4,3,0.0,MW,3.0e-6,true
1,initialization,3-7,model,4,3,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,4,4,0.0,MW,3.0e-6,true
1,initialization,3-7,model,4,4,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,5,1,0.0,MW,3.0e-6,true
1,initialization,3-7,model,5,1,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,5,2,0.0,MW,3.0e-6,true
1,initialization,3-7,model,5,2,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,5,3,0.0,MW,3.0e-6,true
1,initialization,3-7,model,5,3,0.0,MW,3.0e-6,true
1,initialization,3-3:8,model,5,4,0.0,MW,3.0e-6,true
1,initialization,3-7,model,5,4,0.0,MW,3.0e-6,true
1,initialization,3-9,model,1,1,0.0,MW,3.0e-6,true
1,initialization,3-10,model,1,1,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,1,1,0.0,pu2,1.0e-6,true
1,initialization,R2-root-voltage,model,1,1,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,1,2,0.0,MW,3.0e-6,true
1,initialization,3-10,model,1,2,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,1,2,0.0,pu2,1.0e-6,true
1,initialization,R2-root-voltage,model,1,2,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,1,3,0.0,MW,3.0e-6,true
1,initialization,3-10,model,1,3,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,1,3,0.0,pu2,1.0e-6,true
1,initialization,R2-root-voltage,model,1,3,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,1,4,0.0,MW,3.0e-6,true
1,initialization,3-10,model,1,4,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,1,4,0.0,pu2,1.0e-6,true
1,initialization,R2-root-voltage,model,1,4,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,2,1,7.82035269875081e-11,MW,3.0e-6,true
1,initialization,3-10,model,2,1,6.444150768558643e-14,Mvar,3.0e-6,true
1,initialization,3-13,model,2,1,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,2,2,2.4643342921848443e-11,MW,3.0e-6,true
1,initialization,3-10,model,2,2,2.1380813786109343e-13,Mvar,3.0e-6,true
1,initialization,3-13,model,2,2,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,2,3,2.2865306870123447e-11,MW,3.0e-6,true
1,initialization,3-10,model,2,3,2.6821600496163e-13,Mvar,3.0e-6,true
1,initialization,3-13,model,2,3,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,2,4,7.717010364061139e-11,MW,3.0e-6,true
1,initialization,3-10,model,2,4,1.0891634816267981e-13,Mvar,3.0e-6,true
1,initialization,3-13,model,2,4,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,3,1,8.219749880744587e-11,MW,3.0e-6,true
1,initialization,3-10,model,3,1,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,3,1,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,3,2,2.3484728051137438e-11,MW,3.0e-6,true
1,initialization,3-10,model,3,2,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,3,2,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,3,3,5.7460550206833716e-11,MW,3.0e-6,true
1,initialization,3-10,model,3,3,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,3,3,0.0,pu2,1.0e-6,true
1,initialization,3-9,model,3,4,8.26877177839691e-11,MW,3.0e-6,true
1,initialization,3-10,model,3,4,0.0,Mvar,3.0e-6,true
1,initialization,3-13,model,3,4,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,1,1,7.0832934983634436e-12,pu2,1.0e-6,true
1,initialization,3-12,model,1,1,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,1,1,5.3700979843473995e-8,pu,1.0e-6,true
1,initialization,3-14,model,1,1,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,1,2,6.533203298201461e-11,pu2,1.0e-6,true
1,initialization,3-12,model,1,2,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,1,2,4.266234700407712e-8,pu,1.0e-6,true
1,initialization,3-14,model,1,2,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,1,3,4.047326713869443e-11,pu2,1.0e-6,true
1,initialization,3-12,model,1,3,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,1,3,4.071718366291388e-8,pu,1.0e-6,true
1,initialization,3-14,model,1,3,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,1,4,2.0238175454231925e-11,pu2,1.0e-6,true
1,initialization,3-12,model,1,4,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,1,4,5.74462500138595e-8,pu,1.0e-6,true
1,initialization,3-14,model,1,4,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,2,1,4.212739538992944e-17,pu2,1.0e-6,true
1,initialization,3-12,model,2,1,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,2,1,2.2678325523745047e-7,pu,1.0e-6,true
1,initialization,3-14,model,2,1,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,2,2,8.098778470229905e-17,pu2,1.0e-6,true
1,initialization,3-12,model,2,2,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,2,2,3.0598752111948846e-8,pu,1.0e-6,true
1,initialization,3-14,model,2,2,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,2,3,4.155803043069694e-17,pu2,1.0e-6,true
1,initialization,3-12,model,2,3,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,2,3,9.888095346168024e-8,pu,1.0e-6,true
1,initialization,3-14,model,2,3,0.0,pu2,1.0e-6,true
1,initialization,3-11,model,2,4,6.416253399627644e-17,pu2,1.0e-6,true
1,initialization,3-12,model,2,4,0.0,pu,1.0e-6,true
1,initialization,pre-SOC-electric,physics,2,4,6.628435728940618e-7,pu,1.0e-6,true
1,initialization,3-14,model,2,4,0.0,pu2,1.0e-6,true
1,initialization,R2-grid-bounds,model,1,1,0.0,MW,3.0e-6,true
1,initialization,R2-grid-bounds,model,1,2,0.0,MW,3.0e-6,true
1,initialization,R2-grid-bounds,model,1,3,0.0,MW,3.0e-6,true
1,initialization,R2-grid-bounds,model,1,4,0.0,MW,3.0e-6,true
1,initialization,3-21,model,1,1,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,1,1,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,1,1,0.01277786976067749,MW,3.0e-6,false
1,initialization,3-17-original,physics,1,1,0.01277786976067749,MW,3.0e-6,false
1,initialization,3-42,model,1,1,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,1,1,7.38697714108838e-11,MW,3.0e-6,true
1,initialization,3-37,model,1,1,0.0,K,0.0001,true
1,initialization,3-41,model,1,1,0.0,K,0.0001,true
1,initialization,3-41,model,1,1,0.0,K,0.0001,true
1,initialization,3-24,model,1,1,0.0,kPa,0.001,true
1,initialization,3-41,model,1,1,0.0,K,0.0001,true
1,initialization,3-41,model,1,1,0.0,K,0.0001,true
1,initialization,3-24,model,1,1,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,1,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,1,2,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,1,2,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,1,2,0.0192547878421927,MW,3.0e-6,false
1,initialization,3-17-original,physics,1,2,0.0192547878421927,MW,3.0e-6,false
1,initialization,3-42,model,1,2,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,1,2,2.2424839762891224e-11,MW,3.0e-6,true
1,initialization,3-37,model,1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-24,model,1,2,0.0,kPa,0.001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-24,model,1,2,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,1,3,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,1,3,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,1,3,8.952480330393087e-6,MW,3.0e-6,false
1,initialization,3-17-original,physics,1,3,8.952480330393087e-6,MW,3.0e-6,false
1,initialization,3-42,model,1,3,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,1,3,2.2411683620049416e-11,MW,3.0e-6,true
1,initialization,3-37,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-24,model,1,3,0.0,kPa,0.001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-24,model,1,3,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,1,4,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,1,4,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,1,4,0.028825937850386812,MW,3.0e-6,false
1,initialization,3-17-original,physics,1,4,0.028825937850386812,MW,3.0e-6,false
1,initialization,3-42,model,1,4,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,1,4,7.39461269994024e-11,MW,3.0e-6,true
1,initialization,3-37,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-24,model,1,4,0.0,kPa,0.001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-24,model,1,4,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,4,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,2,1,1.477402689076257e-8,kg/s,4.0e-6,true
1,initialization,3-43,model,2,1,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,2,1,1.6840229627446135e-9,MW,3.0e-6,true
1,initialization,3-17-original,physics,2,1,1.6840229627446135e-9,MW,3.0e-6,true
1,initialization,3-42,model,2,1,1.684022962678e-9,MW,3.0e-6,true
1,initialization,3-19:20,model,2,1,7.818723446462172e-11,MW,3.0e-6,true
1,initialization,3-37,model,2,1,0.0,K,0.0001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-24,model,2,1,0.0,kPa,0.001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-24,model,2,1,0.0,kPa,0.001,true
1,initialization,3-24-order,model,2,1,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,2,2,3.259648240216961e-8,kg/s,4.0e-6,true
1,initialization,3-43,model,2,2,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,2,2,3.6331728042737765e-9,MW,3.0e-6,true
1,initialization,3-17-original,physics,2,2,3.6331728042737765e-9,MW,3.0e-6,true
1,initialization,3-42,model,2,2,3.6331728068716985e-9,MW,3.0e-6,true
1,initialization,3-19:20,model,2,2,2.2797111420835847e-11,MW,3.0e-6,true
1,initialization,3-37,model,2,2,0.0,K,0.0001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-24,model,2,2,0.0,kPa,0.001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-24,model,2,2,0.0,kPa,0.001,true
1,initialization,3-24-order,model,2,2,0.0,normalized,1.0e-6,true
