case,run_id,stage,name,variant,status,objective_kind,solver_objective,operating_cost,solver_bound,relative_gap,flow_distance,elapsed_sec,model_pass,physical_pass
single-fixed,r3-study-20260917T045811-7399ae72_single-fixed,1,fixed_dispatch,r3_sp_checked_v1,solver_optimal,operating_cost,80.18286341908787,80.18286341908787,80.18286340565697,1.6750327166491365e-10,0.0,9.759163300012005,true,false
single-fixed,r3-study-20260917T045811-7399ae72_single-fixed,2,pressure_reconstruction,r3_sp_checked_v1,solver_optimal,operating_cost,80.18286341908787,80.18286341908787,80.18286340565697,1.6750327166491365e-10,0.0,0.0,true,true
single-schpd,r3-study-20260917T045811-7399ae72_single-schpd,1,initialization,schpd_mc_v1,solver_optimal,operating_cost,72.49939237495148,72.49939237495148,72.49936381359817,3.939530026714601e-7,0.0,1.689000129699707,true,false
single-schpd,r3-study-20260917T045811-7399ae72_single-schpd,2,fixed_dispatch,r3_sp_checked_v1,infeasible_certified,operating_cost,,,,,,0.01043059999938123,false,false
single-schpd,r3-study-20260917T045811-7399ae72_single-schpd,3,diagnostic,r3_sp_elastic_v1,solver_optimal,normalized_slack,0.0021278183145210477,193.92855579900805,0.0021278181336233074,1.8089774036361694e-10,0.0,0.6860337000107393,true,false
single-schpd,r3-study-20260917T045811-7399ae72_single-schpd,4,direct_repair,r3_direct_repair_v1,solver_optimal,flow_distance,0.012130685516758973,212.34376852909017,0.012130572290037556,1.1322672141718393e-7,0.012130684764370958,2.2001459000166506,true,true
single-schpd,r3-study-20260917T045811-7399ae72_single-schpd,5,repaired_dispatch,r3_fixed_physical_v1,solver_optimal,operating_cost,80.0835522316707,80.0835522316707,80.08355223167068,1.7745035427614347e-16,0.012130684764370958,0.011970399995334446,true,true
two-schpd,r3-study-20260917T045811-7399ae72_two-schpd,1,initialization,schpd_mc_v1,solver_optimal,operating_cost,167.6387089172421,167.6387089172421,167.63854624174903,9.703933782554452e-7,0.0,0.11100006103515625,true,false
two-schpd,r3-study-20260917T045811-7399ae72_two-schpd,2,fixed_dispatch,r3_sp_checked_v1,infeasible_certified,operating_cost,,,,,,0.033078900014515966,false,false
two-schpd,r3-study-20260917T045811-7399ae72_two-schpd,3,diagnostic,r3_sp_elastic_v1,solver_optimal,normalized_slack,0.007753055026080744,358.07796305050175,0.007753054988504038,3.757670650333944e-11,4.129663278007456e-11,0.015842099994188175,true,false
two-schpd,r3-study-20260917T045811-7399ae72_two-schpd,4,direct_repair,r3_direct_repair_v1,solver_optimal,flow_distance,0.027840428848036572,417.5003666695707,0.027840377374142244,5.1473894327469516e-8,0.027840408472740497,181.3993024000083,true,true
two-schpd,r3-study-20260917T045811-7399ae72_two-schpd,5,repaired_dispatch,r3_fixed_physical_v1,solver_optimal,operating_cost,186.38843677250543,186.38843677250543,186.38843677250543,0.0,0.027840408472740497,0.11231999998562969,true,true
single-low-flow,r3-study-20260917T045811-7399ae72_single-low-flow,1,fixed_dispatch,r3_sp_checked_v1,infeasible_certified,operating_cost,,,,,,0.009808900009375066,false,false
single-low-flow,r3-study-20260917T045811-7399ae72_single-low-flow,2,diagnostic,r3_sp_elastic_v1,solver_optimal,normalized_slack,0.2501051989147439,176.03175584319817,0.25010519880594234,1.0880157885750918e-10,0.0,0.010994600015692413,true,false
single-low-flow,r3-study-20260917T045811-7399ae72_single-low-flow,3,direct_repair,r3_direct_repair_v1,solver_optimal,flow_distance,1.193030413476639,215.7932627152254,1.1930298202379452,4.97253621553417e-7,1.193030413476639,0.18895379998139106,true,true
single-low-flow,r3-study-20260917T045811-7399ae72_single-low-flow,4,repaired_dispatch,r3_fixed_physical_v1,solver_optimal,operating_cost,80.97096062998244,80.97096062998244,80.97096062998243,1.755055714374212e-16,1.193030413476639,0.012612699996680021,true,true
single-impossible-heat,r3-study-20260917T045811-7399ae72_single-impossible-heat,1,fixed_dispatch,r3_sp_checked_v1,infeasible_certified,operating_cost,,,,,,0.011878199991770089,false,false
single-impossible-heat,r3-study-20260917T045811-7399ae72_single-impossible-heat,2,diagnostic,r3_sp_elastic_v1,solver_optimal,normalized_slack,3.919085769267844,187.31654091842293,3.9190857691307026,3.499321459490987e-11,0.0,0.010842799994861707,true,false
single-impossible-heat,r3-study-20260917T045811-7399ae72_single-impossible-heat,3,direct_repair,r3_direct_repair_v1,infeasible_certified,flow_distance,,,,,,0.006744700018316507,false,false
single-loose-electric,r3-study-20260917T045811-7399ae72_single-loose-electric,1,fixed_dispatch,r3_sp_checked_v1,solver_optimal,operating_cost,-9.235949399561394e-12,-9.235949399561394e-12,-6.765809535514685e-11,5.842214595558546e-11,0.0,0.010075199999846518,true,false
single-loose-electric,r3-study-20260917T045811-7399ae72_single-loose-electric,2,pressure_reconstruction,r3_sp_checked_v1,solver_optimal,operating_cost,-9.235949399561394e-12,-9.235949399561394e-12,-6.765809535514685e-11,5.842214595558546e-11,0.0,0.0,true,false
single-loose-electric,r3-study-20260917T045811-7399ae72_single-loose-electric,3,fixed_physical,r3_fixed_physical_v1,solver_optimal,operating_cost,0.0,0.0,0.0,0.0,0.0,0.012682299973675981,true,true
