iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,diagnostic,0.2501051989147439,true,,,false,false,1
2,diagnostic,0.25009683653843534,true,1.0,0.21085464957583144,true,true,1
3,diagnostic,0.07441406101846124,true,1.0,0.21030940914413587,true,true,1
4,diagnostic,0.009925011495258988,true,0.25,0.2084444135651775,true,true,3
5,diagnostic,0.0008032418963646554,true,0.0625,0.2028377130138438,true,true,5
6,diagnostic,0.00026075476392147255,true,0.03125,0.20347441717745796,true,true,6
7,dispatch,0.05379399941071011,true,0.0625,0.0314576207715056,true,true,5
8,dispatch,0.0536693521551521,true,0.015625,0.03086108223981454,true,false,7
9,dispatch,0.05363836000804937,true,0.0078125,0.03071598877663584,true,false,8
10,dispatch,0.05362288278840082,true,0.00390625,0.030643958150780914,true,false,9
11,dispatch,0.053615148291846666,true,0.00048828125,0.030605116345031713,true,false,12
12,dispatch,0.053614181758929694,false,,0.03060087513797305,true,false,12
