iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,diagnostic,0.029648411070094614,true,1.0,0.12548077042960792,true,false,1
2,diagnostic,0.01949490245895524,true,1.0,0.12526499301839333,true,true,1
3,diagnostic,0.004114118163800532,true,1.0,0.12600012754426948,true,true,1
4,diagnostic,0.0006231561802674755,true,0.5,0.14771144174231954,true,true,2
5,dispatch,0.05399591178344814,true,1.0,0.005628569367823966,true,true,1
6,dispatch,0.0539216064726291,true,1.0,0.005719170930682083,true,false,1
7,dispatch,0.05384699459292466,true,1.0,0.005814217966207513,true,false,1
8,dispatch,0.053771970981862614,true,1.0,0.005913927558909293,true,false,1
9,dispatch,0.05369642706329499,true,1.0,0.006018544329202236,true,false,1
10,dispatch,0.053620249966228196,true,1.0,0.0061283448511444405,true,false,1
11,dispatch,0.05354332156091543,true,1.0,0.006243637893100562,true,false,1
12,dispatch,0.053465517422293336,true,1.0,0.006364776156373209,true,false,1
13,dispatch,0.05338670568070812,true,1.0,0.006492154470038924,true,false,1
14,dispatch,0.053306745725548596,true,0.5,0.006626211293701001,true,false,2
15,dispatch,0.05326620344311418,true,0.03125,0.006696279230209656,true,false,6
16,dispatch,0.05326365282801924,true,0.015625,0.0067007433373336145,true,false,7
17,dispatch,0.05326237690948066,true,0.0078125,0.006702978269121251,true,false,8
18,dispatch,0.05326173831649123,true,0.0009765625,0.006704096268418169,true,false,11
19,dispatch,0.05326166062070904,false,,,false,false,0
