iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,dispatch,0.05316460908307112,true,1.0,0.011493146206686511,true,false,1
2,dispatch,0.05293612773045828,true,1.0,0.011204560282065401,true,false,1
3,dispatch,0.052700395474919406,true,1.0,0.0110517455907585,true,false,1
4,dispatch,0.05245401309513195,true,1.0,0.01182734500633198,true,false,1
5,dispatch,0.05219306241034915,true,1.0,0.012694034797424036,true,false,1
6,dispatch,0.05191280562148966,true,0.25,0.013677538037546677,true,false,3
7,dispatch,0.0518377903213378,true,0.0625,0.013951404709222404,true,false,5
8,dispatch,0.05181866913175118,true,0.03125,0.014021977695316656,true,false,6
9,dispatch,0.05180905675241894,true,0.0009765625,0.014057507380960343,true,false,11
10,dispatch,0.05180869812862516,false,,,false,false,0
