run_id,iteration,stage,equation,scope,entity,t,residual,unit,tolerance,pass
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,1,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-2,model,1,1,2.7755575615628914e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,1,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-2,model,1,2,3.469446951953614e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,1,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-2,model,1,3,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,1,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-2,model,1,4,4.163336342344337e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,2,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,2,1,2.7755575615628914e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,2,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,2,2,2.7755575615628914e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,2,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,2,3,1.3877787807814457e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,2,4,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,2,4,4.163336342344337e-17,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,3,1,1.2098842186184553e-14,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,3,1,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,3,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,3,2,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,3,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-7,model,3,3,0.0,MW,3.0e-6,true
r3-pg-20260917T071031-7eafbab9/single-source-schpd,1,3,3-3:8,model,3,4,0.0,MW,3.0e-6,true
