iteration,mode,merit,accepted,step,projected_gradient,smooth,active_changed,trials
1,diagnostic,0.0332634166534314,true,1.0,0.17289077465781033,true,false,1
2,diagnostic,0.0033145594056224956,true,1.0,0.17360835243366168,true,false,1
3,diagnostic,0.0033103098410211854,true,1.0,0.1708133667288545,true,true,1
4,dispatch,0.1149188953881026,true,1.0,0.017663260528044455,true,true,1
5,dispatch,0.11457073773429993,true,1.0,0.01777039226554855,true,false,1
6,dispatch,0.1142194441940972,true,0.25,0.01788537435311266,true,false,3
7,dispatch,0.11413092415517716,true,0.125,0.017915559127182012,true,false,4
8,dispatch,0.11408656428192933,true,0.03125,0.017930870342229177,true,false,6
9,dispatch,0.11407546251671258,true,0.015625,0.017934722321322205,true,false,7
10,dispatch,0.11406990047413887,true,0.00390625,0.01793664937718087,true,true,9
11,dispatch,0.11406860349554569,false,,,false,false,0
