run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,S,1.0,1.0598404919130822,357.74080161897786,357.7408016190244,0.10520489810526912
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,R,1.0,1.0598404919130822,312.7829914094691,312.7829914094695,0.10520489810526912
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,S,2.0,1.3679482471815458,352.6916841815729,352.69168418156545,0.07929077363656112
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,R,2.0,1.3679482471815458,312.75820964948207,312.75820964948304,0.07929077363656112
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,S,3.0,1.499940830305911,354.5386178656635,354.5386178656687,0.08524019498910575
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,R,3.0,1.499940830305911,312.7885462621309,312.78854626213115,0.08524019498910575
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,S,4.0,1.1885883956855687,359.3203593291402,359.32035932915204,0.10350038072602837
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,1,R,4.0,1.1885883956855687,312.7803863628152,312.7803863628162,0.10350038072602837
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,S,1.0,1.5598405066670202,357.0525822196343,357.0525822196195,0.3
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,R,1.0,1.5598405066670202,312.90243095391577,312.9024309539154,0.3
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,S,2.0,1.8679482797731823,353.78832214756204,353.78832214756335,0.32
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,R,2.0,1.8679482797731823,312.89941624304817,312.8994162430479,0.32
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,S,3.0,1.9999408678966486,353.47738723267315,353.4773872326724,0.34
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,R,3.0,1.9999408678966486,312.91145132975794,312.9114513297579,0.34
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,S,4.0,1.6885884090465224,358.12080965479856,358.12080965478356,0.32
r3-pg-20260917T071031-7eafbab9/two-source-schpd,3,initial subproblem / diagnostic,2,R,4.0,1.6885884090465224,312.906599452069,312.9065994520685,0.32
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,S,1.0,1.0574426447506824,347.27392708156094,347.2739270815609,0.14928878802883114
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,R,1.0,1.0574426447506824,312.78687443979203,312.78687443979203,0.14928878802883114
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,S,2.0,1.3681340840291139,349.25611074723344,349.2561107472335,0.11242689667752885
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,R,2.0,1.3681340840291139,312.7669993105681,312.76699931056817,0.11242689667752885
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,S,3.0,1.4704375019482272,359.366662473123,359.36666247315384,0.06318248972374933
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,R,3.0,1.4704375019482272,312.7917552814224,312.791755281423,0.06318248972374933
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,S,4.0,1.1902915951203012,362.5454224326348,362.54542243263666,0.08401017772166591
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,1,R,4.0,1.1902915951203012,312.7797281462233,312.7797281462239,0.08401017772166591
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,S,1.0,1.8106720100909965,352.4486527822271,352.4486527822272,0.3000000000000117
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,R,1.0,1.8106720100909965,312.9100075492381,312.9100075492383,0.3000000000000117
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,S,2.0,1.9664167929141445,351.74584292860703,351.74584292860715,0.3199999999998962
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,R,2.0,1.9664167929141445,312.90927892554396,312.90927892554396,0.3199999999998962
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,S,3.0,1.97043750198586,354.08345525814946,354.08345525814264,0.3399999999999617
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,R,3.0,1.97043750198586,312.913100135916,312.91310013591567,0.3399999999999617
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,S,4.0,1.691871514727047,358.03325195042925,358.03325195042834,0.3199999999999629
r3-pg-20260917T071031-7eafbab9/two-source-schpd,17,verified final,2,R,4.0,1.691871514727047,312.9060587795799,312.90605877957955,0.3199999999999629
