run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,S,1.0,0.5,352.2335094267404,352.23350942674057,0.15
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,R,1.0,0.5,312.74450314224794,312.74450314224686,0.15
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,S,2.0,0.5,361.81022718915665,361.8102271891557,0.16
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,R,2.0,0.5,312.6600649113746,312.66006491137375,0.16
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,S,3.0,0.5,361.8102271891396,361.8102271891386,0.17
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,R,3.0,0.5,312.6600649113746,312.66006491137375,0.17
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,S,4.0,0.5,361.8102271891564,361.81022718915546,0.16
r3-v2-20260917T090744-b1a0724b/single-low-flow,2,initial subproblem / diagnostic,1,R,4.0,0.5,312.66006491137466,312.66006491137375,0.16
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,S,1.0,1.039710126054961,347.35019187696514,347.3501918761909,0.14999990888887255
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,R,1.0,1.039710126054961,312.8325500777484,312.8325500777484,0.14999990888887255
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,S,2.0,0.9717640781371327,352.20219384569106,352.2021938464673,0.16000009589992123
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,R,2.0,0.9717640781371327,312.83008053908054,312.83008053908054,0.16000009589992123
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,S,3.0,0.8205369529036086,362.32890645704,362.32890645697466,0.17000000024807957
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,R,3.0,0.8205369529036086,312.8082589888094,312.80825898880954,0.17000000024807957
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,S,4.0,0.7734982961876408,362.2505779795284,362.250577979563,0.16000000012218263
r3-v2-20260917T090744-b1a0724b/single-low-flow,1270,verified final,1,R,4.0,0.7734982961876408,312.78587942389606,312.7858794238961,0.16000000012218263
