run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,1.0,1.2093394412638583,352.53206057697344,352.53206057697344,0.15
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,1.0,1.2093394412638583,318.66378659785846,318.6637865978584,0.15
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,2.0,0.7702851270215608,352.4560219566564,352.4560219566565,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,2.0,0.7702851270215608,315.77384214085913,315.7738421408592,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,3.0,1.0003518510187546,352.412019410512,352.412019410512,0.17
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,3.0,1.0003518510187546,307.3347407235208,307.33474072352084,0.17
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,4.0,1.0,352.4880017557404,352.48800175574047,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,4.0,1.0,312.9992857730444,312.99928577304445,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,5.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,5.0,1.0,313.5197423793869,313.51974237938686,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,6.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,6.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,7.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,7.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,8.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,8.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,9.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,9.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,S,10.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_CT-reference,1,verified final,1,R,10.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
