run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,1.0,1.0319825024004674,357.60745276202533,357.60745276202533,0.15
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,1.0,1.0319825024004674,317.9435769022313,317.9435769022313,0.15
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,2.0,0.7139244275135435,356.36032307702516,356.3603230770252,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,2.0,0.7139244275135435,316.764504411434,316.7645044114341,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,3.0,0.9498372287275924,345.8370386108815,345.83703861088145,0.17
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,3.0,0.9498372287275924,303.00001034775613,303.0000103477561,0.17
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,4.0,0.7985816789579132,350.70362155475846,350.70362155475846,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,4.0,0.7985816789579132,303.040086314051,303.04008631405105,0.16
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,5.0,1.0,352.4879120834421,352.48791208344215,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,5.0,1.0,307.8559110047977,307.85591100479775,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,6.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,6.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,7.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,7.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,8.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,8.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,9.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,9.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,S,10.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v2-20260917T090750-c52e2f8d/single-source-VF_VT-reference,1,verified final,1,R,10.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
