run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,S,1.0,1.2499999344697679,346.58503142168183,346.58503142168246,0.15
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,R,1.0,1.2499999344697679,312.8463078568722,312.8463078568722,0.15
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,S,2.0,1.2499999344697676,343.4761920739899,343.47619207399015,0.15999999999999978
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,R,2.0,1.2499999344697676,312.863326266886,312.86332626688596,0.15999999999999978
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,S,3.0,1.2499999344697676,345.38095407844963,345.3809540784492,0.1699999999999999
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,R,3.0,1.2499999344697676,312.863326266886,312.863326266886,0.1699999999999999
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,S,4.0,1.2499999344697676,344.10990741128074,344.10990741128154,0.16
r3-v2-20260917T090744-b1a0724b/single-source-box75,2,initial subproblem / diagnostic,1,R,4.0,1.2499999344697676,312.863326266886,312.863326266886,0.16
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,S,1.0,1.0397132409818626,347.35013067657127,347.350130676571,0.14999999995716734
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,R,1.0,1.0397132409818626,312.832550322865,312.8325503228651,0.14999999995716734
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,S,2.0,1.2186822352654616,344.25936914230795,344.2593691423034,0.15999999950462926
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,R,2.0,1.2186822352654616,312.84780811901004,312.84780811901,0.15999999950462926
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,S,3.0,0.9909965908618996,353.8439253870631,353.843925387069,0.1700000007135695
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,R,3.0,0.9909965908618996,312.84378666183284,312.8437866618329,0.1700000007135695
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,S,4.0,0.8837195379414067,356.10783733998693,356.107837339987,0.16000000000106776
r3-v2-20260917T090744-b1a0724b/single-source-box75,3516,verified final,1,R,4.0,0.8837195379414067,312.81735345482986,312.8173534548298,0.16000000000106776
