id,version,branch,iteration,value
single-source-case_fixed,v1,dispatch,1,80.18286341908787
single-source-case_fixed,v1,dispatch,2,79.83826784307718
single-source-case_fixed,v1,dispatch,3,79.48273645527345
single-source-case_fixed,v1,dispatch,4,79.11114255007801
single-source-case_fixed,v1,dispatch,5,78.71757672728859
single-source-case_fixed,v1,dispatch,6,78.2948934383307
single-source-case_fixed,v1,dispatch,7,78.18175536264167
single-source-case_fixed,v1,dispatch,8,78.15291678450713
single-source-case_fixed,v1,dispatch,9,78.13841939399825
single-source-case_fixed,v1,dispatch,10,78.13787851759247
single-source-case_fixed,v2,dispatch,1,80.18286341908787
single-source-case_fixed,v2,dispatch,2,79.83826784307718
single-source-case_fixed,v2,dispatch,3,79.48273645527345
single-source-case_fixed,v2,dispatch,4,79.11114255007801
single-source-case_fixed,v2,dispatch,5,78.71757672728859
single-source-case_fixed,v2,dispatch,6,78.2948934383307
single-source-case_fixed,v2,dispatch,7,78.18175536264167
single-source-case_fixed,v2,dispatch,8,78.15291678450713
single-source-case_fixed,v2,dispatch,9,78.13841939399825
single-source-case_fixed,v2,dispatch,10,78.11213124856249
single-source-case_fixed,v2,dispatch,11,78.1084848795827
single-source-case_fixed,v2,dispatch,12,78.08219941558004
single-source-case_fixed,v2,dispatch,13,78.03017358041879
single-source-case_fixed,v2,dispatch,14,77.97815230671453
single-source-case_fixed,v2,dispatch,15,77.9518701521942
single-source-case_fixed,v2,dispatch,16,77.94804600131928
single-source-case_fixed,v2,dispatch,17,77.92177029849464
single-source-case_fixed,v2,dispatch,18,77.86975534528341
single-source-case_fixed,v2,dispatch,19,77.81773081193926
single-source-case_fixed,v2,dispatch,20,77.79145377783234
single-source-case_fixed,v2,dispatch,21,77.73944518256562
single-source-case_fixed,v2,dispatch,22,77.6874247251638
single-source-case_fixed,v2,dispatch,23,77.66115195308706
single-source-case_fixed,v2,dispatch,24,77.60915290708152
single-source-case_fixed,v2,dispatch,25,77.58288234731242
single-source-case_fixed,v2,dispatch,26,77.57897416632278
single-source-case_fixed,v2,dispatch,27,77.55270507436151
single-source-case_fixed,v2,dispatch,28,77.50071329124403
single-source-case_fixed,v2,dispatch,29,77.47444448241043
single-source-case_fixed,v2,dispatch,30,77.47048018852861
single-source-case_fixed,v2,dispatch,31,77.44421264804618
single-source-case_fixed,v2,dispatch,32,77.39222835029935
single-source-case_fixed,v2,dispatch,33,77.34024527123805
single-source-case_fixed,v2,dispatch,34,77.33975020483352
single-source-case_fixed,v2,dispatch,35,77.27531724170814
single-source-case_fixed,v2,dispatch,36,77.24267669258077
single-source-case_fixed,v2,dispatch,37,77.23857234314251
single-source-case_fixed,v2,dispatch,38,77.1933821400654
single-source-case_fixed,v2,dispatch,39,77.17993269411394
single-source-case_fixed,v2,dispatch,40,77.15377072395034
single-source-case_fixed,v2,dispatch,41,77.1477807581667
single-source-case_fixed,v2,dispatch,42,77.1472003373027
single-source-case_fixed,v2,dispatch,43,77.14662189313421
single-source-case_fixed,v2,dispatch,44,77.14604256962886
single-source-case_fixed,v2,dispatch,45,77.1454613735063
single-source-case_fixed,v2,dispatch,46,77.1448789713325
single-source-case_fixed,v2,dispatch,47,77.14429697880695
single-source-case_fixed,v2,dispatch,48,77.14371459167606
single-source-case_fixed,v2,dispatch,49,77.14313157569666
single-source-case_fixed,v2,dispatch,50,77.14255019030877
single-source-case_fixed,v2,dispatch,51,77.14196621403605
single-source-case_fixed,v2,dispatch,52,77.14138256329987
single-source-case_fixed,v2,dispatch,53,77.14079959996113
single-source-case_fixed,v2,dispatch,54,77.14021388779236
single-source-case_fixed,v2,dispatch,55,77.13962777131312
single-source-case_fixed,v2,dispatch,56,77.13904078159854
single-source-case_fixed,v2,dispatch,57,77.13845334466518
single-source-case_fixed,v2,dispatch,58,77.13786545407746
single-source-case_fixed,v2,dispatch,59,77.13727673590232
single-source-case_fixed,v2,dispatch,60,77.13668765775586
single-source-case_fixed,v2,dispatch,61,77.1360978377361
single-source-case_fixed,v2,dispatch,62,77.13550802271072
single-source-case_fixed,v2,dispatch,63,77.13491666501082
single-source-case_fixed,v2,dispatch,64,77.13432585066491
single-source-case_fixed,v2,dispatch,65,77.13373333301739
single-source-case_fixed,v2,dispatch,66,77.13314306954311
single-source-case_fixed,v2,dispatch,67,77.13255146814159
single-source-case_fixed,v2,dispatch,68,77.13195842645828
single-source-case_fixed,v2,dispatch,69,77.13136561020326
single-source-case_fixed,v2,dispatch,70,77.13077072727279
single-source-case_fixed,v2,dispatch,71,77.13017574020094
single-source-case_fixed,v2,dispatch,72,77.12958064462885
single-source-case_fixed,v2,dispatch,73,77.12898332131635
single-source-case_fixed,v2,dispatch,74,77.1283864711132
single-source-case_fixed,v2,dispatch,75,77.1277887162662
single-source-case_fixed,v2,dispatch,76,77.12718994429001
single-source-case_fixed,v2,dispatch,77,77.12658980946128
single-source-case_fixed,v2,dispatch,78,77.12598953695917
single-source-case_fixed,v2,dispatch,79,77.12538882127944
single-source-case_fixed,v2,dispatch,80,77.12478716496473
single-source-case_fixed,v2,dispatch,81,77.12418501366919
single-source-case_fixed,v2,dispatch,82,77.12358242576397
single-source-case_fixed,v2,dispatch,83,77.12297883700063
single-source-case_fixed,v2,dispatch,84,77.12237512945393
single-source-case_fixed,v2,dispatch,85,77.12177133484789
single-source-case_fixed,v2,dispatch,86,77.12116703539513
single-source-case_fixed,v2,dispatch,87,77.12056213763807
single-source-case_fixed,v2,dispatch,88,77.11995660618314
single-source-case_fixed,v2,dispatch,89,77.11935066478864
single-source-case_fixed,v2,dispatch,90,77.11874312921786
single-source-case_fixed,v2,dispatch,91,77.11813690033173
single-source-case_fixed,v2,dispatch,92,77.11752902370048
single-source-case_fixed,v2,dispatch,93,77.11692071002987
single-source-case_fixed,v2,dispatch,94,77.11631184152688
single-source-case_fixed,v2,dispatch,95,77.11570232158253
single-source-case_fixed,v2,dispatch,96,77.1150920203545
single-source-case_fixed,v2,dispatch,97,77.11448044362228
single-source-case_fixed,v2,dispatch,98,77.11387010312102
single-source-case_fixed,v2,dispatch,99,77.11325803615168
single-source-case_fixed,v2,dispatch,100,77.11264590123372
single-source-case_fixed,v2,dispatch,101,77.11203317068222
single-source-case_fixed,v2,dispatch,102,77.11142018002448
single-source-case_fixed,v2,dispatch,103,77.11080567844738
single-source-case_fixed,v2,dispatch,104,77.11019290708845
single-source-case_fixed,v2,dispatch,105,77.10957851703095
single-source-case_fixed,v2,dispatch,106,77.1089641725486
single-source-case_fixed,v2,dispatch,107,77.10834902062899
single-source-case_fixed,v2,dispatch,108,77.10773236907039
single-source-case_fixed,v2,dispatch,109,77.10711487192515
single-source-case_fixed,v2,dispatch,110,77.10649717478194
single-source-case_fixed,v2,dispatch,111,77.1058787678599
single-source-case_fixed,v2,dispatch,112,77.10525968146385
single-source-case_fixed,v2,dispatch,113,77.1046400122203
single-source-case_fixed,v2,dispatch,114,77.10401963416118
single-source-case_fixed,v2,dispatch,115,77.10339871913507
single-source-case_fixed,v2,dispatch,116,77.10277685270499
single-source-case_fixed,v2,dispatch,117,77.10215413438583
single-source-case_fixed,v2,dispatch,118,77.1015324324598
single-source-case_fixed,v2,dispatch,119,77.1009091809646
single-source-case_fixed,v2,dispatch,120,77.1002851851731
single-source-case_fixed,v2,dispatch,121,77.09966093129742
single-source-case_fixed,v2,dispatch,122,77.09903586833654
single-source-case_fixed,v2,dispatch,123,77.09841009190248
single-source-case_fixed,v2,dispatch,124,77.09778428370393
single-source-case_fixed,v2,dispatch,125,77.09715757472587
single-source-case_fixed,v2,dispatch,126,77.0965292169416
single-source-case_fixed,v2,dispatch,127,77.09590233458343
single-source-case_fixed,v2,dispatch,128,77.09527343886106
single-source-case_fixed,v2,dispatch,129,77.09464477535234
single-source-case_fixed,v2,dispatch,130,77.09401489210424
single-source-case_fixed,v2,dispatch,131,77.09338476907573
single-source-case_fixed,v2,dispatch,132,77.09275385926176
single-source-case_fixed,v2,dispatch,133,77.09212236217628
single-source-case_fixed,v2,dispatch,134,77.09148994217591
single-source-case_fixed,v2,dispatch,135,77.09085793664157
single-source-case_fixed,v2,dispatch,136,77.0902249885328
single-source-case_fixed,v2,dispatch,137,77.08959149639952
single-source-case_fixed,v2,dispatch,138,77.08895703274268
single-source-case_fixed,v2,dispatch,139,77.08832279505825
single-source-case_fixed,v2,dispatch,140,77.0876874869268
single-source-case_fixed,v2,dispatch,141,77.0870516098574
single-source-case_fixed,v2,dispatch,142,77.08641525708755
single-source-case_fixed,v2,dispatch,143,77.08577824506705
single-source-case_fixed,v2,dispatch,144,77.08514073490913
single-source-case_fixed,v2,dispatch,145,77.08450253410942
single-source-case_fixed,v2,dispatch,146,77.08386346533447
single-source-case_fixed,v2,dispatch,147,77.08322431092425
single-source-case_fixed,v2,dispatch,148,77.0825845186395
single-source-case_fixed,v2,dispatch,149,77.08194421589938
single-source-case_fixed,v2,dispatch,150,77.0813032570979
single-source-case_fixed,v2,dispatch,151,77.08066171513184
single-source-case_fixed,v2,dispatch,152,77.08001959358722
single-source-case_fixed,v2,dispatch,153,77.07937688994171
single-source-case_fixed,v2,dispatch,154,77.07873361454239
single-source-case_fixed,v2,dispatch,155,77.0780897091461
single-source-case_fixed,v2,dispatch,156,77.07744523589221
single-source-case_fixed,v2,dispatch,157,77.07680017505419
single-source-case_fixed,v2,dispatch,158,77.07615456636802
single-source-case_fixed,v2,dispatch,159,77.0755083919761
single-source-case_fixed,v2,dispatch,160,77.07486137206304
single-source-case_fixed,v2,dispatch,161,77.074214358495
single-source-case_fixed,v2,dispatch,162,77.07356653810007
single-source-case_fixed,v2,dispatch,163,77.07291812068681
single-source-case_fixed,v2,dispatch,164,77.07226925654498
single-source-case_fixed,v2,dispatch,165,77.07161987922328
single-source-case_fixed,v2,dispatch,166,77.07096989608979
single-source-case_fixed,v2,dispatch,167,77.07031953599353
single-source-case_fixed,v2,dispatch,168,77.06966847929434
single-source-case_fixed,v2,dispatch,169,77.06901654231913
single-source-case_fixed,v2,dispatch,170,77.06836487618948
single-source-case_fixed,v2,dispatch,171,77.0677126199726
single-source-case_fixed,v2,dispatch,172,77.06705911758789
single-source-case_fixed,v2,dispatch,173,77.06640605938912
single-source-case_fixed,v2,dispatch,174,77.06575226869799
single-source-case_fixed,v2,dispatch,175,77.06509786428875
single-source-case_fixed,v2,dispatch,176,77.06444303559286
single-source-case_fixed,v2,dispatch,177,77.06378748975713
single-source-case_fixed,v2,dispatch,178,77.06313184088913
single-source-case_fixed,v2,dispatch,179,77.06247555818831
single-source-case_fixed,v2,dispatch,180,77.06181809570008
single-source-case_fixed,v2,dispatch,181,77.0611616486414
single-source-case_fixed,v2,dispatch,182,77.06050388327475
single-source-case_fixed,v2,dispatch,183,77.05984553337336
