run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,1.0,1.0,352.4879120834421,352.4879120834421,0.15652142801215946
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,1.0,1.0,314.14173747641195,314.14173747641195,0.15652142801215946
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,2.0,1.0,352.4879120834421,352.4879120834421,0.16004342004757086
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,2.0,1.0,315.1232655554954,315.1232655554954,0.16004342004757086
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,3.0,1.0,352.4879120834421,352.4879120834421,0.17000065461040934
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,3.0,1.0,313.53229125623034,313.53229125623034,0.17000065461040934
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,4.0,1.0,352.4879120834421,352.4879120834421,0.16502203732905565
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,4.0,1.0,312.9446572341362,312.9446572341362,0.16502203732905565
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,5.0,1.0,352.4879120834421,352.4879120834421,0.16690260442630542
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,5.0,1.0,313.3103249662447,313.31032496624476,0.16690260442630542
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,6.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229797
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,6.0,1.0,312.91643090925544,312.9164309092554,0.16835922967229797
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,7.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229708
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,7.0,1.0,312.74450314224686,312.7445031422468,0.16835922967229708
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,8.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229702
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,8.0,1.0,312.74450314224686,312.7445031422468,0.16835922967229702
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,9.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229702
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,9.0,1.0,312.74450314224686,312.7445031422468,0.16835922967229702
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,10.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229702
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,10.0,1.0,312.74450314224686,312.7445031422468,0.16835922967229702
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,11.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722972
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,11.0,1.0,312.74450314224686,312.7445031422468,0.1683592296722972
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,12.0,1.0,352.4879120834421,352.4879120834421,0.168359229672297
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,12.0,1.0,312.74450314224686,312.7445031422468,0.168359229672297
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,13.0,1.0,352.4879120834421,352.4879120834421,0.1683592296722972
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,R,13.0,1.0,312.74450314224686,312.7445031422468,0.1683592296722972
r3-v2-20260917T090750-c52e2f8d/two-source-CF_CT-pg,2,verified final,1,S,14.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229702
