run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,1.0,1.0,357.44523808820986,357.44523808820986,0.1810038823922483
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,1.0,1.0,316.20936091447095,316.209360914471,0.1810038823922483
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,2.0,1.0,352.4879120828598,352.48791208285985,0.1180767390085405
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,2.0,1.0,317.1869563049652,317.1869563049652,0.1180767390085405
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,3.0,1.0,352.2707634186581,352.2707634186581,0.1458280495126844
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,3.0,1.0,311.4241631430764,311.4241631430764,0.1458280495126844
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,4.0,1.0,357.2280894222707,357.2280894222708,0.15439192412833647
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,4.0,1.0,309.74529034041774,309.74529034041774,0.15439192412833647
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,5.0,1.0,352.48791208170474,352.48791208170474,0.1682321600109949
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,5.0,1.0,312.0582239619071,312.0582239619071,0.1682321600109949
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,6.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229372
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,6.0,1.0,312.75950137407153,312.75950137407153,0.16835922967229372
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,7.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229397
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,R,7.0,1.0,312.7445031422468,312.7445031422468,0.16835922967229397
r3-v2-20260917T090750-c52e2f8d/two-source-CF_VT-pg,2,verified final,1,S,8.0,1.0,352.4879120834421,352.4879120834421,0.16835922967229397
