run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,S,1.0,0.7499999956850838,355.7031560973545,355.70315609735434,0.15781421287582537
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,R,1.0,0.7499999956850838,312.7680773802952,312.7680773802952,0.15781421287582537
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,S,2.0,0.7499999956850838,362.2045540585298,362.20455405852954,0.15785897245066427
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,R,2.0,0.7499999956850838,312.6694301897135,312.6694301897135,0.15785897245066427
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,S,3.0,0.7499999956850838,362.20455405847696,362.2045540584766,0.15785897245062872
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,R,3.0,0.7499999956850838,312.66006490942493,312.66006490942493,0.15785897245062872
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,S,4.0,0.7499999956850838,362.20455405843904,362.2045540584387,0.157858972450662
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,1,R,4.0,0.7499999956850838,312.66006490942493,312.66006490942493,0.157858972450662
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,S,1.0,1.4999999912368005,356.91401501863226,356.91401501863197,0.3
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,R,1.0,1.4999999912368005,312.9002495835213,312.9002495835215,0.3
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,S,2.0,1.4999999912368005,361.12829174902436,361.128291749024,0.32
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,R,2.0,1.4999999912368005,312.886040194587,312.88604019458705,0.32
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,S,3.0,1.4999999912368005,362.20568393186574,362.20568393186534,0.34
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,R,3.0,1.4999999912368005,312.886040194587,312.88604019458705,0.34
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,S,4.0,1.4999999912368005,362.205683931846,362.20568393184556,0.32
r3-v2-20260917T090744-b1a0724b/two-source-box25,2,initial subproblem / diagnostic,2,R,4.0,1.4999999912368005,312.88604019458705,312.88604019458705,0.32
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,S,1.0,1.4999999979109782,345.95373826779434,345.9537382677008,0.07799682473532593
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,R,1.0,1.4999999979109782,312.80260222858465,312.80260222858533,0.07799682473532593
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,S,2.0,1.4221844935978627,355.59998219329253,355.5999821932734,0.08990969048349563
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,R,2.0,1.4221844935978627,312.7991383779696,312.7991383779707,0.08990969048349563
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,S,3.0,1.211481680822727,362.5429250457484,362.54292504601966,0.10519834577862061
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,R,3.0,1.211481680822727,312.77949185611135,312.7794918561105,0.10519834577862061
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,S,4.0,1.1872242158770214,362.50146282591504,362.5014628259172,0.06321132379266821
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,1,R,4.0,1.1872242158770214,312.7602316161942,312.76023161619383,0.06321132379266821
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,S,1.0,2.117311099182198,346.735510782786,346.73551078278564,0.29999999997564697
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,R,1.0,2.117311099182198,312.9168336411381,312.91683364113806,0.29999999997564697
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,S,2.0,1.922184494254694,352.63744010965337,352.63744010957225,0.3199999928188484
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,R,2.0,1.922184494254694,312.9151059513822,312.91510595138226,0.3199999928188484
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,S,3.0,1.7114816814092466,360.2995951791346,360.2995951793797,0.34000002044039185
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,R,3.0,1.7114816814092466,312.9055496858329,312.9055496858333,0.34000002044039185
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,S,4.0,1.6872242166499274,358.15729183345593,358.15729183346184,0.3200000003136676
r3-v2-20260917T090744-b1a0724b/two-source-box25,1671,verified final,2,R,4.0,1.6872242166499274,312.89937014014237,312.8993701401425,0.3200000003136676
