id,version,branch,iteration,value
two-source-box25,v1,dispatch,2,184.14025938671958
two-source-box25,v1,dispatch,3,183.55848286931214
two-source-box25,v1,dispatch,4,183.2718580276155
two-source-box25,v1,dispatch,5,183.20067018964136
two-source-box25,v1,dispatch,6,183.19178543788593
two-source-box25,v1,dispatch,7,183.18956315116554
two-source-box25,v1,dispatch,8,183.18845429221952
two-source-box25,v2,dispatch,2,184.14025938671958
two-source-box25,v2,dispatch,3,183.55848286931214
two-source-box25,v2,dispatch,4,183.2718580276155
two-source-box25,v2,dispatch,5,183.20067018964136
two-source-box25,v2,dispatch,6,183.17791230395403
two-source-box25,v2,dispatch,7,183.13724431846765
two-source-box25,v2,dispatch,8,183.0965928354184
two-source-box25,v2,dispatch,9,183.05595571718902
two-source-box25,v2,dispatch,10,183.01532748752766
two-source-box25,v2,dispatch,11,182.97469301582348
two-source-box25,v2,dispatch,12,182.934087435116
two-source-box25,v2,dispatch,13,182.89349153238882
two-source-box25,v2,dispatch,14,182.85291318311693
two-source-box25,v2,dispatch,15,182.81233903021194
two-source-box25,v2,dispatch,16,182.77178784658008
two-source-box25,v2,dispatch,17,182.73123605759372
two-source-box25,v2,dispatch,18,182.690704352216
two-source-box25,v2,dispatch,19,182.65018848840933
two-source-box25,v2,dispatch,20,182.60967857400155
two-source-box25,v2,dispatch,21,182.5691883195733
two-source-box25,v2,dispatch,22,182.52871348472854
two-source-box25,v2,dispatch,23,182.48824935131464
two-source-box25,v2,dispatch,24,182.40732324064305
two-source-box25,v2,dispatch,25,182.36688207589125
two-source-box25,v2,dispatch,26,182.32645953835367
two-source-box25,v2,dispatch,27,182.28605526985905
two-source-box25,v2,dispatch,28,182.24565527012862
two-source-box25,v2,dispatch,29,182.20526674294666
two-source-box25,v2,dispatch,30,182.16489637885707
two-source-box25,v2,dispatch,31,182.1245271408992
two-source-box25,v2,dispatch,32,182.0841731111272
two-source-box25,v2,dispatch,33,182.04385416506244
two-source-box25,v2,dispatch,34,182.00353045195155
two-source-box25,v2,dispatch,35,181.9631963217494
two-source-box25,v2,dispatch,36,181.92291851410374
two-source-box25,v2,dispatch,37,181.842493580484
two-source-box25,v2,dispatch,38,181.80207716338018
two-source-box25,v2,dispatch,39,181.76182415260456
two-source-box25,v2,dispatch,40,181.72158384180221
two-source-box25,v2,dispatch,41,181.68135624954252
two-source-box25,v2,dispatch,42,181.64114046772457
two-source-box25,v2,dispatch,43,181.60093607077016
two-source-box25,v2,dispatch,44,181.5607381416603
two-source-box25,v2,dispatch,45,181.520559785878
two-source-box25,v2,dispatch,46,181.4402399685926
two-source-box25,v2,dispatch,47,181.40008999029618
two-source-box25,v2,dispatch,48,181.35995713696974
two-source-box25,v2,dispatch,49,181.31983753973006
two-source-box25,v2,dispatch,50,181.28135368135202
two-source-box25,v2,dispatch,51,181.2544829807424
two-source-box25,v2,dispatch,52,181.22759937429345
two-source-box25,v2,dispatch,53,181.20077621834258
two-source-box25,v2,dispatch,54,181.17400521339215
two-source-box25,v2,dispatch,55,181.14727305672085
two-source-box25,v2,dispatch,56,181.1205884532865
two-source-box25,v2,dispatch,57,181.10726783793447
two-source-box25,v2,dispatch,58,181.09395617547068
two-source-box25,v2,dispatch,59,181.06735453992226
two-source-box25,v2,dispatch,60,181.04079484551212
two-source-box25,v2,dispatch,61,181.01430968473983
two-source-box25,v2,dispatch,62,180.98785143511802
two-source-box25,v2,dispatch,63,180.96140866395635
two-source-box25,v2,dispatch,64,180.90910530912475
two-source-box25,v2,dispatch,65,180.882323508902
two-source-box25,v2,dispatch,66,180.82978221906995
two-source-box25,v2,dispatch,67,180.80359053431718
two-source-box25,v2,dispatch,68,180.7774511043811
two-source-box25,v2,dispatch,69,180.75137564224593
two-source-box25,v2,dispatch,70,180.72525977853218
two-source-box25,v2,dispatch,71,180.6992420355412
two-source-box25,v2,dispatch,72,180.67325647001337
two-source-box25,v2,dispatch,73,180.6214020721032
two-source-box25,v2,dispatch,74,180.59553412158454
two-source-box25,v2,dispatch,75,180.5697186489484
two-source-box25,v2,dispatch,76,180.5439049664924
two-source-box25,v2,dispatch,77,180.51815300884977
two-source-box25,v2,dispatch,78,180.49245264059954
two-source-box25,v2,dispatch,79,180.44118241319478
two-source-box25,v2,dispatch,80,180.4155823132458
two-source-box25,v2,dispatch,81,180.3645121935344
two-source-box25,v2,dispatch,82,180.33903637394644
two-source-box25,v2,dispatch,83,180.3135752073809
two-source-box25,v2,dispatch,84,180.2881938310315
two-source-box25,v2,dispatch,85,180.2628554174675
two-source-box25,v2,dispatch,86,180.23753742888448
two-source-box25,v2,dispatch,87,180.1869957422134
two-source-box25,v2,dispatch,88,180.16179158283444
two-source-box25,v2,dispatch,89,180.1365965334744
two-source-box25,v2,dispatch,90,180.11151142841044
two-source-box25,v2,dispatch,91,180.06147850696243
two-source-box25,v2,dispatch,92,180.01133365646606
two-source-box25,v2,dispatch,93,179.96148337975234
two-source-box25,v2,dispatch,94,179.93661555547322
two-source-box25,v2,dispatch,95,179.8869838951406
two-source-box25,v2,dispatch,96,179.8622310157981
two-source-box25,v2,dispatch,97,179.8128390430618
two-source-box25,v2,dispatch,98,179.76358638903596
two-source-box25,v2,dispatch,99,179.7144364278322
two-source-box25,v2,dispatch,100,179.66554302829394
two-source-box25,v2,dispatch,101,179.64102038511294
two-source-box25,v2,dispatch,102,179.59228437323867
two-source-box25,v2,dispatch,103,179.5436730460965
two-source-box25,v2,dispatch,104,179.5194196342669
two-source-box25,v2,dispatch,105,179.47104230065656
two-source-box25,v2,dispatch,106,179.4468950719933
two-source-box25,v2,dispatch,107,179.4227936694278
two-source-box25,v2,dispatch,108,179.37467944986352
two-source-box25,v2,dispatch,109,179.35067648510318
two-source-box25,v2,dispatch,110,179.30277658209963
two-source-box25,v2,dispatch,111,179.25503221678332
two-source-box25,v2,dispatch,112,179.2122819886111
two-source-box25,v2,dispatch,113,179.17263840097922
two-source-box25,v2,dispatch,114,179.13311688365405
two-source-box25,v2,dispatch,115,179.09370102701251
two-source-box25,v2,dispatch,116,179.05445072508422
two-source-box25,v2,dispatch,117,179.0445626487359
two-source-box25,v2,dispatch,118,179.0248495253851
two-source-box25,v2,dispatch,119,179.00516571874124
two-source-box25,v2,dispatch,120,178.98551139742958
two-source-box25,v2,dispatch,121,178.94734364242754
two-source-box25,v2,dispatch,122,178.91780369615196
two-source-box25,v2,dispatch,123,178.88837247589794
two-source-box25,v2,dispatch,124,178.85907266745883
two-source-box25,v2,dispatch,125,178.8299185396932
two-source-box25,v2,dispatch,126,178.80091822397304
two-source-box25,v2,dispatch,127,178.77193281479055
two-source-box25,v2,dispatch,128,178.74315267293824
two-source-box25,v2,dispatch,129,178.7144688946845
two-source-box25,v2,dispatch,130,178.68589597977962
two-source-box25,v2,dispatch,131,178.6574828522668
two-source-box25,v2,dispatch,132,178.64307370860047
two-source-box25,v2,dispatch,133,178.61483585921417
two-source-box25,v2,dispatch,134,178.60053755678803
two-source-box25,v2,dispatch,135,178.5862759209375
two-source-box25,v2,dispatch,136,178.57204755639134
two-source-box25,v2,dispatch,137,178.5578479907983
two-source-box25,v2,dispatch,138,178.54368342404618
two-source-box25,v2,dispatch,139,178.52954535423203
two-source-box25,v2,dispatch,140,178.50183036338603
two-source-box25,v2,dispatch,141,178.4741793512888
two-source-box25,v2,dispatch,142,178.4466412193387
two-source-box25,v2,dispatch,143,178.4192710377635
two-source-box25,v2,dispatch,144,178.39199911116086
two-source-box25,v2,dispatch,145,178.364855656646
two-source-box25,v2,dispatch,146,178.3511192120515
two-source-box25,v2,dispatch,147,178.32418651254739
two-source-box25,v2,dispatch,148,178.29732735159592
two-source-box25,v2,dispatch,149,178.283730363651
two-source-box25,v2,dispatch,150,178.2580248397574
two-source-box25,v2,dispatch,151,178.23782367724118
two-source-box25,v2,dispatch,152,178.217764937198
two-source-box25,v2,dispatch,153,178.1978170718879
two-source-box25,v2,dispatch,154,178.17799380817672
two-source-box25,v2,dispatch,155,178.1413824392771
two-source-box25,v2,dispatch,156,178.12187922488147
two-source-box25,v2,dispatch,157,178.08596693575262
two-source-box25,v2,dispatch,158,178.0505383687792
two-source-box25,v2,dispatch,159,178.0316416249385
two-source-box25,v2,dispatch,160,177.99694287883267
two-source-box25,v2,dispatch,161,177.97845094139822
two-source-box25,v2,dispatch,162,177.94448512229025
two-source-box25,v2,dispatch,163,177.91099709972087
two-source-box25,v2,dispatch,164,177.89312165147334
two-source-box25,v2,dispatch,165,177.860380207895
two-source-box25,v2,dispatch,166,177.82858852638452
two-source-box25,v2,dispatch,167,177.81118563391044
two-source-box25,v2,dispatch,168,177.77898272171637
two-source-box25,v2,dispatch,169,177.746244152826
two-source-box25,v2,dispatch,170,177.7130194025709
two-source-box25,v2,dispatch,171,177.69473835643623
two-source-box25,v2,dispatch,172,177.67635784195838
two-source-box25,v2,dispatch,173,177.65851725348972
two-source-box25,v2,dispatch,174,177.6408056336946
two-source-box25,v2,dispatch,175,177.62290979150228
two-source-box25,v2,dispatch,176,177.6049050307276
two-source-box25,v2,dispatch,177,177.5867269842822
two-source-box25,v2,dispatch,178,177.56407508899053
two-source-box25,v2,dispatch,179,177.5620084192813
two-source-box25,v2,dispatch,180,177.56021191050723
two-source-box25,v2,dispatch,181,177.5584164780762
two-source-box25,v2,dispatch,182,177.5566200367751
two-source-box25,v2,dispatch,183,177.55482388392494
two-source-box25,v2,dispatch,184,177.55302552145594
two-source-box25,v2,dispatch,185,177.55122757255918
two-source-box25,v2,dispatch,186,177.5494299791473
two-source-box25,v2,dispatch,187,177.5476298813622
two-source-box25,v2,dispatch,188,177.5458306986077
two-source-box25,v2,dispatch,189,177.54403022995666
two-source-box25,v2,dispatch,190,177.54222861524124
two-source-box25,v2,dispatch,191,177.54042721616477
two-source-box25,v2,dispatch,192,177.53862459274274
two-source-box25,v2,dispatch,193,177.5368208701023
two-source-box25,v2,dispatch,194,177.53501666361865
two-source-box25,v2,dispatch,195,177.53321250749946
two-source-box25,v2,dispatch,196,177.53140665189886
two-source-box25,v2,dispatch,197,177.5296002213936
two-source-box25,v2,dispatch,198,177.52779331643686
two-source-box25,v2,dispatch,199,177.52598552156235
two-source-box25,v2,dispatch,200,177.5241767978832
two-source-box25,v1,diagnostic,1,0.05451826995477988
two-source-box25,v2,diagnostic,1,0.05451826995477988
